,Boston_male,Boston_female,tuple,Scientific_male,Scientific_female,average_male,average_female,female-male
75,5.295062,5.447608,"('confident', 'shy')",6.67111,6.6576777,5.983086109161377,6.052642822265625,0.06955671310424805
95,-4.5818834,-4.705036,"('rich', 'poor')",-6.122678,-6.2333574,-5.352280616760254,-5.469196796417236,-0.11691617965698242
27,-4.4929123,-4.742769,"('sincere', 'insincere')",-6.3042684,-6.4655247,-5.398590087890625,-5.604146957397461,-0.20555686950683594
6,4.02438,4.2698154,"('liked', 'disliked')",5.728121,6.111711,4.876250267028809,5.190763473510742,0.3145132064819336
53,-4.0226507,-3.9841387,"('smart', 'stupid')",-4.7863274,-5.2203574,-4.404489040374756,-4.602248191833496,-0.19775915145874023
40,-3.4374418,-3.7133846,"('honorable', 'mean')",-5.2543488,-5.602529,-4.345895290374756,-4.657957077026367,-0.31206178665161133
50,2.923521,2.7272143,"('unprejudiced', 'prejudiced')",1.7480507,1.6167604,2.3357858657836914,2.171987295150757,-0.16379857063293457
86,2.606256,2.655164,"('self-reliant', 'helpless')",2.92284,3.0034752,2.7645480632781982,2.829319477081299,0.06477141380310059
28,-2.0730674,-2.2340717,"('honest', 'dishonest')",-1.4273441,-1.591111,-1.7502057552337646,-1.9125913381576538,-0.16238558292388916
32,-1.9326484,-1.778096,"('benevolent', 'hardhearted')",-2.4047475,-1.9803699,-2.1686978340148926,-1.8792328834533691,0.28946495056152344
13,-1.92256,-1.9612126,"('helpful', 'unhelpful')",-3.1684642,-3.2398367,-2.5455121994018555,-2.600524663925171,-0.05501246452331543
100,-1.911383,-1.6663234,"('influential', 'uninfluential')",-0.7774032,-0.68644625,-1.3443931341171265,-1.1763848066329956,0.16800832748413086
87,-1.834552,-1.7647911,"('dedicated', 'undedicated')",-0.6255117,-0.7185302,-1.2300318479537964,-1.2416605949401855,-0.01162874698638916
60,-1.8120403,-1.4813275,"('educated', 'uneducated')",-1.2404199,-1.0023315,-1.5262300968170166,-1.241829514503479,0.2844005823135376
3,1.7845949,1.555021,"('likable', 'unlikable')",1.8129511,1.971635,1.7987730503082275,1.7633280754089355,-0.03544497489929199
58,-1.6989949,-1.8339792,"('able', 'clumsy')",-1.6599712,-1.4937954,-1.6794830560684204,-1.6638872623443604,0.015595793724060059
34,-1.64428,-1.4868822,"('loyal', 'disloyal')",-2.6831114,-2.2464144,-2.163695812225342,-1.8666483163833618,0.29704749584198
11,-1.6277667,-1.7066488,"('caring', 'unaffectionate')",-1.9927609,-1.782259,-1.8102638721466064,-1.7444539070129395,0.06580996513366699
48,1.5509629,1.4666177,"('reliable', 'unreliable')",2.5735617,2.4624543,2.0622622966766357,1.9645359516143799,-0.09772634506225586
29,-1.5185894,-1.637164,"('honest', 'immoral')",-1.5656997,-1.5978789,-1.542144536972046,-1.6175215244293213,-0.07537698745727539
38,-1.4155996,-1.3832332,"('kind', 'unkind')",-2.6699758,-2.428081,-2.042787551879883,-1.9056570529937744,0.1371304988861084
74,-1.3947899,-1.4823906,"('insightful', 'unperceptive')",-1.115042,-1.1649773,-1.2549159526824951,-1.3236839771270752,-0.06876802444458008
67,-1.3802526,-1.2589235,"('discriminating', 'undiscriminating')",-0.90482926,-0.7271724,-1.1425409317016602,-0.9930479526519775,0.14949297904968262
107,1.3677415,1.388577,"('conventional', 'modern')",0.23406346,0.27877018,0.8009024858474731,0.8336735963821411,0.03277111053466797
1,-1.3621233,-1.3920126,"('friendly', 'unfriendly')",-1.9098523,-1.4621283,-1.6359877586364746,-1.4270703792572021,0.20891737937927246
36,-1.3421199,-1.4648583,"('tolerant', 'intolerant')",-0.85090387,-1.2368143,-1.0965118408203125,-1.3508362770080566,-0.25432443618774414
72,-1.3194966,-1.2617949,"('logical', 'illogical')",-0.88136005,-0.8765588,-1.1004283428192139,-1.0691769123077393,0.03125143051147461
62,-1.3165447,-1.3092897,"('creative', 'uncreative')",-1.1171057,-1.0041956,-1.216825246810913,-1.1567425727844238,0.06008267402648926
12,-1.2692987,-1.1823666,"('sympathetic', 'unsympathetic')",-0.9552999,-0.9917518,-1.1122993230819702,-1.0870592594146729,0.025240063667297363
37,1.1864436,1.1383803,"('good', 'evil')",1.8165265,1.9314444,1.5014851093292236,1.534912347793579,0.03342723846435547
104,-1.1248885,-0.8993287,"('conventional', 'unconventional')",-1.4177966,-0.85213757,-1.2713425159454346,-0.8757331371307373,0.39560937881469727
44,-1.0258083,-1.1018583,"('truthful', 'untruthful')",-1.4669032,-1.4442515,-1.2463557720184326,-1.273054838180542,-0.026699066162109375
66,1.0099732,1.3396327,"('imaginative', 'unimaginative')",1.9236475,1.9861898,1.4668103456497192,1.662911295890808,0.19610095024108887
47,-0.9993059,-0.937109,"('forgiving', 'unforgiving')",-0.9353729,-0.9087625,-0.9673393964767456,-0.9229357242584229,0.044403672218322754
81,0.9692086,1.0750413,"('industrious', 'lazy')",1.5077344,1.5438557,1.238471508026123,1.309448480606079,0.07097697257995605
64,-0.95079666,-1.1199418,"('clever', 'incompetent')",-1.4362662,-1.6574756,-1.1935313940048218,-1.3887087106704712,-0.19517731666564941
103,0.9115293,0.92618966,"('traditional', 'modern')",0.5948702,0.6463573,0.7531997561454773,0.7862734794616699,0.03307372331619263
18,-0.9104173,-0.913199,"('social', 'asocial')",-1.0102583,-1.1035616,-0.9603378176689148,-1.0083802938461304,-0.048042476177215576
83,-0.90208983,-0.99032843,"('energetic', 'lethargic')",-0.1401507,-0.3856874,-0.5211202502250671,-0.6880079507827759,-0.16688770055770874
90,0.82059395,0.57304955,"('motivated', 'unmotivated')",0.7556038,0.49190336,0.7880988717079163,0.5324764251708984,-0.2556224465370178
85,-0.81924033,-0.86279607,"('ambitious', 'unambitious')",-0.57163817,-0.49643856,-0.6954392194747925,-0.6796172857284546,0.01582193374633789
55,-0.81240624,-0.76778954,"('intelligent', 'unintelligent')",-1.6793164,-1.6916134,-1.245861291885376,-1.2297015190124512,0.016159772872924805
35,0.7611758,0.8498825,"('fair', 'unfair')",0.5839207,0.6298332,0.6725482940673828,0.7398578524589539,0.06730955839157104
78,0.7577092,0.53825206,"('active', 'inactive')",2.2988765,2.0551476,1.5282928943634033,1.29669988155365,-0.23159301280975342
109,0.75154144,0.9547106,"('conservative', 'liberal')",0.9901692,0.5006657,0.8708553314208984,0.727688193321228,-0.1431671380996704
108,0.75154144,0.9547106,"('conservative', 'liberal')",0.9901692,0.5006657,0.8708553314208984,0.727688193321228,-0.1431671380996704
31,-0.7103061,-0.7722709,"('altruistic', 'egoistic')",-1.0287267,-0.9048219,-0.8695163726806641,-0.8385463953018188,0.030969977378845215
9,-0.70914155,-0.8549411,"('sensitive', 'insensitive')",-0.8077299,-0.9508859,-0.7584357261657715,-0.902913510799408,-0.14447778463363647
51,-0.70225435,-0.6377062,"('competent', 'incompetent')",-0.8641393,-0.82068634,-0.7831968069076538,-0.729196310043335,0.05400049686431885
102,-0.67954886,-0.7271995,"('eminent', 'low')",-1.4400564,-1.1707785,-1.0598026514053345,-0.9489890336990356,0.11081361770629883
84,-0.6780138,-0.63276845,"('self-confident', 'diffident')",-1.173914,-1.0297525,-0.9259638786315918,-0.8312604427337646,0.09470343589782715
7,0.66101277,0.6029681,"('outgoing', 'distant')",1.5762476,1.2412441,1.1186301708221436,0.9221060872077942,-0.19652408361434937
63,-0.6452006,-0.904775,"('capable', 'incapable')",-1.8446437,-1.6125655,-1.244922161102295,-1.2586703300476074,-0.0137481689453125
2,-0.63995874,-0.70618415,"('friendly', 'unfriendly')",-0.5437663,-0.80340505,-0.5918625593185425,-0.7547945976257324,-0.16293203830718994
54,0.6394205,0.35790604,"('smart', 'stupid')",0.21690619,-0.052339792,0.4281633496284485,0.1527831256389618,-0.2753802239894867
99,-0.6231739,-0.57030237,"('prestigious', 'insignificant')",-1.5264431,-0.96626765,-1.0748084783554077,-0.7682850360870361,0.3065234422683716
33,-0.6203185,-0.60491264,"('softhearted', 'hardhearted')",-0.8381401,-0.6498505,-0.7292292714118958,-0.6273815631866455,0.10184770822525024
49,-0.61557734,-0.9613346,"('responsible', 'irresponsible')",-1.2872715,-1.7525222,-0.9514244198799133,-1.3569283485412598,-0.40550392866134644
20,-0.60868806,-0.4884332,"('popular', 'unpopular')",-1.1882427,-0.60087484,-0.8984653949737549,-0.5446540117263794,0.3538113832473755
24,-0.59714675,-0.6664044,"('thoughtful', 'rough')",-1.6283404,-1.631002,-1.112743616104126,-1.1487032175064087,-0.035959601402282715
10,-0.5906596,-0.5736986,"('affectionate', 'unaffectionate')",-1.1770244,-0.83658236,-0.8838419914245605,-0.7051404714584351,0.1787015199661255
16,0.5861531,0.5466835,"('social', 'antisocial')",-0.34832555,-0.3278496,0.11891376972198486,0.10941694676876068,-0.009496822953224182
65,-0.57159084,-0.7037765,"('practical', 'impractical')",-1.2041619,-1.5140786,-0.8878763914108276,-1.1089274883270264,-0.22105109691619873
21,0.5291174,0.5166123,"('nice', 'nasty')",0.35528553,0.39549863,0.4422014653682709,0.4560554623603821,0.013853996992111206
45,-0.5199106,-0.85241574,"('cooperative', 'exploitative')",-0.23688906,-0.52737886,-0.3783998191356659,-0.6898972988128662,-0.3114974796772003
105,-0.50913906,-0.55104524,"('conventional', 'modern')",-1.2498581,-1.1220627,-0.8794986009597778,-0.8365539312362671,0.04294466972351074
91,0.4913052,0.43777776,"('resilient', 'nonresilient')",-0.3037455,-0.14424834,0.09377984702587128,0.14676471054553986,0.05298486351966858
0,-0.47617784,-0.1826386,"('sociable', 'unsociable')",-0.310687,-0.26009572,-0.3934324383735657,-0.22136715054512024,0.17206528782844543
46,0.46900538,0.752859,"('generous', 'stingy')",2.1400113,2.290865,1.3045083284378052,1.5218620300292969,0.2173537015914917
68,-0.4627399,-0.72675145,"('clever', 'inept')",-0.69602644,-0.7635937,-0.5793831944465637,-0.7451725602149963,-0.16578936576843262
101,-0.4623864,-0.35090616,"('successful', 'unsuccessful')",-0.72202563,-0.4095296,-0.5922060012817383,-0.38021788001060486,0.21198812127113342
57,0.45373303,0.24863127,"('able', 'unable')",-0.77868295,-0.8504975,-0.16247496008872986,-0.3009331226348877,-0.13845816254615784
22,0.42584586,0.30383947,"('welcoming', 'disagreeable')",0.6589053,0.724961,0.5423755645751953,0.5144002437591553,-0.02797532081604004
77,-0.41776603,-0.21373734,"('active', 'inactive')",0.19124106,0.5410753,-0.11326248943805695,0.16366897523403168,0.2769314646720886
39,-0.39478174,-0.17365816,"('right', 'wrong')",-0.39649194,0.091160074,-0.3956368565559387,-0.04124904423952103,0.3543878123164177
73,-0.38449162,-0.82247937,"('brilliant', 'incompetent')",-0.7476501,-1.1963165,-0.5660708546638489,-1.0093979835510254,-0.4433271288871765
5,0.3733926,0.20549421,"('pleasant', 'repellent')",-0.10100475,-0.19347778,0.13619393110275269,0.006008215248584747,-0.13018571585416794
88,0.365006,0.4971773,"('impulsive', 'meek')",0.83234376,0.9460097,0.5986748933792114,0.7215934991836548,0.12291860580444336
79,0.3606376,0.41848525,"('determined', 'doubtful')",0.37086314,0.22433588,0.36575037240982056,0.32141056656837463,-0.04433980584144592
98,-0.35885265,-0.37159622,"('prestigious', 'insignificant')",-0.42437908,-0.1821699,-0.3916158676147461,-0.276883065700531,0.11473280191421509
4,-0.35284552,-0.62067723,"('likable', 'unlikable')",-0.5873633,-0.66874546,-0.4701043963432312,-0.6447113752365112,-0.17460697889328003
25,-0.34682524,-0.51197994,"('moral', 'immoral')",-1.016332,-1.2085598,-0.6815786361694336,-0.8602698445320129,-0.17869120836257935
26,-0.3383396,-0.38765764,"('trustworthy', 'untrustworthy')",0.03151983,-0.007797368,-0.15340988337993622,-0.1977275013923645,-0.044317618012428284
70,0.33789468,0.60965586,"('wise', 'unwise')",0.20255646,0.3530981,0.2702255845069885,0.481376975774765,0.2111513912677765
97,-0.32856917,-0.28860113,"('superior', 'inferior')",-0.749508,-0.75421315,-0.5390385985374451,-0.5214071273803711,0.017631471157073975
69,-0.3012415,-0.27319863,"('wise', 'foolish')",-0.07757622,0.060221016,-0.18940885365009308,-0.10648880898952484,0.08292004466056824
43,-0.29752582,-0.3531435,"('genuine', 'fake')",-0.5417448,-0.452268,-0.4196353256702423,-0.40270575881004333,0.016929566860198975
96,-0.2959533,-0.25745845,"('powerful', 'powerless')",-0.47894013,-0.26734698,-0.38744670152664185,-0.2624027132987976,0.12504398822784424
89,-0.28227526,-0.4257395,"('daring', 'anxious')",-0.08159378,-0.32956684,-0.18193452060222626,-0.37765318155288696,-0.1957186609506607
106,0.26986784,0.32046652,"('conventional', 'unconventional')",-0.6885071,-0.5670258,-0.20931962132453918,-0.1232796311378479,0.08603999018669128
30,-0.26813552,-0.44325936,"('honest', 'dishonest')",0.041262656,-0.2614069,-0.11343643069267273,-0.352333128452301,-0.2388966977596283
59,0.26468468,0.2523153,"('skillful', 'clumsy')",-0.6801169,-0.15837014,-0.20771610736846924,0.04697258770465851,0.25468869507312775
19,0.20546097,0.36734498,"('funny', 'boring')",-0.14464879,-0.27581292,0.030406087636947632,0.04576602578163147,0.015359938144683838
14,0.2027409,0.25153953,"('supportive', 'unsupportive')",1.1104335,1.1600106,0.6565871834754944,0.7057750225067139,0.04918783903121948
56,-0.20078723,-0.05630243,"('intelligent', 'dumb')",0.67647016,0.6271712,0.23784145712852478,0.28543439507484436,0.04759293794631958
52,-0.1921778,-0.1970396,"('competitive', 'uncompetitive')",-0.047230422,-0.01712811,-0.11970411241054535,-0.10708385705947876,0.01262025535106659
82,0.18027544,0.30129403,"('industrious', 'meek')",0.82256013,1.0513266,0.5014177560806274,0.6763103008270264,0.17489254474639893
110,0.11906172,0.034877896,"('narrow-minded', 'open-minded')",0.15274078,0.21714991,0.13590124249458313,0.12601390480995178,-0.009887337684631348
15,0.09846629,0.16991034,"('polite', 'impolite')",0.25859308,0.27313805,0.17852967977523804,0.2215241938829422,0.04299451410770416
23,-0.058735073,-0.05016026,"('hospitable', 'inhospitable')",-0.051195025,0.07448858,-0.054965049028396606,0.0121641606092453,0.0671292096376419
80,0.038941354,0.060201667,"('independent', 'dependent')",0.1488357,0.038823307,0.0938885286450386,0.04951248690485954,-0.04437604174017906
17,0.03662765,0.15040678,"('social', 'antisocial')",-0.1374842,-0.052169174,-0.05042827129364014,0.049118801951408386,0.09954707324504852
42,0.03464526,0.18134618,"('amicable', 'hostile')",0.1335445,0.80982345,0.08409488201141357,0.4955848157405853,0.41148993372917175
76,-0.028677598,-0.07864183,"('secure', 'insecure')",-0.23880967,-0.53137034,-0.13374364376068115,-0.30500608682632446,-0.1712624430656433
41,0.025359273,0.3312702,"('incorrupt', 'corrupt')",1.0631201,1.4136621,0.5442396998405457,0.8724661469459534,0.3282264471054077
94,-0.025038004,0.09631446,"('aggressive', 'submissive')",0.30160213,0.04408145,0.13828206062316895,0.0701979547739029,-0.06808410584926605
92,0.015713915,0.12535268,"('unwavering', 'wavering')",-0.047941655,0.1250355,-0.016113869845867157,0.12519408762454987,0.14130795747041702
71,-0.015448034,-0.331406,"('efficient', 'inefficient')",-0.11073303,-0.7874613,-0.06309053301811218,-0.55943363904953,-0.49634310603141785
93,0.005621016,0.0948025,"('dominating', 'dominated')",0.41266784,0.23272341,0.20914442837238312,0.16376295685768127,-0.04538147151470184
8,-0.0011163354,-0.08380562,"('open', 'distant')",1.2507951,1.0522423,0.6248394250869751,0.4842183291912079,-0.1406210958957672
61,-0.00078591704,0.27800214,"('rational', 'irrational')",0.2985415,0.60255194,0.14887778460979462,0.4402770400047302,0.2913992553949356
