,Penn_male,Penn_female,tuple,National_male,National_female,Gaming_male,Gaming_female,average_male,average_female,female-male
75,6.324376,6.1912875,"('confident', 'shy')",4.177792,4.1315956,5.5667663,5.511855,5.356311798095703,5.278246243794759,-0.0780655543009443
6,3.38009,3.0055656,"('liked', 'disliked')",2.904479,2.397377,5.461767,5.4713726,3.915445327758789,3.62477175394694,-0.2906735738118491
27,-3.3742166,-2.9709044,"('sincere', 'insincere')",-3.954556,-3.4861095,-5.051132,-4.887394,-4.126634915669759,-3.7814693450927734,0.3451655705769854
95,-3.2218015,-3.024683,"('rich', 'poor')",-2.9986687,-2.800971,-5.49329,-5.5175953,-3.9045867919921875,-3.781083106994629,0.1235036849975586
40,-3.0466814,-3.0741458,"('honorable', 'mean')",-2.2825785,-2.4213948,-4.0274343,-4.1472335,-3.118898073832194,-3.2142581939697266,-0.0953601201375327
53,-3.0104108,-2.5523489,"('smart', 'stupid')",-2.8700273,-2.7768753,-3.4209251,-3.3093593,-3.100454330444336,-2.879527727762858,0.220926602681478
3,2.5947232,2.422697,"('likable', 'unlikable')",1.3636307,1.3136547,1.6224017,1.6419709,1.8602519035339355,1.7927742004394531,-0.06747770309448242
107,2.4614813,2.5929854,"('conventional', 'modern')",0.5489943,0.7028241,1.2190601,1.2353082,1.409845193227132,1.510372479756673,0.10052728652954102
48,2.248032,2.1131463,"('reliable', 'unreliable')",0.92311144,0.8210763,3.173963,3.088874,2.1150355339050293,2.0076990127563477,-0.10733652114868164
76,2.17266,2.35978,"('secure', 'insecure')",-0.40854225,-0.09520364,0.08098993,0.20362335,0.6150359312693278,0.8227332433064779,0.20769731203715014
99,-2.0776908,-2.2463503,"('prestigious', 'insignificant')",-0.9524495,-1.2132192,-0.7736686,-0.8209351,-1.2679363091786702,-1.4268349011739094,-0.15889859199523926
33,-2.0457778,-2.0210624,"('softhearted', 'hardhearted')",-0.3692285,-0.45180303,-0.90219617,-0.89189684,-1.1057341893513997,-1.1215874354044597,-0.015853246053060044
11,-2.0213933,-2.0953076,"('caring', 'unaffectionate')",-0.8798995,-0.8949674,-2.1663177,-2.0764651,-1.6892035802205403,-1.688913345336914,0.00029023488362622807
94,1.976695,2.1213653,"('aggressive', 'submissive')",0.79730195,1.2255776,0.5134952,0.6894986,1.0958306789398193,1.3454804420471191,0.2496497631072998
8,-1.9546266,-2.3912854,"('open', 'distant')",0.28095835,-0.19275483,-0.26768288,-0.54834497,-0.647117018699646,-1.04412841796875,-0.397011399269104
104,-1.9297135,-1.9567165,"('conventional', 'unconventional')",-0.7311794,-0.96777326,-0.94874495,-0.72433186,-1.2032126585642497,-1.2162738641103108,-0.01306120554606105
52,1.8961291,1.9509907,"('competitive', 'uncompetitive')",-0.14523184,0.06078762,0.13842171,0.17773736,0.6297729810078939,0.7298385302225748,0.10006554921468092
98,-1.8858091,-1.8773048,"('prestigious', 'insignificant')",-0.4836294,-0.86529064,-0.4302486,-0.5106565,-0.9332289695739746,-1.0844173431396484,-0.15118837356567383
66,1.800008,1.5785328,"('imaginative', 'unimaginative')",0.9507615,0.8735091,1.7384882,1.6875393,1.4964192708333333,1.3798604011535645,-0.1165588696797688
86,1.7881849,1.6238799,"('self-reliant', 'helpless')",0.90215015,0.76528776,2.5486114,2.4356754,1.7463154792785645,1.608281135559082,-0.13803434371948242
31,-1.7706854,-1.8153255,"('altruistic', 'egoistic')",0.035688058,0.002566129,-0.9968156,-0.89339006,-0.9106043179829916,-0.9020498593648275,0.008554458618164062
1,-1.7416997,-1.812801,"('friendly', 'unfriendly')",-1.1190532,-1.16922,-1.9149611,-1.9381557,-1.591904640197754,-1.6400588353474934,-0.04815419514973951
71,1.7414554,1.8557223,"('efficient', 'inefficient')",0.049186528,0.38408744,-0.39003778,-0.3579545,0.4668680826822917,0.6272850831349691,0.16041700045267743
10,-1.7212658,-1.784057,"('affectionate', 'unaffectionate')",-0.48711476,-0.52187943,-1.5666175,-1.5415919,-1.25833264986674,-1.282509406407674,-0.024176756540934097
15,1.6890373,1.9541993,"('polite', 'impolite')",0.70513135,1.167704,0.78938115,0.9431637,1.0611832936604817,1.3550224304199219,0.2938391367594402
62,-1.6789308,-1.7535298,"('creative', 'uncreative')",-0.08267939,-0.041158885,-1.3393099,-1.3697101,-1.0336400667826335,-1.0547995567321777,-0.021159489949544197
16,1.6406373,1.93025,"('social', 'antisocial')",-0.35894525,-0.06260884,-0.07724662,0.13680409,0.40148178736368817,0.6681484381357828,0.26666665077209467
50,1.5331005,1.4705001,"('unprejudiced', 'prejudiced')",0.55098706,0.3607285,2.7484508,2.645409,1.6108462015787761,1.4922126134236653,-0.11863358815511083
51,1.4818183,1.3950195,"('competent', 'incompetent')",-0.2030627,-0.37088367,0.20324063,0.2021373,0.49399876594543457,0.4087577263514201,-0.08524103959401447
103,1.4626051,1.4261174,"('traditional', 'modern')",0.9184968,0.84373844,1.1791724,1.2254014,1.186758041381836,1.165085792541504,-0.02167224884033203
7,-1.2768335,-1.6334733,"('outgoing', 'distant')",0.75752026,0.26289847,-0.055348903,-0.34991866,-0.19155406951904297,-0.5734978516896566,-0.38194378217061364
63,-1.2093024,-1.3453122,"('capable', 'incapable')",-1.3623254,-1.2541149,-1.5594015,-1.5085127,-1.3770097096761067,-1.3693132400512695,0.007696469624837166
34,-1.2001288,-1.0666124,"('loyal', 'disloyal')",-1.6931767,-1.3593631,-1.9132422,-1.7263807,-1.6021825472513835,-1.3841187159220378,0.2180638313293457
14,1.1947541,1.0660285,"('supportive', 'unsupportive')",-0.18387747,-0.22312835,0.68229043,0.661605,0.5643890301386515,0.501501719156901,-0.06288731098175049
32,-1.1729083,-0.8580493,"('benevolent', 'hardhearted')",-2.4253592,-2.3462944,-1.4722345,-1.2460506,-1.6901674270629883,-1.4834648768107097,0.20670255025227857
2,1.1658593,1.4919648,"('friendly', 'unfriendly')",-0.16368437,0.28072378,0.11271322,0.27381384,0.37162939707438153,0.6821675300598145,0.3105381329854329
64,1.1578943,1.0498586,"('clever', 'incompetent')",-0.3381386,-0.1208297,-0.98458433,-0.8998338,-0.05494288603464762,0.009731690088907877,0.0646745761235555
89,1.1319488,1.2058234,"('daring', 'anxious')",0.11698356,0.14267175,1.0931336,1.1706142,0.7806886037190756,0.8397030830383301,0.05901447931925452
65,1.1296759,1.1199263,"('practical', 'impractical')",-1.627232,-1.2386078,-1.1294643,-1.0281476,-0.5423401196797689,-0.38227633635203045,0.16006378332773846
0,1.0794396,1.4250183,"('sociable', 'unsociable')",-0.05796653,0.34233966,-0.52356327,-0.2905156,0.16596996784210205,0.4922808011372884,0.32631083329518634
109,1.0486758,1.3396392,"('conservative', 'liberal')",0.48247966,1.0742155,0.31162906,0.41067606,0.6142615079879761,0.9415102005004883,0.3272486925125122
108,1.0486758,1.3396392,"('conservative', 'liberal')",0.48247966,1.0742155,0.31162906,0.41067606,0.6142615079879761,0.9415102005004883,0.3272486925125122
49,1.0471482,1.0593672,"('responsible', 'irresponsible')",-0.8611547,-0.7259446,-1.0261612,-1.0624133,-0.2800558805465698,-0.24299691120783487,0.037058969338734954
59,1.0456976,1.2752954,"('skillful', 'clumsy')",0.45710677,0.7011093,0.14246784,0.25468045,0.5484240452448527,0.7436950206756592,0.19527097543080651
24,-1.0373244,-1.0118991,"('thoughtful', 'rough')",-0.81933635,-0.8358153,-0.34298682,-0.21638292,-0.7332158883412679,-0.6880324681599935,0.045183420181274414
79,1.0363913,1.182215,"('determined', 'doubtful')",0.5323944,0.8754993,0.021164045,0.14500204,0.5299832423528036,0.7342387835184733,0.20425554116566969
42,-1.0240598,-1.2812239,"('amicable', 'hostile')",1.0773916,0.72909147,0.7562561,0.8712491,0.26986265182495117,0.10637221733729045,-0.1634904344876607
105,-1.0087824,-1.0237712,"('conventional', 'modern')",-0.09494412,-0.33750185,-0.72495717,-0.66483104,-0.6095612049102783,-0.6753679911295573,-0.06580678621927893
39,-1.0022564,-1.0014753,"('right', 'wrong')",-0.38331106,-0.3657913,-0.2952711,-0.17854425,-0.5602795282999674,-0.5152703126271566,0.0450092156728108
28,-0.99170685,-0.8097749,"('honest', 'dishonest')",-1.2536167,-1.1572883,-1.0416791,-0.8996291,-1.0956676006317139,-0.9555641015370687,0.14010349909464515
35,0.9760034,1.059195,"('fair', 'unfair')",0.66311646,0.82199097,0.39980063,0.5064331,0.6796401341756185,0.7958730061848959,0.11623287200927734
