,Nike_male,Nike_female,tuple,average_male,average_female,female-male
75,5.2348547,4.7303877,"('confident', 'shy')",5.234854698181152,4.7303876876831055,-0.5044670104980469
27,-4.4924903,-3.7782311,"('sincere', 'insincere')",-4.492490291595459,-3.778231143951416,0.714259147644043
95,-4.283516,-3.8618913,"('rich', 'poor')",-4.283515930175781,-3.861891269683838,0.42162466049194336
6,3.8833427,3.1868746,"('liked', 'disliked')",3.883342742919922,3.1868746280670166,-0.6964681148529053
40,-3.4835615,-3.3379107,"('honorable', 'mean')",-3.4835615158081055,-3.3379106521606445,0.14565086364746094
53,-3.1646152,-2.9242496,"('smart', 'stupid')",-3.1646151542663574,-2.9242496490478516,0.24036550521850586
1,-3.032436,-3.0896626,"('friendly', 'unfriendly')",-3.032435894012451,-3.089662551879883,-0.05722665786743164
11,-2.36713,-2.4268308,"('caring', 'unaffectionate')",-2.3671300411224365,-2.426830768585205,-0.059700727462768555
32,-2.3306901,-2.3018324,"('benevolent', 'hardhearted')",-2.3306901454925537,-2.301832437515259,0.028857707977294922
48,2.2079341,2.0107627,"('reliable', 'unreliable')",2.2079341411590576,2.0107626914978027,-0.19717144966125488
66,2.1784465,1.9513233,"('imaginative', 'unimaginative')",2.1784465312957764,1.9513232707977295,-0.22712326049804688
50,2.0648315,1.7666391,"('unprejudiced', 'prejudiced')",2.064831495285034,1.7666391134262085,-0.2981923818588257
86,1.9269487,1.4677882,"('self-reliant', 'helpless')",1.9269486665725708,1.4677882194519043,-0.4591604471206665
56,1.8943937,1.9068347,"('intelligent', 'dumb')",1.8943936824798584,1.9068347215652466,0.012441039085388184
99,-1.8089383,-2.0624118,"('prestigious', 'insignificant')",-1.8089382648468018,-2.0624117851257324,-0.25347352027893066
10,-1.7487476,-1.8650417,"('affectionate', 'unaffectionate')",-1.7487475872039795,-1.865041732788086,-0.11629414558410645
62,-1.6932219,-1.8050902,"('creative', 'uncreative')",-1.693221926689148,-1.8050901889801025,-0.11186826229095459
105,-1.679801,-1.4376979,"('conventional', 'modern')",-1.6798009872436523,-1.4376978874206543,0.24210309982299805
107,1.6775062,1.6578782,"('conventional', 'modern')",1.6775062084197998,1.6578781604766846,-0.019628047943115234
16,1.5746922,1.8344412,"('social', 'antisocial')",1.5746922492980957,1.8344411849975586,0.2597489356994629
93,1.573767,1.923458,"('dominating', 'dominated')",1.5737669467926025,1.9234579801559448,0.3496910333633423
