,AT&T_male,AT&T_female,tuple,average_male,average_female,female-male
12,2.9686713,3.3737054,"('sympathetic', 'unsympathetic')",2.9686713218688965,3.3737053871154785,0.40503406524658203
94,2.9533005,3.1520529,"('aggressive', 'submissive')",2.9533004760742188,3.152052879333496,0.19875240325927734
36,2.8680816,3.1624513,"('tolerant', 'intolerant')",2.868081569671631,3.1624512672424316,0.2943696975708008
76,2.8282468,3.1591456,"('secure', 'insecure')",2.828246831893921,3.1591455936431885,0.3308987617492676
81,-2.5291066,-2.9720867,"('industrious', 'lazy')",-2.529106616973877,-2.9720866680145264,-0.4429800510406494
107,2.4616423,2.4899976,"('conventional', 'modern')",2.461642265319824,2.489997625350952,0.02835536003112793
49,2.3263245,2.4085627,"('responsible', 'irresponsible')",2.326324462890625,2.408562660217285,0.08223819732666016
16,2.3185918,2.659345,"('social', 'antisocial')",2.318591833114624,2.6593449115753174,0.34075307846069336
58,2.3014565,2.5950613,"('able', 'clumsy')",2.3014564514160156,2.5950613021850586,0.29360485076904297
8,-2.2868428,-2.6580162,"('open', 'distant')",-2.2868428230285645,-2.6580162048339844,-0.3711733818054199
0,2.2624178,2.76193,"('sociable', 'unsociable')",2.262417793273926,2.761929988861084,0.4995121955871582
65,2.2601159,2.4444878,"('practical', 'impractical')",2.2601158618927,2.4444878101348877,0.1843719482421875
99,-2.2305102,-2.6338947,"('prestigious', 'insignificant')",-2.2305102348327637,-2.633894681930542,-0.4033844470977783
64,2.1971264,2.6641555,"('clever', 'incompetent')",2.1971263885498047,2.6641554832458496,0.4670290946960449
82,-2.129049,-2.6876774,"('industrious', 'meek')",-2.129049062728882,-2.6876773834228516,-0.5586283206939697
15,2.0995107,2.2297482,"('polite', 'impolite')",2.099510669708252,2.229748249053955,0.13023757934570312
27,2.0258555,2.3484187,"('sincere', 'insincere')",2.025855541229248,2.348418712615967,0.32256317138671875
52,1.9887272,2.3528142,"('competitive', 'uncompetitive')",1.9887272119522095,2.352814197540283,0.36408698558807373
39,-1.8950844,-2.1373405,"('right', 'wrong')",-1.8950843811035156,-2.137340545654297,-0.24225616455078125
104,-1.8857725,-1.6189793,"('conventional', 'unconventional')",-1.885772466659546,-1.6189793348312378,0.2667931318283081
83,1.8470753,1.9748889,"('energetic', 'lethargic')",1.847075343132019,1.9748889207839966,0.12781357765197754
71,1.8285536,2.2040546,"('efficient', 'inefficient')",1.828553557395935,2.204054594039917,0.37550103664398193
88,-1.8262165,-2.3350904,"('impulsive', 'meek')",-1.826216459274292,-2.335090398788452,-0.5088739395141602
37,-1.8202472,-1.9656538,"('good', 'evil')",-1.8202471733093262,-1.9656537771224976,-0.1454066038131714
2,1.8058603,2.1695697,"('friendly', 'unfriendly')",1.8058602809906006,2.169569730758667,0.3637094497680664
41,-1.7563884,-2.0609846,"('incorrupt', 'corrupt')",-1.7563884258270264,-2.0609846115112305,-0.3045961856842041
89,1.7383637,1.7888528,"('daring', 'anxious')",1.7383637428283691,1.7888528108596802,0.050489068031311035
34,1.6671644,2.064973,"('loyal', 'disloyal')",1.6671644449234009,2.0649731159210205,0.39780867099761963
6,-1.6600972,-1.7988973,"('liked', 'disliked')",-1.6600972414016724,-1.7988972663879395,-0.1388000249862671
13,1.6545513,1.850855,"('helpful', 'unhelpful')",1.6545512676239014,1.8508549928665161,0.19630372524261475
42,-1.6205047,-1.7180959,"('amicable', 'hostile')",-1.6205047369003296,-1.7180958986282349,-0.09759116172790527
61,-1.4366304,-1.363138,"('rational', 'irrational')",-1.436630368232727,-1.36313796043396,0.07349240779876709
98,-1.4148763,-1.7515974,"('prestigious', 'insignificant')",-1.4148763418197632,-1.7515974044799805,-0.3367210626602173
23,-1.3884368,-1.6597049,"('hospitable', 'inhospitable')",-1.3884367942810059,-1.6597049236297607,-0.2712681293487549
18,1.3817208,1.4360827,"('social', 'asocial')",1.381720781326294,1.4360827207565308,0.054361939430236816
7,-1.3791289,-1.8116274,"('outgoing', 'distant')",-1.3791289329528809,-1.8116273880004883,-0.4324984550476074
95,1.3777871,1.5375319,"('rich', 'poor')",1.3777871131896973,1.537531852722168,0.1597447395324707
66,1.2752389,1.4837024,"('imaginative', 'unimaginative')",1.2752388715744019,1.4837024211883545,0.20846354961395264
20,-1.2513072,-1.4389194,"('popular', 'unpopular')",-1.2513072490692139,-1.4389194250106812,-0.18761217594146729
5,1.2109512,1.4348872,"('pleasant', 'repellent')",1.2109512090682983,1.434887170791626,0.22393596172332764
53,1.2098763,1.2962599,"('smart', 'stupid')",1.209876298904419,1.296259880065918,0.08638358116149902
51,1.155799,1.5558147,"('competent', 'incompetent')",1.1557990312576294,1.5558147430419922,0.4000157117843628
69,-1.1525731,-1.4085366,"('wise', 'foolish')",-1.1525731086730957,-1.4085365533828735,-0.25596344470977783
86,-1.0976901,-1.3051499,"('self-reliant', 'helpless')",-1.0976901054382324,-1.3051499128341675,-0.20745980739593506
92,-1.0777655,-1.4585127,"('unwavering', 'wavering')",-1.0777654647827148,-1.4585126638412476,-0.3807471990585327
31,-1.0750206,-1.0802261,"('altruistic', 'egoistic')",-1.0750205516815186,-1.0802260637283325,-0.005205512046813965
109,1.0598898,1.2742581,"('conservative', 'liberal')",1.059889793395996,1.2742581367492676,0.21436834335327148
108,1.0598898,1.2742581,"('conservative', 'liberal')",1.059889793395996,1.2742581367492676,0.21436834335327148
4,-1.0520968,-1.3001021,"('likable', 'unlikable')",-1.0520968437194824,-1.3001021146774292,-0.24800527095794678
26,1.0353267,1.2037983,"('trustworthy', 'untrustworthy')",1.0353267192840576,1.2037982940673828,0.1684715747833252
101,-1.025959,-1.1110282,"('successful', 'unsuccessful')",-1.0259590148925781,-1.1110281944274902,-0.08506917953491211
84,-0.93423885,-0.93858755,"('self-confident', 'diffident')",-0.934238851070404,-0.9385875463485718,-0.004348695278167725
9,0.90682507,1.1739948,"('sensitive', 'insensitive')",0.906825065612793,1.173994779586792,0.267169713973999
55,0.88547325,1.3090272,"('intelligent', 'unintelligent')",0.8854732513427734,1.3090271949768066,0.4235539436340332
46,-0.87626743,-0.80676377,"('generous', 'stingy')",-0.8762674331665039,-0.806763768196106,0.06950366497039795
100,0.85746753,1.2156112,"('influential', 'uninfluential')",0.857467532157898,1.215611219406128,0.35814368724823
19,-0.8464308,-0.76998526,"('funny', 'boring')",-0.846430778503418,-0.7699852585792542,0.07644551992416382
79,0.84394586,0.7237812,"('determined', 'doubtful')",0.8439458608627319,0.7237812280654907,-0.12016463279724121
110,0.7959068,0.8222637,"('narrow-minded', 'open-minded')",0.7959067821502686,0.8222637176513672,0.026356935501098633
1,-0.7849078,-0.62179816,"('friendly', 'unfriendly')",-0.7849078178405762,-0.6217981576919556,0.1631096601486206
62,-0.7496154,-0.5962116,"('creative', 'uncreative')",-0.7496153712272644,-0.5962116122245789,0.15340375900268555
74,0.6892242,0.9197228,"('insightful', 'unperceptive')",0.6892241835594177,0.9197227954864502,0.23049861192703247
28,0.6726334,0.82527786,"('honest', 'dishonest')",0.6726334095001221,0.8252778649330139,0.15264445543289185
63,-0.64593524,-0.9110906,"('capable', 'incapable')",-0.6459352374076843,-0.911090612411499,-0.2651553750038147
33,0.64135605,0.6934887,"('softhearted', 'hardhearted')",0.6413560509681702,0.6934887170791626,0.05213266611099243
72,-0.63392997,-0.34907532,"('logical', 'illogical')",-0.633929967880249,-0.3490753173828125,0.2848546504974365
85,0.62881064,0.60302645,"('ambitious', 'unambitious')",0.6288106441497803,0.6030264496803284,-0.025784194469451904
38,0.5947616,0.81232184,"('kind', 'unkind')",0.5947616100311279,0.8123218417167664,0.21756023168563843
75,0.5773598,0.3632787,"('confident', 'shy')",0.5773597955703735,0.36327868700027466,-0.21408110857009888
29,0.5685846,0.81804335,"('honest', 'immoral')",0.5685846209526062,0.8180433511734009,0.24945873022079468
59,-0.54639465,-0.75486934,"('skillful', 'clumsy')",-0.5463946461677551,-0.7548693418502808,-0.20847469568252563
70,0.5329592,0.47151622,"('wise', 'unwise')",0.5329592227935791,0.4715162217617035,-0.06144300103187561
47,0.5323839,0.6628093,"('forgiving', 'unforgiving')",0.532383918762207,0.6628093123435974,0.13042539358139038
25,0.5280188,0.77159584,"('moral', 'immoral')",0.5280187726020813,0.77159583568573,0.24357706308364868
14,0.5223536,0.6276434,"('supportive', 'unsupportive')",0.5223535895347595,0.6276434063911438,0.10528981685638428
32,-0.50534016,-0.26942387,"('benevolent', 'hardhearted')",-0.5053401589393616,-0.26942387223243713,0.23591628670692444
22,0.5024972,0.38151622,"('welcoming', 'disagreeable')",0.5024971961975098,0.3815162181854248,-0.12098097801208496
40,0.4719138,0.51092577,"('honorable', 'mean')",0.47191381454467773,0.5109257698059082,0.03901195526123047
54,0.46985474,0.4109677,"('smart', 'stupid')",0.4698547422885895,0.41096770763397217,-0.05888703465461731
77,-0.4471096,-0.74323106,"('active', 'inactive')",-0.4471096098423004,-0.7432310581207275,-0.2961214482784271
103,0.44468722,0.72652376,"('traditional', 'modern')",0.44468721747398376,0.726523756980896,0.28183653950691223
11,-0.4432361,-0.40064305,"('caring', 'unaffectionate')",-0.4432361125946045,-0.4006430506706238,0.04259306192398071
17,0.43932897,0.6649248,"('social', 'antisocial')",0.43932896852493286,0.6649248003959656,0.22559583187103271
10,0.43751168,0.5330143,"('affectionate', 'unaffectionate')",0.437511682510376,0.5330142974853516,0.09550261497497559
90,0.42857185,0.3775965,"('motivated', 'unmotivated')",0.4285718500614166,0.37759649753570557,-0.05097535252571106
