,Eli_male,Eli_female,tuple,Lilly_male,Lilly_female,&_male,&_female,Co_male,Co_female,average_male,average_female,female-male
75,7.096723,7.0453906,"('confident', 'shy')",5.922153,5.819439,4.0087137,4.0352073,5.673871,5.3735704,5.675365447998047,5.568402290344238,-0.1069631576538086
27,-6.5743647,-6.7116575,"('sincere', 'insincere')",-6.0564513,-6.150241,-4.1355467,-3.9827933,-4.9638863,-5.0146914,-5.432561874389648,-5.464845657348633,-0.032283782958984375
6,6.5716267,6.5692744,"('liked', 'disliked')",5.606393,5.5795155,4.5879793,4.393346,5.5236793,5.627969,5.5724196434021,5.5425262451171875,-0.02989339828491211
95,-5.539278,-5.7861757,"('rich', 'poor')",-5.13666,-5.1447124,-4.6163955,-4.796937,-5.0380754,-4.956311,-5.082602500915527,-5.17103385925293,-0.08843135833740234
53,-5.205204,-4.9612217,"('smart', 'stupid')",-4.342892,-4.3347507,-2.785178,-2.6608834,-4.3112946,-4.362272,-4.161142349243164,-4.079782009124756,0.0813603401184082
40,-4.6894345,-5.313745,"('honorable', 'mean')",-4.0122547,-4.2563066,-3.1803021,-3.355461,-4.2676973,-4.659159,-4.037422180175781,-4.396167755126953,-0.3587455749511719
48,3.6289508,3.3137665,"('reliable', 'unreliable')",2.8490245,2.7348938,1.5736834,1.3709737,2.188315,1.8972862,2.559993267059326,2.3292300701141357,-0.23076319694519043
66,3.2063367,3.0897355,"('imaginative', 'unimaginative')",3.0672982,3.22778,1.7984312,1.9160259,1.86568,2.2137253,2.484436511993408,2.611816644668579,0.1273801326751709
86,3.0051866,2.8416202,"('self-reliant', 'helpless')",2.5727577,2.4537473,3.6254056,3.315715,2.2704453,2.383823,2.8684487342834473,2.7487263679504395,-0.11972236633300781
3,2.430898,2.2216403,"('likable', 'unlikable')",1.4500979,1.471734,0.5202945,0.25173515,1.063711,1.0466228,1.3662503957748413,1.2479331493377686,-0.11831724643707275
13,-2.33842,-2.5922909,"('helpful', 'unhelpful')",-2.2582052,-2.4114304,-1.4792297,-1.5617889,-2.5509446,-2.6753383,-2.1566998958587646,-2.3102121353149414,-0.15351223945617676
1,-2.3329668,-2.1082447,"('friendly', 'unfriendly')",-2.0374022,-1.8551512,-1.8073549,-1.9302442,-1.2031499,-0.6780352,-1.8452184200286865,-1.6429188251495361,0.2022995948791504
11,-2.2936969,-2.3950725,"('caring', 'unaffectionate')",-2.4781406,-2.5409765,-0.93532413,-0.9677944,-1.0189427,-0.8313039,-1.6815260648727417,-1.6837868690490723,-0.0022608041763305664
28,-2.2042508,-2.3178864,"('honest', 'dishonest')",-1.8949168,-2.0260808,-2.4815605,-2.3089046,-1.8666239,-1.6954603,-2.1118381023406982,-2.087083101272583,0.024755001068115234
58,-2.1690123,-2.027813,"('able', 'clumsy')",-1.2686989,-1.1569581,-1.5622277,-1.5301608,-1.4955906,-1.614792,-1.6238824129104614,-1.5824309587478638,0.041451454162597656
50,2.0617125,2.0328007,"('unprejudiced', 'prejudiced')",1.9222919,1.7135142,2.6318374,2.5001001,1.7768979,1.6130642,2.0981850624084473,1.9648698568344116,-0.13331520557403564
