,Boston_male,Boston_female,tuple,Properties_male,Properties_female,average_male,average_female,female-male
75,5.295062,5.447608,"('confident', 'shy')",4.7675934,4.7526984,5.031327724456787,5.100152969360352,0.06882524490356445
95,-4.5818834,-4.705036,"('rich', 'poor')",-5.171538,-5.0955048,-4.876710891723633,-4.900270462036133,-0.0235595703125
27,-4.4929123,-4.742769,"('sincere', 'insincere')",-5.9473,-5.7626457,-5.22010612487793,-5.252707481384277,-0.032601356506347656
6,4.02438,4.2698154,"('liked', 'disliked')",4.8583403,4.81888,4.4413604736328125,4.544347763061523,0.10298728942871094
53,-4.0226507,-3.9841387,"('smart', 'stupid')",-4.2089596,-4.2474847,-4.115805149078369,-4.115811824798584,-6.67572021484375e-06
40,-3.4374418,-3.7133846,"('honorable', 'mean')",-4.4528685,-4.752194,-3.945155143737793,-4.232789039611816,-0.28763389587402344
50,2.923521,2.7272143,"('unprejudiced', 'prejudiced')",1.8399818,1.7242343,2.381751537322998,2.225724220275879,-0.15602731704711914
86,2.606256,2.655164,"('self-reliant', 'helpless')",2.7959146,2.5180254,2.701085329055786,2.586594581604004,-0.11449074745178223
28,-2.0730674,-2.2340717,"('honest', 'dishonest')",-1.1310492,-1.2378485,-1.6020582914352417,-1.7359601259231567,-0.13390183448791504
32,-1.9326484,-1.778096,"('benevolent', 'hardhearted')",-1.5359819,-1.2411616,-1.7343151569366455,-1.5096287727355957,0.2246863842010498
13,-1.92256,-1.9612126,"('helpful', 'unhelpful')",-2.972676,-2.841303,-2.447618007659912,-2.4012579917907715,0.046360015869140625
100,-1.911383,-1.6663234,"('influential', 'uninfluential')",-0.79805696,-0.36800623,-1.3547199964523315,-1.0171648263931274,0.3375551700592041
87,-1.834552,-1.7647911,"('dedicated', 'undedicated')",-0.84035015,-0.83383936,-1.3374511003494263,-1.2993152141571045,0.03813588619232178
60,-1.8120403,-1.4813275,"('educated', 'uneducated')",-0.7753732,-0.13364273,-1.2937067747116089,-0.8074851036071777,0.48622167110443115
3,1.7845949,1.555021,"('likable', 'unlikable')",0.6014416,0.4861854,1.1930181980133057,1.0206031799316406,-0.17241501808166504
58,-1.6989949,-1.8339792,"('able', 'clumsy')",-2.1146393,-1.9000065,-1.906817078590393,-1.8669929504394531,0.03982412815093994
34,-1.64428,-1.4868822,"('loyal', 'disloyal')",-1.8539871,-1.4897325,-1.749133586883545,-1.4883073568344116,0.2608262300491333
11,-1.6277667,-1.7066488,"('caring', 'unaffectionate')",-1.5438273,-1.7993515,-1.5857970714569092,-1.7530001401901245,-0.16720306873321533
48,1.5509629,1.4666177,"('reliable', 'unreliable')",2.088916,1.8968606,1.8199394941329956,1.681739091873169,-0.13820040225982666
29,-1.5185894,-1.637164,"('honest', 'immoral')",-0.85030484,-0.9273514,-1.1844470500946045,-1.2822576761245728,-0.09781062602996826
38,-1.4155996,-1.3832332,"('kind', 'unkind')",-1.8632658,-1.344902,-1.639432668685913,-1.364067554473877,0.27536511421203613
74,-1.3947899,-1.4823906,"('insightful', 'unperceptive')",-1.7456455,-1.9286261,-1.5702177286148071,-1.7055083513259888,-0.13529062271118164
67,-1.3802526,-1.2589235,"('discriminating', 'undiscriminating')",-0.84045213,-0.8994385,-1.1103523969650269,-1.0791809558868408,0.031171441078186035
107,1.3677415,1.388577,"('conventional', 'modern')",-0.17889684,0.07398963,0.5944223403930664,0.7312833070755005,0.13686096668243408
1,-1.3621233,-1.3920126,"('friendly', 'unfriendly')",-0.7271242,-0.8731348,-1.0446237325668335,-1.1325737237930298,-0.08794999122619629
36,-1.3421199,-1.4648583,"('tolerant', 'intolerant')",-1.6654601,-1.5985916,-1.503790020942688,-1.5317249298095703,-0.027934908866882324
72,-1.3194966,-1.2617949,"('logical', 'illogical')",-0.5102074,-0.4147591,-0.9148520231246948,-0.8382769823074341,0.07657504081726074
62,-1.3165447,-1.3092897,"('creative', 'uncreative')",-0.4674378,-0.895578,-0.8919912576675415,-1.1024339199066162,-0.2104426622390747
12,-1.2692987,-1.1823666,"('sympathetic', 'unsympathetic')",-1.4454248,-1.3145761,-1.3573617935180664,-1.2484713792800903,0.10889041423797607
37,1.1864436,1.1383803,"('good', 'evil')",2.2556033,1.8138418,1.721023440361023,1.4761110544204712,-0.24491238594055176
104,-1.1248885,-0.8993287,"('conventional', 'unconventional')",0.2301956,0.32036605,-0.4473464787006378,-0.28948134183883667,0.15786513686180115
44,-1.0258083,-1.1018583,"('truthful', 'untruthful')",-1.2181623,-1.2992584,-1.1219853162765503,-1.2005583047866821,-0.07857298851013184
