,Lockheed_male,Lockheed_female,tuple,Martin_male,Martin_female,average_male,average_female,female-male
75,7.4235473,7.7406836,"('confident', 'shy')",7.212348,7.1012926,7.3179473876953125,7.420988082885742,0.10304069519042969
6,5.538675,5.876133,"('liked', 'disliked')",6.199136,5.8981285,5.868905067443848,5.8871307373046875,0.018225669860839844
27,-5.4876733,-5.737109,"('sincere', 'insincere')",-6.538691,-6.259327,-6.013182163238525,-5.998218059539795,0.014964103698730469
53,-5.2142706,-5.4695816,"('smart', 'stupid')",-5.0740643,-5.0695252,-5.144167423248291,-5.269553184509277,-0.12538576126098633
95,-5.129897,-5.396901,"('rich', 'poor')",-5.3316026,-5.1495466,-5.23075008392334,-5.273223876953125,-0.042473793029785156
48,4.451638,4.3850317,"('reliable', 'unreliable')",3.3290608,3.2057316,3.8903493881225586,3.795381546020508,-0.09496784210205078
40,-4.439015,-5.0618896,"('honorable', 'mean')",-4.49269,-4.7249374,-4.465852737426758,-4.893413543701172,-0.42756080627441406
86,3.0654683,3.0815082,"('self-reliant', 'helpless')",3.1491563,2.974195,3.1073122024536133,3.0278515815734863,-0.07946062088012695
50,2.758778,2.6835573,"('unprejudiced', 'prejudiced')",2.2337344,1.996362,2.4962563514709473,2.3399596214294434,-0.1562967300415039
1,-2.6938038,-2.6099694,"('friendly', 'unfriendly')",-1.8972516,-1.9509017,-2.295527696609497,-2.280435562133789,0.015092134475708008
11,-2.5563135,-2.4910622,"('caring', 'unaffectionate')",-2.2402933,-2.1956544,-2.398303508758545,-2.343358278274536,0.05494523048400879
32,-2.3654435,-2.2193367,"('benevolent', 'hardhearted')",-1.2473648,-1.0749698,-1.8064041137695312,-1.6471532583236694,0.15925085544586182
3,2.3594673,2.4381337,"('likable', 'unlikable')",2.4130578,2.3318646,2.3862624168395996,2.3849992752075195,-0.0012631416320800781
10,-2.2693877,-2.1168966,"('affectionate', 'unaffectionate')",-1.3683107,-1.3345613,-1.8188492059707642,-1.725728988647461,0.09312021732330322
66,2.218455,2.5066657,"('imaginative', 'unimaginative')",2.183688,2.2161794,2.2010715007781982,2.361422538757324,0.16035103797912598
13,-2.051649,-2.1736145,"('helpful', 'unhelpful')",-2.8379521,-2.48651,-2.444800615310669,-2.3300623893737793,0.11473822593688965
107,1.9475657,1.9999764,"('conventional', 'modern')",1.0653921,1.5150468,1.5064789056777954,1.7575116157531738,0.2510327100753784
109,1.8353373,1.849678,"('conservative', 'liberal')",1.4844991,1.4465108,1.659918189048767,1.6480944156646729,-0.011823773384094238
108,1.8353373,1.849678,"('conservative', 'liberal')",1.4844991,1.4465108,1.659918189048767,1.6480944156646729,-0.011823773384094238
46,1.7644913,1.8500066,"('generous', 'stingy')",1.8323569,1.6720843,1.7984241247177124,1.7610454559326172,-0.037378668785095215
16,1.67104,1.717203,"('social', 'antisocial')",0.7280214,0.9901283,1.1995307207107544,1.3536655902862549,0.1541348695755005
63,-1.6219049,-1.8019073,"('capable', 'incapable')",-1.4971204,-1.4933727,-1.5595126152038574,-1.6476399898529053,-0.08812737464904785
104,-1.6000525,-1.3962718,"('conventional', 'unconventional')",-1.1068275,-1.0394193,-1.3534400463104248,-1.2178455591201782,0.13559448719024658
62,-1.5831306,-1.478804,"('creative', 'uncreative')",-0.8545408,-1.0903199,-1.218835711479187,-1.2845618724822998,-0.06572616100311279
56,1.4906449,1.4019241,"('intelligent', 'dumb')",0.88459784,0.93711317,1.1876213550567627,1.1695187091827393,-0.018102645874023438
76,1.484134,1.3307846,"('secure', 'insecure')",0.9024222,1.2370011,1.1932780742645264,1.2838928699493408,0.09061479568481445
94,1.4638488,1.3458703,"('aggressive', 'submissive')",0.40213323,0.65669084,0.9329910278320312,1.0012805461883545,0.06828951835632324
34,-1.4595894,-1.2992752,"('loyal', 'disloyal')",-1.8765827,-1.3785862,-1.668086051940918,-1.338930606842041,0.32915544509887695
31,-1.4547696,-1.4365736,"('altruistic', 'egoistic')",-0.7025094,-0.8400093,-1.0786395072937012,-1.1382914781570435,-0.059651970863342285
103,1.4457269,1.3493168,"('traditional', 'modern')",1.1084907,1.1284359,1.2771087884902954,1.2388763427734375,-0.03823244571685791
38,-1.4451364,-1.2700989,"('kind', 'unkind')",-1.7679874,-1.1548414,-1.6065618991851807,-1.2124701738357544,0.39409172534942627
78,1.4142454,1.2351435,"('active', 'inactive')",1.9315645,1.4002179,1.6729049682617188,1.3176807165145874,-0.35522425174713135
15,1.3704962,1.5771698,"('polite', 'impolite')",0.576601,0.8145933,0.9735485911369324,1.1958816051483154,0.22233301401138306
33,-1.2739888,-1.2461386,"('softhearted', 'hardhearted')",-1.3001958,-1.1052657,-1.2870923280715942,-1.1757020950317383,0.11139023303985596
93,1.1951644,1.1712564,"('dominating', 'dominated')",0.34194607,0.6182106,0.7685552835464478,0.8947335481643677,0.12617826461791992
71,1.1352041,0.8527038,"('efficient', 'inefficient')",0.61898506,0.51243865,0.877094566822052,0.6825712323188782,-0.19452333450317383
98,-1.1272612,-1.2933648,"('prestigious', 'insignificant')",-0.8333017,-1.1417831,-0.9802814722061157,-1.217573881149292,-0.23729240894317627
99,-1.1201534,-1.2901425,"('prestigious', 'insignificant')",-1.0142729,-1.3138732,-1.0672131776809692,-1.3020079135894775,-0.2347947359085083
28,-1.099023,-1.1360389,"('honest', 'dishonest')",-1.5594298,-1.279914,-1.3292263746261597,-1.2079764604568481,0.12124991416931152
55,-1.0897392,-1.1306328,"('intelligent', 'unintelligent')",-0.7602372,-0.6336237,-0.9249882102012634,-0.8821282386779785,0.04285997152328491
