,Eastman_male,Eastman_female,tuple,Chemical_male,Chemical_female,average_male,average_female,female-male
75,3.9111557,3.9259558,"('confident', 'shy')",7.1593237,7.0119114,5.5352396965026855,5.468933582305908,-0.06630611419677734
32,-2.830122,-2.612143,"('benevolent', 'hardhearted')",-2.2819204,-2.0546193,-2.556021213531494,-2.333381175994873,0.2226400375366211
1,-2.5066853,-2.3958101,"('friendly', 'unfriendly')",-1.5013711,-1.1758164,-2.0040283203125,-1.785813331604004,0.2182149887084961
27,-2.326076,-2.180529,"('sincere', 'insincere')",-6.036478,-6.181207,-4.181277275085449,-4.180868148803711,0.00040912628173828125
48,2.2614653,2.2718806,"('reliable', 'unreliable')",3.0206656,2.8385098,2.6410655975341797,2.5551953315734863,-0.08587026596069336
107,2.2492876,2.6370382,"('conventional', 'modern')",0.04616797,-0.046818823,1.1477277278900146,1.295109748840332,0.14738202095031738
50,2.2137995,1.968819,"('unprejudiced', 'prejudiced')",2.1829355,1.9759729,2.1983675956726074,1.972395896911621,-0.22597169876098633
62,-2.1201093,-2.1346922,"('creative', 'uncreative')",-0.5305606,-0.48861438,-1.3253350257873535,-1.3116532564163208,0.013681769371032715
56,2.034019,1.9538286,"('intelligent', 'dumb')",1.3772097,1.4284747,1.7056143283843994,1.6911516189575195,-0.014462709426879883
95,-1.8316139,-1.7422138,"('rich', 'poor')",-5.348347,-5.4056673,-3.5899806022644043,-3.5739405155181885,0.01604008674621582
11,-1.8292599,-1.6117846,"('caring', 'unaffectionate')",-1.7655909,-1.6236299,-1.797425389289856,-1.6177072525024414,0.17971813678741455
53,-1.8112515,-1.7472239,"('smart', 'stupid')",-4.2210474,-4.6036434,-3.0161495208740234,-3.17543363571167,-0.15928411483764648
99,-1.8109467,-2.0159426,"('prestigious', 'insignificant')",-1.1245944,-0.76730883,-1.4677705764770508,-1.3916256427764893,0.07614493370056152
40,-1.7876658,-1.8948328,"('honorable', 'mean')",-4.5241776,-4.9216366,-3.155921697616577,-3.4082345962524414,-0.25231289863586426
86,1.7236497,1.7050164,"('self-reliant', 'helpless')",2.9275367,3.040781,2.3255932331085205,2.372898578643799,0.04730534553527832
6,1.6648767,1.679036,"('liked', 'disliked')",5.560084,5.764044,3.6124801635742188,3.7215399742126465,0.10905981063842773
42,-1.6276436,-1.732995,"('amicable', 'hostile')",0.6284963,1.1555991,-0.49957364797592163,-0.2886979579925537,0.21087568998336792
102,-1.5806718,-1.55094,"('eminent', 'low')",-1.2075596,-0.9658801,-1.394115686416626,-1.258410096168518,0.1357055902481079
15,1.5048839,1.7553778,"('polite', 'impolite')",0.57507133,0.36406308,1.0399775505065918,1.0597203969955444,0.019742846488952637
39,-1.3970726,-1.2769303,"('right', 'wrong')",-0.09988542,0.27284247,-0.7484790086746216,-0.5020439624786377,0.2464350461959839
100,-1.3914559,-1.1172832,"('influential', 'uninfluential')",-0.7980094,-0.53261936,-1.094732642173767,-0.8249512910842896,0.26978135108947754
94,1.3848128,1.5388224,"('aggressive', 'submissive')",0.30465066,-0.0888471,0.8447317481040955,0.7249876260757446,-0.11974412202835083
