,Celanese_male,Celanese_female,tuple,average_male,average_female,female-male
75,2.318295,2.238265,"('confident', 'shy')",2.3182950019836426,2.238265037536621,-0.08002996444702148
95,-1.9093968,-1.6993984,"('rich', 'poor')",-1.909396767616272,-1.699398398399353,0.20999836921691895
53,-1.7103344,-1.7526305,"('smart', 'stupid')",-1.7103344202041626,-1.7526304721832275,-0.04229605197906494
38,-1.5253216,-1.2460139,"('kind', 'unkind')",-1.52532160282135,-1.246013879776001,0.2793077230453491
90,1.4164357,1.3750895,"('motivated', 'unmotivated')",1.416435718536377,1.3750895261764526,-0.041346192359924316
27,-1.415711,-0.94838625,"('sincere', 'insincere')",-1.4157110452651978,-0.9483862519264221,0.46732479333877563
40,-1.3967693,-1.4565425,"('honorable', 'mean')",-1.3967692852020264,-1.4565424919128418,-0.05977320671081543
6,1.3132155,1.4425378,"('liked', 'disliked')",1.3132154941558838,1.442537784576416,0.12932229042053223
66,1.2613181,1.5388665,"('imaginative', 'unimaginative')",1.2613180875778198,1.5388665199279785,0.2775484323501587
106,-1.2354385,-1.2063257,"('conventional', 'unconventional')",-1.2354384660720825,-1.206325650215149,0.029112815856933594
70,1.2033619,1.2543123,"('wise', 'unwise')",1.2033618688583374,1.25431227684021,0.05095040798187256
103,1.189904,1.310062,"('traditional', 'modern')",1.189903974533081,1.310062050819397,0.12015807628631592
1,-1.1449908,-0.670438,"('friendly', 'unfriendly')",-1.1449908018112183,-0.6704379916191101,0.47455281019210815
32,-1.1285579,-1.0625434,"('benevolent', 'hardhearted')",-1.1285579204559326,-1.0625433921813965,0.06601452827453613
104,-0.9705291,-0.82046276,"('conventional', 'unconventional')",-0.9705290794372559,-0.8204627633094788,0.1500663161277771
31,-0.96902615,-1.0240312,"('altruistic', 'egoistic')",-0.9690261483192444,-1.024031162261963,-0.055005013942718506
43,-0.9667632,-0.71659285,"('genuine', 'fake')",-0.9667631983757019,-0.7165928483009338,0.25017035007476807
15,0.9619324,1.1514449,"('polite', 'impolite')",0.9619324207305908,1.151444911956787,0.1895124912261963
89,0.9291701,0.7573427,"('daring', 'anxious')",0.9291700720787048,0.7573426961898804,-0.17182737588882446
10,-0.92120266,-0.58244216,"('affectionate', 'unaffectionate')",-0.9212026596069336,-0.5824421644210815,0.33876049518585205
4,-0.90781367,-0.988107,"('likable', 'unlikable')",-0.9078136682510376,-0.9881070256233215,-0.08029335737228394
13,-0.90433383,-0.57242465,"('helpful', 'unhelpful')",-0.9043338298797607,-0.5724246501922607,0.3319091796875
69,-0.8710283,-0.90137,"('wise', 'foolish')",-0.8710283041000366,-0.9013699889183044,-0.030341684818267822
71,0.86972654,0.63080955,"('efficient', 'inefficient')",0.8697265386581421,0.6308095455169678,-0.23891699314117432
99,-0.866326,-0.7689363,"('prestigious', 'insignificant')",-0.8663259744644165,-0.768936276435852,0.09738969802856445
107,0.86532736,1.1990191,"('conventional', 'modern')",0.8653273582458496,1.1990190744400024,0.33369171619415283
109,0.841425,0.9525722,"('conservative', 'liberal')",0.8414250016212463,0.952572226524353,0.11114722490310669
108,0.841425,0.9525722,"('conservative', 'liberal')",0.8414250016212463,0.952572226524353,0.11114722490310669
61,-0.8345434,-0.8550748,"('rational', 'irrational')",-0.8345434069633484,-0.8550748229026794,-0.020531415939331055
97,-0.8088918,-0.61278415,"('superior', 'inferior')",-0.808891773223877,-0.6127841472625732,0.1961076259613037
16,0.791335,0.6830489,"('social', 'antisocial')",0.7913349866867065,0.6830489039421082,-0.10828608274459839
39,-0.7849482,-0.39877856,"('right', 'wrong')",-0.7849482297897339,-0.3987785577774048,0.3861696720123291
102,-0.7715131,-0.5381794,"('eminent', 'low')",-0.7715131044387817,-0.5381793975830078,0.23333370685577393
14,0.7433622,1.020515,"('supportive', 'unsupportive')",0.7433621883392334,1.020514965057373,0.27715277671813965
5,0.7356473,0.7540893,"('pleasant', 'repellent')",0.7356473207473755,0.7540892958641052,0.018441975116729736
19,-0.7276318,-0.55902576,"('funny', 'boring')",-0.7276318073272705,-0.559025764465332,0.16860604286193848
76,0.72246397,0.46061295,"('secure', 'insecure')",0.7224639654159546,0.460612952709198,-0.2618510127067566
11,-0.71745646,-0.31069246,"('caring', 'unaffectionate')",-0.7174564599990845,-0.3106924593448639,0.4067640006542206
