,Under_male,Under_female,tuple,Armour_male,Armour_female,(Class_male,(Class_female,C)_male,C)_female,average_male,average_female,female-male
27,-6.290498,-6.76894,"('sincere', 'insincere')",-4.722315,-4.7310452,-2.3261127,-2.2311258,-1.6328465,-1.5208471,-3.742943048477173,-3.8129894733428955,-0.07004642486572266
75,6.005244,6.5627303,"('confident', 'shy')",5.757272,5.3128557,1.1235698,1.1837747,1.9353952,1.3759907,3.7053701877593994,3.608837842941284,-0.09653234481811523
6,5.8905606,6.680647,"('liked', 'disliked')",4.0899115,4.010955,1.986002,1.4408388,1.921429,2.082832,3.471975803375244,3.5538182258605957,0.08184242248535156
53,-5.0737796,-5.0706987,"('smart', 'stupid')",-4.8756595,-4.783116,-1.2969869,-1.173193,-1.8205124,-1.6110231,-3.2667346000671387,-3.1595077514648438,0.10722684860229492
95,-4.7976985,-5.3483205,"('rich', 'poor')",-4.4348197,-4.2626987,-1.9256412,-1.8737059,-2.1937847,-1.8056915,-3.3379859924316406,-3.322604179382324,0.015381813049316406
40,-4.7387695,-5.393932,"('honorable', 'mean')",-3.9698825,-4.1741295,-1.2593784,-1.2441722,-1.5950603,-1.625386,-2.890772819519043,-3.109405040740967,-0.21863222122192383
58,-3.0667338,-3.053287,"('able', 'clumsy')",-1.0560021,-1.011262,-2.244512,-1.9821359,-1.8799381,-1.641654,-2.0617966651916504,-1.9220846891403198,0.13971197605133057
86,2.8234763,2.8549619,"('self-reliant', 'helpless')",2.5531461,2.3131957,0.6237482,0.3904541,0.769462,0.5150269,1.692458152770996,1.5184097290039062,-0.17404842376708984
81,2.783137,2.6768124,"('industrious', 'lazy')",0.19434077,0.16109145,2.2683835,1.9041069,0.6755117,0.49680644,1.480343222618103,1.3097044229507446,-0.1706387996673584
37,2.4710376,2.4972568,"('good', 'evil')",1.1630385,1.1003718,2.9510007,2.7527752,1.4500966,1.2724808,2.008793354034424,1.9057211875915527,-0.1030721664428711
48,2.40771,2.4227493,"('reliable', 'unreliable')",2.607536,2.2292016,-0.25699502,-0.47194755,0.54859525,0.40150172,1.326711654663086,1.145376205444336,-0.18133544921875
88,2.3509586,2.5038443,"('impulsive', 'meek')",0.9386791,0.9652766,1.6895697,1.2680635,1.1304458,1.0372236,1.527413249015808,1.4436020851135254,-0.08381116390228271
66,2.3486855,2.7386656,"('imaginative', 'unimaginative')",0.9406103,0.7665453,-0.45975375,-0.7673725,0.9555755,0.95175993,0.9462793469429016,0.9223995208740234,-0.023879826068878174
78,2.3451285,1.7781768,"('active', 'inactive')",1.7499254,1.3146535,0.8261625,0.25837353,1.857212,1.4751794,1.6946070194244385,1.206595778465271,-0.4880112409591675
13,-2.3386283,-2.4229352,"('helpful', 'unhelpful')",-2.032106,-2.0739384,-1.6620353,-1.857829,-0.38583615,-0.6656271,-1.6046514511108398,-1.7550824880599976,-0.15043103694915771
38,-2.229252,-2.0608263,"('kind', 'unkind')",-1.3057847,-1.0474502,-0.58594346,-0.5493396,-1.4417738,-1.5595471,-1.3906885385513306,-1.304290771484375,0.08639776706695557
46,2.1382248,2.2194,"('generous', 'stingy')",1.4844079,1.4802729,-0.0026028156,0.24010795,-0.22165476,-0.022094525,0.8495938181877136,0.9794215559959412,0.12982773780822754
29,-2.1170578,-2.463675,"('honest', 'immoral')",-0.9496103,-1.0098857,-2.4289894,-2.53299,-0.40453702,-0.33682096,-1.4750486612319946,-1.5858429670333862,-0.1107943058013916
7,2.040689,1.7625375,"('outgoing', 'distant')",0.098236084,0.096802115,1.1856384,0.76016617,0.9560786,0.73599017,1.0701605081558228,0.8388739824295044,-0.23128652572631836
34,-2.0133963,-1.9907533,"('loyal', 'disloyal')",-2.0804515,-1.7292523,-1.3293569,-1.1689935,-1.5924582,-1.143122,-1.7539156675338745,-1.5080301761627197,0.24588549137115479
3,1.8727005,1.8787055,"('likable', 'unlikable')",1.2026167,0.84553987,-0.24453363,-0.5151659,0.35235032,0.3155268,0.7957834601402283,0.6311514973640442,-0.16463196277618408
28,-1.8365318,-1.8869716,"('honest', 'dishonest')",-1.6150583,-1.6989388,-0.9371681,-0.8943078,-0.83289754,-0.8063472,-1.3054139614105225,-1.3216413259506226,-0.016227364540100098
65,-1.7584325,-1.6705447,"('practical', 'impractical')",-0.9294081,-1.1787016,-2.8511543,-2.886764,-1.2000349,-1.2989334,-1.6847574710845947,-1.75873601436615,-0.07397854328155518
101,-1.7526577,-1.5448568,"('successful', 'unsuccessful')",-0.69818175,-0.69056416,0.30594727,0.45573917,-0.31671447,-0.33132726,-0.6154016852378845,-0.5277522802352905,0.087649405002594
41,1.7498719,1.735883,"('incorrupt', 'corrupt')",0.3734995,0.69357073,3.4383862,3.2914548,1.4320846,1.7042968,1.7484605312347412,1.8563013076782227,0.10784077644348145
70,1.7478294,1.68831,"('wise', 'unwise')",-0.0070225596,0.13249391,2.027591,1.8503526,0.21011859,0.12664682,0.9946290850639343,0.9494507908821106,-0.04517829418182373
50,1.6843305,1.6358451,"('unprejudiced', 'prejudiced')",2.9357781,2.58888,1.3740244,1.0844305,1.6038828,1.1418834,1.8995039463043213,1.6127597093582153,-0.28674423694610596
49,-1.6500126,-1.9110364,"('responsible', 'irresponsible')",-0.6071285,-1.0635986,-2.6832175,-2.8440948,-0.048455,-0.45016515,-1.2472033500671387,-1.5672237873077393,-0.3200204372406006
9,-1.6206126,-1.7098212,"('sensitive', 'insensitive')",-0.37430307,-0.9345962,-1.7231958,-1.5168018,-0.6593954,-0.70737433,-1.0943766832351685,-1.2171483039855957,-0.12277162075042725
73,-1.6109383,-1.6908484,"('brilliant', 'incompetent')",-0.64472514,-1.033642,-2.9199922,-2.9749343,-0.5999758,-1.3720936,-1.4439077377319336,-1.767879605293274,-0.32397186756134033
42,1.605397,1.8026321,"('amicable', 'hostile')",-0.31282747,0.035817623,3.0876036,2.857464,-0.014929652,0.23462816,1.0913108587265015,1.232635498046875,0.14132463932037354
71,-1.569049,-1.8867377,"('efficient', 'inefficient')",0.3976857,-0.28992116,-3.5371284,-3.5023332,-0.634528,-1.350838,-1.3357549905776978,-1.7574574947357178,-0.42170250415802
12,-1.5573542,-1.6889563,"('sympathetic', 'unsympathetic')",-0.7524103,-1.0163374,-2.2139316,-2.0581768,-1.0818892,-0.8898341,-1.4013962745666504,-1.4133261442184448,-0.011929869651794434
