,C._male,C._female,tuple,H._male,H._female,Robinson_male,Robinson_female,average_male,average_female,female-male
75,2.8898692,3.0261626,"('confident', 'shy')",1.6046617,1.4311297,5.124084,5.34194,3.2062047322591147,3.2664108276367188,0.06020609537760402
67,-2.0951488,-2.0340881,"('discriminating', 'undiscriminating')",-1.1647005,-1.0885062,-0.20331621,-0.0094995275,-1.1543885072072346,-1.044031302134196,0.11035720507303859
21,2.0332506,2.1170788,"('nice', 'nasty')",1.1788856,1.1682,0.7656233,0.7078719,1.3259198665618896,1.3310502370198567,0.005130370457967048
99,-1.9965972,-1.4024434,"('prestigious', 'insignificant')",-0.22331068,-0.4575149,0.19978294,-0.033843815,-0.6733749707539877,-0.6312673886617025,0.042107582092285156
95,-1.8382488,-1.9682922,"('rich', 'poor')",-1.016782,-0.91432273,-3.4600914,-3.7751195,-2.1050408681233725,-2.219244956970215,-0.1142040888468423
71,1.8289583,0.5888204,"('efficient', 'inefficient')",-1.6750515,-1.6845354,-0.25410247,-0.25160775,-0.03339854876200358,-0.4491076072057088,-0.4157090584437052
40,-1.7664671,-2.1414425,"('honorable', 'mean')",-1.2734644,-1.5725604,-3.2118819,-3.6295547,-2.0839378039042153,-2.447852611541748,-0.3639148076375327
50,1.746412,1.7744635,"('unprejudiced', 'prejudiced')",1.7846279,1.770432,1.4862318,1.4685247,1.6724239985148113,1.6711400349934895,-0.0012839635213217626
62,-1.6500299,-1.0362098,"('creative', 'uncreative')",-0.38380182,-0.48617172,-0.4556726,-0.4010449,-0.8298346996307373,-0.6411421298980713,0.18869256973266602
76,1.5858275,1.0899161,"('secure', 'insecure')",0.28547224,0.40106082,0.2136802,0.49687058,0.6949933369954427,0.6626158555348715,-0.03237748146057129
51,-1.5825655,-1.8007841,"('competent', 'incompetent')",-1.6614523,-1.6423686,0.03814768,0.09564466,-1.068623383839925,-1.1158359845479329,-0.04721260070800781
93,1.5737509,1.186544,"('dominating', 'dominated')",-0.78623784,-0.4497594,-0.22337985,0.021061957,0.18804438908894858,0.2526155114173889,0.06457112232844034
20,-1.5613223,-0.93433917,"('popular', 'unpopular')",0.13997287,0.4562769,1.1786373,1.0803788,-0.08090408643086751,0.20077216625213623,0.2816762526830037
15,1.5484031,1.3566236,"('polite', 'impolite')",0.89001286,1.0304158,0.4076504,0.59414196,0.948688824971517,0.9937271277109782,0.04503830273946119
78,1.5301373,1.564604,"('active', 'inactive')",1.975542,1.6411178,1.5374902,1.0437928,1.6810564994812012,1.4165048599243164,-0.26455163955688477
32,-1.4971981,-1.7134643,"('benevolent', 'hardhearted')",-1.5821345,-1.6107742,-1.0360196,-0.87809014,-1.3717840512593586,-1.4007762273152669,-0.028992176055908203
31,-1.4821141,-1.1693603,"('altruistic', 'egoistic')",-0.08108414,-0.16927207,-0.41404796,-0.66320455,-0.6590820550918579,-0.6672789255777994,-0.008196870485941532
1,-1.3383112,-0.80404085,"('friendly', 'unfriendly')",-0.9490284,-1.1815683,-0.36843657,-0.3271118,-0.8852587540944418,-0.770906925201416,0.11435182889302575
100,-1.3091162,-1.3675337,"('influential', 'uninfluential')",-1.425076,-1.4012076,-0.16125771,0.11662169,-0.9651500384012858,-0.8840397993723551,0.08111023902893066
105,-1.2563348,-1.2073698,"('conventional', 'modern')",-0.61527157,-0.6030203,-0.6998205,-0.7584214,-0.8571422894795736,-0.8562704722086588,0.0008718172709147876
94,1.2368853,0.91721594,"('aggressive', 'submissive')",-0.22088295,-0.20391583,1.0714396,1.3173479,0.6958139737447103,0.6768826643625895,-0.018931309382120842
89,1.1948155,0.9398566,"('daring', 'anxious')",0.52759194,0.5122237,-0.007762566,0.05700706,0.5715483029683431,0.5030291080474854,-0.06851919492085778
54,1.1658336,0.9595737,"('smart', 'stupid')",0.9989803,0.64354694,0.5560526,0.17146808,0.9069555600484213,0.5915295282999674,-0.31542603174845385
74,-1.1233629,-1.0184958,"('insightful', 'unperceptive')",-1.5698155,-1.7554829,-0.49103248,-0.39419594,-1.0614035924275715,-1.0560582478841145,0.005345344543457031
47,-1.1072965,-1.1879365,"('forgiving', 'unforgiving')",-1.1854404,-1.4473913,-0.87424695,-0.7486004,-1.0556613604227703,-1.1279760996500652,-0.07231473922729492
33,-1.0826998,-0.85832834,"('softhearted', 'hardhearted')",-1.7962415,-1.9190791,-0.23992175,-0.4157136,-1.0396210352579753,-1.0643736521402996,-0.02475261688232422
0,-1.0794792,-0.7961181,"('sociable', 'unsociable')",-1.3042624,-1.0690035,0.0391082,0.3284076,-0.7815444469451904,-0.5122380256652832,0.2693064212799072
10,-1.0684735,-0.7168548,"('affectionate', 'unaffectionate')",-0.29125217,-0.5317743,-0.88202477,-0.9129974,-0.7472500801086426,-0.7205421924591064,0.026707887649536133
64,-1.0232246,-1.5428709,"('clever', 'incompetent')",-1.2693756,-1.1116855,-0.105171785,-0.012472041,-0.7992572784423828,-0.8890094757080078,-0.089752197265625
42,-1.0156481,-0.086960256,"('amicable', 'hostile')",0.75922966,0.66570294,0.41641548,0.24540088,0.05333233873049418,0.27471450964609784,0.22138217091560367
23,-1.0089031,-0.5618166,"('hospitable', 'inhospitable')",1.2767798,1.1783726,0.6252724,0.28553945,0.29771633942921955,0.30069849888483685,0.002982159455617306
13,0.99811757,0.71633554,"('helpful', 'unhelpful')",-0.5693363,-0.45713526,-1.3999047,-1.1361878,-0.32370781898498535,-0.29232917229334515,0.0313786466916402
44,0.9822075,0.9189886,"('truthful', 'untruthful')",-0.09733185,-0.087138176,-1.02598,-0.8933507,-0.047034780184427895,-0.02050010363260905,0.026534676551818844
109,0.9332188,0.7820047,"('conservative', 'liberal')",0.23742777,0.39645758,1.1838747,1.0730656,0.7848404248555502,0.7505092620849609,-0.03433116277058923
108,0.9332188,0.7820047,"('conservative', 'liberal')",0.23742777,0.39645758,1.1838747,1.0730656,0.7848404248555502,0.7505092620849609,-0.03433116277058923
82,-0.90921485,-0.6126578,"('industrious', 'meek')",-0.17546439,-0.07058549,0.8450761,0.68824637,-0.07986772060394287,0.0016676982243855794,0.08153541882832845
101,-0.8730893,-1.2179837,"('successful', 'unsuccessful')",-1.8219297,-1.7009827,-0.16145281,-0.19041869,-0.9521572589874268,-1.0364616711934407,-0.08430441220601392
