,Lincoln_male,Lincoln_female,tuple,National_male,National_female,average_male,average_female,female-male
75,6.210506,6.4566884,"('confident', 'shy')",4.177792,4.1315956,5.194149017333984,5.29414176940918,0.09999275207519531
40,-4.069186,-4.4395103,"('honorable', 'mean')",-2.2825785,-2.4213948,-3.175882339477539,-3.430452585220337,-0.25457024574279785
53,-4.0460157,-4.4280457,"('smart', 'stupid')",-2.8700273,-2.7768753,-3.458021640777588,-3.6024603843688965,-0.1444387435913086
27,-4.039885,-4.4973373,"('sincere', 'insincere')",-3.954556,-3.4861095,-3.997220516204834,-3.9917235374450684,0.005496978759765625
95,-3.717599,-4.025565,"('rich', 'poor')",-2.9986687,-2.800971,-3.3581337928771973,-3.4132680892944336,-0.05513429641723633
6,3.0714173,3.7576532,"('liked', 'disliked')",2.904479,2.397377,2.987948179244995,3.077515125274658,0.08956694602966309
3,2.480628,2.4943848,"('likable', 'unlikable')",1.3636307,1.3136547,1.9221293926239014,1.9040197134017944,-0.018109679222106934
86,2.2907314,2.5474825,"('self-reliant', 'helpless')",0.90215015,0.76528776,1.5964407920837402,1.6563851833343506,0.05994439125061035
109,2.1993437,1.6884004,"('conservative', 'liberal')",0.48247966,1.0742155,1.340911626815796,1.3813079595565796,0.04039633274078369
108,2.1993437,1.6884004,"('conservative', 'liberal')",0.48247966,1.0742155,1.340911626815796,1.3813079595565796,0.04039633274078369
48,2.0793114,2.300498,"('reliable', 'unreliable')",0.92311144,0.8210763,1.501211404800415,1.5607872009277344,0.059575796127319336
50,2.030771,2.0153098,"('unprejudiced', 'prejudiced')",0.55098706,0.3607285,1.2908790111541748,1.1880191564559937,-0.10285985469818115
90,1.9458926,1.4576284,"('motivated', 'unmotivated')",0.80634034,0.6787087,1.3761165142059326,1.0681685209274292,-0.3079479932785034
104,-1.9318001,-1.5444033,"('conventional', 'unconventional')",-0.7311794,-0.96777326,-1.3314898014068604,-1.2560882568359375,0.07540154457092285
68,-1.90925,-1.7325016,"('clever', 'inept')",-1.0914618,-1.2727458,-1.5003559589385986,-1.5026237964630127,-0.0022678375244140625
99,-1.8725445,-1.7986383,"('prestigious', 'insignificant')",-0.9524495,-1.2132192,-1.4124970436096191,-1.5059287548065186,-0.09343171119689941
1,-1.8177397,-1.3863513,"('friendly', 'unfriendly')",-1.1190532,-1.16922,-1.4683964252471924,-1.2777856588363647,0.19061076641082764
32,-1.7834291,-1.7612693,"('benevolent', 'hardhearted')",-2.4253592,-2.3462944,-2.1043941974639893,-2.0537819862365723,0.05061221122741699
98,-1.7319214,-1.776986,"('prestigious', 'insignificant')",-0.4836294,-0.86529064,-1.1077754497528076,-1.3211383819580078,-0.2133629322052002
10,-1.7194307,-1.4037082,"('affectionate', 'unaffectionate')",-0.48711476,-0.52187943,-1.1032726764678955,-0.9627938270568848,0.14047884941101074
62,-1.6907375,-1.4961538,"('creative', 'uncreative')",-0.08267939,-0.041158885,-0.8867084383964539,-0.7686563730239868,0.11805206537246704
16,1.6676352,1.3751822,"('social', 'antisocial')",-0.35894525,-0.06260884,0.6543449759483337,0.6562866568565369,0.001941680908203125
103,1.6092361,1.3089924,"('traditional', 'modern')",0.9184968,0.84373844,1.2638664245605469,1.0763654708862305,-0.1875009536743164
11,-1.5911322,-1.434788,"('caring', 'unaffectionate')",-0.8798995,-0.8949674,-1.235515832901001,-1.1648776531219482,0.07063817977905273
15,1.5873383,1.4164823,"('polite', 'impolite')",0.70513135,1.167704,1.1462348699569702,1.2920931577682495,0.1458582878112793
107,1.545779,1.6045525,"('conventional', 'modern')",0.5489943,0.7028241,1.047386646270752,1.1536883115768433,0.10630166530609131
34,-1.5171511,-1.2924912,"('loyal', 'disloyal')",-1.6931767,-1.3593631,-1.6051639318466187,-1.3259271383285522,0.2792367935180664
28,-1.4986407,-1.5276114,"('honest', 'dishonest')",-1.2536167,-1.1572883,-1.3761286735534668,-1.3424499034881592,0.03367877006530762
92,-1.4772031,-1.0754683,"('unwavering', 'wavering')",-0.4516736,-0.71542203,-0.9644383788108826,-0.8954451680183411,0.0689932107925415
94,1.4614012,1.3105773,"('aggressive', 'submissive')",0.79730195,1.2255776,1.1293516159057617,1.2680773735046387,0.13872575759887695
25,1.3964231,0.6534996,"('moral', 'immoral')",-0.93314904,-0.54717344,0.23163703083992004,0.053163081407547,-0.17847394943237305
13,-1.369684,-1.4453845,"('helpful', 'unhelpful')",-1.6069967,-1.1277714,-1.4883403778076172,-1.2865779399871826,0.20176243782043457
31,-1.3149612,-1.1802472,"('altruistic', 'egoistic')",0.035688058,0.002566129,-0.6396365761756897,-0.5888405442237854,0.0507960319519043
71,1.2137679,0.6244484,"('efficient', 'inefficient')",0.049186528,0.38408744,0.6314772367477417,0.5042679309844971,-0.12720930576324463
2,1.1866384,1.014237,"('friendly', 'unfriendly')",-0.16368437,0.28072378,0.511476993560791,0.6474804282188416,0.13600343465805054
8,-1.1790292,-0.92065835,"('open', 'distant')",0.28095835,-0.19275483,-0.4490354359149933,-0.5567066073417664,-0.10767117142677307
58,-1.1782637,-1.3087895,"('able', 'clumsy')",-1.0314572,-0.70653874,-1.1048604249954224,-1.0076640844345093,0.09719634056091309
59,1.1466496,1.2504617,"('skillful', 'clumsy')",0.45710677,0.7011093,0.8018782138824463,0.975785493850708,0.17390727996826172
44,-1.1206234,-1.0364252,"('truthful', 'untruthful')",-1.1387379,-0.9696223,-1.1296806335449219,-1.0030237436294556,0.1266568899154663
105,-1.1033396,-0.9523484,"('conventional', 'modern')",-0.09494412,-0.33750185,-0.5991418361663818,-0.6449251174926758,-0.045783281326293945
76,1.0911634,0.92858326,"('secure', 'insecure')",-0.40854225,-0.09520364,0.3413105607032776,0.41668981313705444,0.07537925243377686
67,-1.0786834,-0.86388123,"('discriminating', 'undiscriminating')",-0.55998486,-0.73966295,-0.8193341493606567,-0.8017721176147461,0.017562031745910645
54,0.9299257,0.51851,"('smart', 'stupid')",0.9548734,0.76196206,0.9423995018005371,0.6402360200881958,-0.3021634817123413
39,-0.9215595,-0.7724971,"('right', 'wrong')",-0.38331106,-0.3657913,-0.652435302734375,-0.5691441893577576,0.08329111337661743
97,-0.91158265,-0.8096901,"('superior', 'inferior')",-0.7192228,-0.56835014,-0.8154027462005615,-0.6890201568603516,0.12638258934020996
78,0.8840628,0.81571835,"('active', 'inactive')",2.383831,1.722234,1.6339468955993652,1.2689762115478516,-0.36497068405151367
82,0.8786391,0.85737,"('industrious', 'meek')",0.9117083,0.8925725,0.8951736688613892,0.8749712705612183,-0.0202023983001709
29,-0.8741267,-0.81206083,"('honest', 'immoral')",-1.1221564,-0.89403206,-0.9981415271759033,-0.8530464172363281,0.1450951099395752
33,-0.85812163,-0.855412,"('softhearted', 'hardhearted')",-0.3692285,-0.45180303,-0.613675057888031,-0.6536074876785278,-0.039932429790496826
12,-0.85671216,-0.9184345,"('sympathetic', 'unsympathetic')",-0.67416584,-0.46536598,-0.7654390335083008,-0.6919002532958984,0.07353878021240234
5,0.8490343,0.6384107,"('pleasant', 'repellent')",0.24212307,0.29821384,0.5455787181854248,0.46831226348876953,-0.07726645469665527
79,0.8302045,0.37115362,"('determined', 'doubtful')",0.5323944,0.8754993,0.6812994480133057,0.6233264803886414,-0.05797296762466431
47,-0.82713634,-0.75151104,"('forgiving', 'unforgiving')",-0.92359495,-0.9279336,-0.8753656148910522,-0.8397222757339478,0.03564333915710449
70,-0.7980583,-0.37393913,"('wise', 'unwise')",1.071655,0.9652327,0.13679838180541992,0.2956467866897583,0.15884840488433838
60,0.7971794,0.47184455,"('educated', 'uneducated')",-0.13569847,0.34693944,0.33074045181274414,0.40939199924468994,0.0786515474319458
22,0.78673255,0.44381955,"('welcoming', 'disagreeable')",-0.14778964,-0.18360513,0.31947144865989685,0.13010720908641815,-0.1893642395734787
80,0.7816607,0.59075737,"('independent', 'dependent')",0.52911216,0.75825447,0.6553864479064941,0.6745059490203857,0.0191195011138916
37,0.7560891,1.0294659,"('good', 'evil')",0.74853253,0.07137045,0.7523108124732971,0.5504181981086731,-0.20189261436462402
100,-0.7542031,-0.5720496,"('influential', 'uninfluential')",-0.117627144,0.016809464,-0.43591511249542236,-0.2776200771331787,0.15829503536224365
77,-0.7467637,-0.4702834,"('active', 'inactive')",0.728739,0.46117893,-0.009012341499328613,-0.00455223023891449,0.0044601112604141235
42,-0.7235732,-0.08732492,"('amicable', 'hostile')",1.0773916,0.72909147,0.1769092082977295,0.32088327407836914,0.14397406578063965
61,-0.7168975,-0.36185887,"('rational', 'irrational')",1.0660958,1.1041192,0.17459917068481445,0.37113016843795776,0.1965309977531433
83,-0.7144308,-0.6616849,"('energetic', 'lethargic')",-0.22804931,-0.41399556,-0.4712400436401367,-0.5378402471542358,-0.06660020351409912
55,-0.66274035,-0.57097465,"('intelligent', 'unintelligent')",-0.34056103,-0.18802804,-0.5016506910324097,-0.3795013427734375,0.12214934825897217
45,0.6569081,0.07798368,"('cooperative', 'exploitative')",-0.99156183,-0.8425593,-0.16732686758041382,-0.38228780031204224,-0.21496093273162842
41,-0.64828146,-0.15656877,"('incorrupt', 'corrupt')",1.102658,0.7314185,0.22718828916549683,0.28742486238479614,0.060236573219299316
7,-0.6441804,-0.42148393,"('outgoing', 'distant')",0.75752026,0.26289847,0.056669920682907104,-0.07929272949695587,-0.13596265017986298
87,-0.6214174,-0.41209486,"('dedicated', 'undedicated')",-1.0306864,-0.9149487,-0.8260518908500671,-0.6635217666625977,0.16253012418746948
91,0.5941656,0.73484635,"('resilient', 'nonresilient')",0.5531713,0.47365803,0.5736684799194336,0.6042522192001343,0.030583739280700684
17,0.5823837,0.70830166,"('social', 'antisocial')",-0.51528454,-0.29147,0.03354957699775696,0.20841583609580994,0.17486625909805298
49,-0.5742416,-0.68442917,"('responsible', 'irresponsible')",-0.8611547,-0.7259446,-0.7176980972290039,-0.7051868438720703,0.012511253356933594
74,-0.5654985,-0.6334026,"('insightful', 'unperceptive')",-0.8450293,-0.6721107,-0.7052638530731201,-0.6527566313743591,0.052507221698760986
69,-0.54282725,-0.46010303,"('wise', 'foolish')",-0.11355209,-0.18988463,-0.3281896710395813,-0.3249938488006592,0.003195822238922119
38,0.53288114,0.42272064,"('kind', 'unkind')",-1.775948,-1.22121,-0.6215334534645081,-0.39924466609954834,0.22228878736495972
18,-0.5038503,-0.42389572,"('social', 'asocial')",-1.5486174,-1.3029771,-1.0262337923049927,-0.8634364008903503,0.16279739141464233
63,-0.5004913,-0.6068705,"('capable', 'incapable')",-1.3623254,-1.2541149,-0.9314084053039551,-0.930492639541626,0.0009157657623291016
26,0.4754526,0.5543343,"('trustworthy', 'untrustworthy')",-0.39217898,-0.4423856,0.04163680970668793,0.055974334478378296,0.014337524771690369
4,0.4557697,0.17098829,"('likable', 'unlikable')",-0.47090477,-0.42855167,-0.007567539811134338,-0.12878169119358063,-0.12121415138244629
23,-0.3955928,-0.35093105,"('hospitable', 'inhospitable')",0.20298517,0.009655833,-0.09630382061004639,-0.1706376075744629,-0.0743337869644165
85,-0.38164315,-0.46445608,"('ambitious', 'unambitious')",-0.671276,-0.6894945,-0.5264595746994019,-0.5769752860069275,-0.050515711307525635
89,0.36647117,0.27029014,"('daring', 'anxious')",0.11698356,0.14267175,0.24172736704349518,0.2064809501171112,-0.03524641692638397
14,0.3616805,0.5200084,"('supportive', 'unsupportive')",-0.18387747,-0.22312835,0.08890151977539062,0.14844001829624176,0.059538498520851135
81,0.3601902,0.3818033,"('industrious', 'lazy')",1.2606272,0.844501,0.8104087114334106,0.6131521463394165,-0.19725656509399414
