,Domino's_male,Domino's_female,tuple,Pizza_male,Pizza_female,average_male,average_female,female-male
94,3.5767071,3.6075716,"('aggressive', 'submissive')",0.16453788,0.101168916,1.8706225156784058,1.8543702363967896,-0.01625227928161621
1,-3.215235,-3.1423063,"('friendly', 'unfriendly')",-1.3398043,-1.2008761,-2.277519702911377,-2.171591281890869,0.10592842102050781
104,-2.814619,-2.756247,"('conventional', 'unconventional')",-0.44804412,-0.2547801,-1.6313315629959106,-1.5055135488510132,0.12581801414489746
5,2.806419,2.7969036,"('pleasant', 'repellent')",0.40267494,0.5319028,1.6045469045639038,1.6644032001495361,0.059856295585632324
75,2.7229753,2.6249938,"('confident', 'shy')",6.2384496,5.621157,4.480712413787842,4.123075485229492,-0.3576369285583496
32,-2.6126208,-2.5393825,"('benevolent', 'hardhearted')",-1.0681832,-0.6796395,-1.8404020071029663,-1.6095110177993774,0.23089098930358887
2,2.493929,2.5893176,"('friendly', 'unfriendly')",-0.43084803,-0.2898102,1.0315403938293457,1.1497536897659302,0.11821329593658447
83,2.4823065,2.5575452,"('energetic', 'lethargic')",-0.16260058,-0.12914503,1.1598529815673828,1.2142000198364258,0.05434703826904297
107,2.438886,2.414039,"('conventional', 'modern')",0.2650717,0.23178795,1.3519787788391113,1.322913408279419,-0.029065370559692383
84,-2.3908668,-2.473741,"('self-confident', 'diffident')",-0.6888892,-0.7401377,-1.539878010749817,-1.6069393157958984,-0.06706130504608154
105,-2.3828523,-2.311218,"('conventional', 'modern')",-0.6704285,-0.6811197,-1.5266404151916504,-1.496168851852417,0.0304715633392334
8,-2.2380118,-2.3527377,"('open', 'distant')",0.49485153,0.12921816,-0.8715801239013672,-1.1117597818374634,-0.2401796579360962
42,-2.1882038,-2.1228511,"('amicable', 'hostile')",0.49482805,0.68044883,-0.846687912940979,-0.7212011814117432,0.12548673152923584
56,2.0562813,1.9074465,"('intelligent', 'dumb')",2.2279825,1.961391,2.142131805419922,1.9344186782836914,-0.20771312713623047
