,CBRE_male,CBRE_female,tuple,average_male,average_female,female-male
75,2.551594,2.4844003,"('confident', 'shy')",2.5515940189361572,2.4844002723693848,-0.06719374656677246
109,2.3291137,2.265469,"('conservative', 'liberal')",2.329113721847534,2.2654690742492676,-0.0636446475982666
108,2.3291137,2.265469,"('conservative', 'liberal')",2.329113721847534,2.2654690742492676,-0.0636446475982666
40,-2.095277,-2.2717257,"('honorable', 'mean')",-2.0952770709991455,-2.271725654602051,-0.17644858360290527
11,-1.927886,-1.7370422,"('caring', 'unaffectionate')",-1.9278860092163086,-1.7370421886444092,0.19084382057189941
1,-1.829226,-1.7385117,"('friendly', 'unfriendly')",-1.829226016998291,-1.7385116815567017,0.09071433544158936
50,1.7898593,1.5479201,"('unprejudiced', 'prejudiced')",1.7898592948913574,1.5479201078414917,-0.24193918704986572
90,1.5391483,1.4600484,"('motivated', 'unmotivated')",1.5391483306884766,1.4600484371185303,-0.07909989356994629
27,-1.5370924,-1.40616,"('sincere', 'insincere')",-1.5370924472808838,-1.4061599969863892,0.13093245029449463
53,-1.4668831,-1.7252253,"('smart', 'stupid')",-1.4668830633163452,-1.7252253293991089,-0.25834226608276367
2,1.4487287,1.5964192,"('friendly', 'unfriendly')",1.4487286806106567,1.5964192152023315,0.1476905345916748
84,-1.418051,-1.5394459,"('self-confident', 'diffident')",-1.41805100440979,-1.5394458770751953,-0.12139487266540527
76,1.3783581,1.3840436,"('secure', 'insecure')",1.3783581256866455,1.384043574333191,0.00568544864654541
32,-1.3731513,-1.4252331,"('benevolent', 'hardhearted')",-1.3731513023376465,-1.4252331256866455,-0.05208182334899902
102,-1.3403473,-1.2803432,"('eminent', 'low')",-1.3403472900390625,-1.2803431749343872,0.06000411510467529
39,-1.299144,-1.121899,"('right', 'wrong')",-1.2991440296173096,-1.1218990087509155,0.17724502086639404
103,1.2920458,1.3140929,"('traditional', 'modern')",1.2920458316802979,1.3140928745269775,0.022047042846679688
16,1.2689834,1.303925,"('social', 'antisocial')",1.2689833641052246,1.3039250373840332,0.034941673278808594
38,-1.2425573,-1.1626683,"('kind', 'unkind')",-1.2425572872161865,-1.1626683473587036,0.07988893985748291
81,-1.1881386,-1.4156804,"('industrious', 'lazy')",-1.1881386041641235,-1.4156804084777832,-0.22754180431365967
101,-1.1796013,-1.0409412,"('successful', 'unsuccessful')",-1.1796013116836548,-1.0409412384033203,0.13866007328033447
107,1.1769936,1.3904588,"('conventional', 'modern')",1.1769936084747314,1.3904588222503662,0.21346521377563477
104,-1.1497135,-1.0674204,"('conventional', 'unconventional')",-1.1497135162353516,-1.0674203634262085,0.08229315280914307
95,-1.1431034,-1.1016973,"('rich', 'poor')",-1.1431033611297607,-1.101697325706482,0.04140603542327881
10,-1.0790435,-0.9257102,"('affectionate', 'unaffectionate')",-1.0790435075759888,-0.9257102012634277,0.15333330631256104
61,-1.0528842,-1.0164464,"('rational', 'irrational')",-1.0528842210769653,-1.0164463520050049,0.03643786907196045
31,-1.037713,-1.1746756,"('altruistic', 'egoistic')",-1.0377130508422852,-1.1746755838394165,-0.13696253299713135
13,-1.0220151,-0.89210534,"('helpful', 'unhelpful')",-1.02201509475708,-0.8921053409576416,0.12990975379943848
71,1.0170708,1.0723299,"('efficient', 'inefficient')",1.0170707702636719,1.0723298788070679,0.055259108543395996
28,-1.0092789,-0.82908595,"('honest', 'dishonest')",-1.0092788934707642,-0.8290859460830688,0.1801929473876953
19,-1.0054289,-1.1374774,"('funny', 'boring')",-1.0054289102554321,-1.1374773979187012,-0.13204848766326904
99,-0.9799811,-1.1610912,"('prestigious', 'insignificant')",-0.9799811244010925,-1.1610912084579468,-0.18111008405685425
63,-0.9700904,-0.99373406,"('capable', 'incapable')",-0.970090389251709,-0.9937340617179871,-0.023643672466278076
41,-0.9649185,-0.9438082,"('incorrupt', 'corrupt')",-0.9649184942245483,-0.9438081979751587,0.02111029624938965
69,-0.95522565,-1.1221259,"('wise', 'foolish')",-0.9552256464958191,-1.1221258640289307,-0.16690021753311157
67,-0.9533371,-0.88615406,"('discriminating', 'undiscriminating')",-0.9533370733261108,-0.886154055595398,0.06718301773071289
94,0.9485431,0.8932499,"('aggressive', 'submissive')",0.9485430717468262,0.8932499289512634,-0.055293142795562744
34,-0.94392216,-0.62036204,"('loyal', 'disloyal')",-0.9439221620559692,-0.6203620433807373,0.32356011867523193
82,-0.9402862,-1.1023571,"('industrious', 'meek')",-0.9402862191200256,-1.1023571491241455,-0.16207093000411987
