,West_male,West_female,tuple,Pharmaceutical_male,Pharmaceutical_female,Services_male,Services_female,average_male,average_female,female-male
75,5.289467,5.399843,"('confident', 'shy')",4.311864,4.5460334,5.3151054,4.8645015,4.972145398457845,4.9367930094401045,-0.03535238901774029
27,-4.957616,-4.8331614,"('sincere', 'insincere')",-4.2537584,-4.487602,-6.2348614,-6.1440926,-5.148745218912761,-5.154952049255371,-0.006206830342610381
6,3.6357636,3.7081842,"('liked', 'disliked')",3.0700135,3.4837916,4.3927617,4.2316628,3.6995131174723306,3.8078794479370117,0.10836633046468114
40,-3.4307036,-3.7208774,"('honorable', 'mean')",-3.0832672,-3.5747414,-4.2278633,-4.2784047,-3.58061154683431,-3.858008066813151,-0.27739651997884085
95,-3.1668963,-3.2437234,"('rich', 'poor')",-4.4187346,-4.5457726,-5.012558,-4.8777742,-4.199396133422852,-4.222423553466797,-0.023027420043945312
53,-3.0368304,-2.929326,"('smart', 'stupid')",-3.1925244,-3.598626,-4.4375114,-4.4690895,-3.555622100830078,-3.6656805674235025,-0.11005846659342433
37,2.1822898,2.0456781,"('good', 'evil')",2.194334,2.0990484,2.5144348,2.5826688,2.297019640604655,2.2424651781717935,-0.05455446243286133
81,1.8229623,1.4399813,"('industrious', 'lazy')",0.7498424,0.89295834,1.2110384,1.0630164,1.2612810134887695,1.131985346476237,-0.12929566701253248
50,1.8150351,1.6145154,"('unprejudiced', 'prejudiced')",1.8859931,1.9178772,1.801063,1.4529591,1.8340304692586262,1.6617838541666667,-0.1722466150919595
86,1.7702436,1.7224289,"('self-reliant', 'helpless')",2.248237,2.4146523,3.2632198,2.9880178,2.4272333780924478,2.3750330607096353,-0.0522003173828125
78,1.7640582,1.15172,"('active', 'inactive')",1.2875688,1.0076362,1.4159225,1.0410154,1.4891832669576008,1.066790501276652,-0.42239276568094875
8,1.6912835,1.3178451,"('open', 'distant')",1.045115,0.77222615,0.31333464,0.23363805,1.0165777206420898,0.7745697498321533,-0.24200797080993652
13,-1.6097082,-1.3316842,"('helpful', 'unhelpful')",-3.0971951,-3.161408,-3.9658756,-3.8306804,-2.8909263610839844,-2.774590810139974,0.11633555094401027
46,1.6059753,1.6146007,"('generous', 'stingy')",1.6001669,1.6048858,1.0715642,1.0247858,1.4259020487467449,1.4147574106852214,-0.011144638061523438
61,1.5694783,1.7647934,"('rational', 'irrational')",0.6575148,0.8476256,0.43222743,0.6733414,0.8864068190256754,1.0952534675598145,0.20884664853413903
28,-1.562583,-1.3691947,"('honest', 'dishonest')",-0.5713147,-0.70857775,-2.2775786,-2.2433696,-1.4704920450846355,-1.4403807322184246,0.030111312866210938
