,Bath_male,Bath_female,tuple,&_male,&_female,Body_male,Body_female,Works_male,Works_female,Inc._male,Inc._female,average_male,average_female,female-male
75,5.295589,5.3401074,"('confident', 'shy')",4.0087137,4.0352073,5.6216,4.687546,4.298298,3.9902608,1.3778081,1.5317807,4.120401763916016,3.9169803619384767,-0.20342140197753933
53,-4.236921,-4.257578,"('smart', 'stupid')",-2.785178,-2.6608834,-4.237024,-3.9564633,-2.8655589,-2.8915558,0.295625,0.22862414,-2.7658113479614257,-2.7075712203979494,0.058240127563476296
95,-4.007732,-4.2849245,"('rich', 'poor')",-4.6163955,-4.796937,-5.1072493,-4.959859,-3.5779629,-3.5198026,0.3900423,0.21579513,-3.3838592529296876,-3.469145584106445,-0.08528633117675755
27,-3.979819,-4.05129,"('sincere', 'insincere')",-4.1355467,-3.9827933,-7.1596212,-6.6878576,-4.8977213,-4.399912,-0.30615538,-0.2578585,-4.095772933959961,-3.8759422302246094,0.21983070373535174
6,3.4830613,3.737519,"('liked', 'disliked')",4.5879793,4.393346,5.316842,4.7818623,2.9807863,2.76227,-0.43144864,-0.41071594,3.1874441146850585,3.0528562545776365,-0.13458786010742196
40,-3.3166788,-3.4573226,"('honorable', 'mean')",-3.1803021,-3.355461,-5.2851744,-5.08726,-3.8213563,-3.8165536,-1.5650115,-1.7630448,-3.4337047576904296,-3.495928192138672,-0.06222343444824219
50,2.2804956,2.1876273,"('unprejudiced', 'prejudiced')",2.6318374,2.5001001,1.3445756,1.1106075,2.2193236,1.9449943,0.9651123,1.0105984,1.88826904296875,1.7507856369018555,-0.13748340606689458
32,-2.214754,-2.0433826,"('benevolent', 'hardhearted')",-1.297818,-0.9707644,-0.77222955,-0.24457793,-1.5577126,-1.4995861,-1.8083677,-1.7829816,-1.5301763534545898,-1.308258628845215,0.22191772460937487
86,2.1674762,2.2576551,"('self-reliant', 'helpless')",3.6254056,3.315715,2.2875881,1.752842,2.0086026,1.6292024,-1.2457435,-1.2691195,1.768665885925293,1.5372589111328125,-0.2314069747924805
1,-2.1494339,-1.969737,"('friendly', 'unfriendly')",-1.8073549,-1.9302442,-1.4081422,-1.324789,-1.0195237,-0.8813796,-0.6346599,-0.7860981,-1.403822898864746,-1.3784496307373046,0.02537326812744145
11,-1.8826885,-1.7455918,"('caring', 'unaffectionate')",-0.93532413,-0.9677944,-1.328902,-1.0764195,-1.1687119,-1.1734406,-0.97197986,-0.9963769,-1.2575212478637696,-1.1919245719909668,0.06559667587280282
28,-1.8753467,-1.856138,"('honest', 'dishonest')",-2.4815605,-2.3089046,-2.3642986,-2.2210445,-1.6256421,-1.519719,-0.40097368,-0.3511408,-1.7495641708374023,-1.6513895034790038,0.09817466735839853
109,1.8175735,1.8853273,"('conservative', 'liberal')",1.8477361,2.2259586,-0.5578609,-0.69845235,1.0474185,0.9061346,-0.30609992,-0.093126625,0.7697534561157227,0.8451683044433593,0.07541484832763667
108,1.8175735,1.8853273,"('conservative', 'liberal')",1.8477361,2.2259586,-0.5578609,-0.69845235,1.0474185,0.9061346,-0.30609992,-0.093126625,0.7697534561157227,0.8451683044433593,0.07541484832763667
