,Fortinet_male,Fortinet_female,tuple,average_male,average_female,female-male
75,1.6218721,1.2011266,"('confident', 'shy')",1.621872067451477,1.2011265754699707,-0.42074549198150635
106,-1.594346,-1.450705,"('conventional', 'unconventional')",-1.594346046447754,-1.4507050514221191,0.14364099502563477
53,-1.4699125,-1.4714909,"('smart', 'stupid')",-1.4699125289916992,-1.4714908599853516,-0.0015783309936523438
6,1.4558268,1.6215792,"('liked', 'disliked')",1.455826759338379,1.6215791702270508,0.16575241088867188
70,1.323532,1.5130267,"('wise', 'unwise')",1.323531985282898,1.5130267143249512,0.18949472904205322
95,-1.2844617,-1.3835461,"('rich', 'poor')",-1.2844617366790771,-1.3835461139678955,-0.09908437728881836
78,1.2760817,0.9923206,"('active', 'inactive')",1.2760816812515259,0.9923205971717834,-0.28376108407974243
90,1.0989583,0.6974691,"('motivated', 'unmotivated')",1.0989582538604736,0.6974691152572632,-0.40148913860321045
79,-1.0132234,-1.1038871,"('determined', 'doubtful')",-1.01322340965271,-1.1038870811462402,-0.09066367149353027
68,-1.011298,-1.1705105,"('clever', 'inept')",-1.0112979412078857,-1.1705105304718018,-0.15921258926391602
27,-1.0081745,-1.1503348,"('sincere', 'insincere')",-1.0081745386123657,-1.1503348350524902,-0.1421602964401245
40,-0.93924093,-0.97174275,"('honorable', 'mean')",-0.9392409324645996,-0.9717427492141724,-0.032501816749572754
103,0.92356443,0.9906533,"('traditional', 'modern')",0.9235644340515137,0.9906532764434814,0.06708884239196777
63,-0.8802856,-0.63336754,"('capable', 'incapable')",-0.8802856206893921,-0.6333675384521484,0.24691808223724365
4,-0.8569717,-1.1746086,"('likable', 'unlikable')",-0.8569716811180115,-1.174608588218689,-0.3176369071006775
46,0.85654306,0.91400343,"('generous', 'stingy')",0.8565430641174316,0.9140034317970276,0.05746036767959595
65,-0.84726864,-1.5050542,"('practical', 'impractical')",-0.8472686409950256,-1.505054235458374,-0.6577855944633484
26,-0.842866,-0.6873206,"('trustworthy', 'untrustworthy')",-0.8428660035133362,-0.6873205900192261,0.1555454134941101
22,0.84175897,0.6939607,"('welcoming', 'disagreeable')",0.8417589664459229,0.6939607262611389,-0.14779824018478394
77,0.81005925,0.9532224,"('active', 'inactive')",0.8100592494010925,0.953222393989563,0.14316314458847046
37,0.80721706,1.0607984,"('good', 'evil')",0.8072170615196228,1.0607984066009521,0.25358134508132935
100,0.8058065,0.83721256,"('influential', 'uninfluential')",0.8058065176010132,0.8372125625610352,0.03140604496002197
24,-0.80018103,-0.9326221,"('thoughtful', 'rough')",-0.8001810312271118,-0.9326220750808716,-0.13244104385375977
34,-0.79589725,-0.47165728,"('loyal', 'disloyal')",-0.7958972454071045,-0.47165727615356445,0.32423996925354004
9,0.7906515,0.45437837,"('sensitive', 'insensitive')",0.7906515002250671,0.4543783664703369,-0.3362731337547302
