,People's_male,People's_female,tuple,United_male,United_female,Financial_male,Financial_female,average_male,average_female,female-male
65,-3.5011506,-3.6657982,"('practical', 'impractical')",-1.4393141,-1.4566824,-1.2109118,-1.1767757,-2.0504589080810547,-2.099752108256022,-0.0492932001749673
18,-2.7274914,-2.6094508,"('social', 'asocial')",-1.1344285,-1.0270673,-1.0819926,-1.1901453,-1.6479708353678386,-1.6088876724243164,0.03908316294352221
14,-2.429139,-2.5929737,"('supportive', 'unsupportive')",-0.01078701,0.3394935,-0.32596123,-0.37409168,-0.9219624201456705,-0.8758572737375895,0.046105146408081055
61,2.3793068,2.4782152,"('rational', 'irrational')",0.6688411,0.9875416,0.43739763,0.61849916,1.161848545074463,1.3614187240600586,0.1995701789855957
27,-2.2177846,-2.2528698,"('sincere', 'insincere')",-3.4033113,-5.699612,-5.5783415,-5.4368973,-3.7331457138061523,-4.463126500447591,-0.7299807866414385
42,2.1694245,2.1467538,"('amicable', 'hostile')",0.39928114,1.373059,0.24520785,0.40468812,0.9379711151123047,1.3081669807434082,0.3701958656311035
74,-2.116737,-2.1756299,"('insightful', 'unperceptive')",-0.96844566,-1.2517792,-1.8477361,-1.822809,-1.6443061828613281,-1.7500727971394856,-0.10576661427815748
71,-2.0566792,-2.266562,"('efficient', 'inefficient')",-0.12528253,-0.63559675,-0.49650967,-0.5990094,-0.892823855082194,-1.1670560836791992,-0.27423222859700525
77,2.0507874,1.8988886,"('active', 'inactive')",1.0038981,0.8235993,-0.32856435,-0.20723772,0.908707062403361,0.8384167353312174,-0.07029032707214355
41,1.9973462,1.8116306,"('incorrupt', 'corrupt')",0.24609625,1.0999002,1.4311874,1.4338076,1.2248766422271729,1.448446273803711,0.22356963157653809
29,-1.994509,-2.074007,"('honest', 'immoral')",-1.2742742,-1.8883584,-1.2774396,-1.3277235,-1.5154075622558594,-1.7633628845214844,-0.247955322265625
73,-1.9244936,-2.0632694,"('brilliant', 'incompetent')",-0.23096037,-0.9725795,-1.3401861,-1.4822751,-1.1652133464813232,-1.5060413678487141,-0.3408280213673909
38,-1.9218518,-1.8453691,"('kind', 'unkind')",-0.37169334,-0.79652166,-2.1656148,-1.9688854,-1.4863866170247395,-1.5369253158569336,-0.050538698832194084
13,-1.8363705,-1.8127568,"('helpful', 'unhelpful')",-1.4008019,-2.3223703,-3.5039062,-3.4662828,-2.2470261255900064,-2.5338033040364585,-0.2867771784464521
25,-1.8322592,-1.6428964,"('moral', 'immoral')",0.2172046,-0.51908946,-1.610382,-1.5420434,-1.0751455624898274,-1.234676440556844,-0.1595308780670166
78,1.8259051,1.5578378,"('active', 'inactive')",1.3088416,1.2633975,1.3243184,0.9712157,1.4863549868265789,1.2641503016153972,-0.22220468521118164
68,-1.7040857,-1.7239894,"('clever', 'inept')",-1.9387511,-1.6618314,-1.0361918,-1.1110802,-1.559676170349121,-1.4989670117696126,0.06070915857950854
87,-1.6855135,-1.5961907,"('dedicated', 'undedicated')",-0.86153823,-0.8559501,-0.7629117,-0.67422163,-1.1033210754394531,-1.0421207745869954,0.061200300852457756
44,-1.6707927,-1.6162386,"('truthful', 'untruthful')",-0.99894184,-1.2088099,-2.1728292,-2.1084945,-1.6141878763834636,-1.6445144017537434,-0.0303265253702798
20,1.6112185,1.7331998,"('popular', 'unpopular')",0.8237064,0.9565889,-0.6268598,-0.34390366,0.6026883522669474,0.7819617589314779,0.1792734066645305
88,1.5784453,1.6623442,"('impulsive', 'meek')",0.4363254,1.2423536,0.9819785,0.9248072,0.9989163875579834,1.2765016555786133,0.2775852680206299
64,-1.5591893,-1.4666271,"('clever', 'incompetent')",0.1325134,-0.281673,-0.41508973,-0.34799978,-0.6139218807220459,-0.6987666289011637,-0.0848447481791178
109,-1.5229255,-1.3858795,"('conservative', 'liberal')",1.1538858,0.69048226,0.013299957,0.1294553,-0.11857990423838298,-0.18864730993906656,-0.07006740570068358
108,-1.5229255,-1.3858795,"('conservative', 'liberal')",1.1538858,0.69048226,0.013299957,0.1294553,-0.11857990423838298,-0.18864730993906656,-0.07006740570068358
36,-1.5195673,-1.8096181,"('tolerant', 'intolerant')",0.2354954,-0.5192471,-0.70785254,-0.7253882,-0.6639747619628906,-1.0180845260620117,-0.3541097640991211
