,T._male,T._female,tuple,Rowe_male,Rowe_female,Price_male,Price_female,average_male,average_female,female-male
25,-2.7024407,-2.4548612,"('moral', 'immoral')",0.7589529,0.69938636,-1.3582126,-1.7476153,-1.1005668640136719,-1.1676967144012451,-0.06712985038757324
78,1.8073672,1.2816427,"('active', 'inactive')",1.5993965,1.4266963,2.7169673,2.0745296,2.041243553161621,1.5942894617716472,-0.4469540913899739
87,-1.751449,-1.4462593,"('dedicated', 'undedicated')",-0.8461104,-0.73791957,-0.81868756,-0.92743033,-1.1387489636739094,-1.037203073501587,0.10154589017232252
65,-1.682292,-1.5064955,"('practical', 'impractical')",-0.44111383,-0.4163119,-1.5517229,-2.155424,-1.2250429789225261,-1.3594104448954265,-0.1343674659729004
0,-1.5710497,-1.2918401,"('sociable', 'unsociable')",0.5340967,1.0912085,-0.65562785,-0.93699515,-0.564193606376648,-0.37920892238616943,0.18498468399047852
88,1.5331473,1.1858025,"('impulsive', 'meek')",0.081444755,0.10306364,1.8133798,2.0665526,1.1426572799682617,1.1184728940327961,-0.02418438593546557
109,-1.4489703,-0.9894292,"('conservative', 'liberal')",2.455079,2.6102204,0.9873946,0.49918362,0.6645011107126871,0.7066582838694254,0.04215717315673828
108,-1.4489703,-0.9894292,"('conservative', 'liberal')",2.455079,2.6102204,0.9873946,0.49918362,0.6645011107126871,0.7066582838694254,0.04215717315673828
75,1.4408695,1.3737577,"('confident', 'shy')",4.2560587,4.378031,6.559591,6.5538855,4.085506439208984,4.101891199747722,0.016384760538737275
70,1.4321258,1.1943254,"('wise', 'unwise')",-0.15624401,0.026862547,0.53391343,0.78547007,0.6032650470733643,0.6688860257466634,0.06562097867329919
38,-1.378933,-1.0374144,"('kind', 'unkind')",-0.028480157,0.3401309,-3.0528388,-2.8798108,-1.486750602722168,-1.192364772160848,0.29438583056132006
30,-1.2981697,-1.1447194,"('honest', 'dishonest')",-0.3013568,-0.11279568,-0.23716834,-0.5483851,-0.6122316122055054,-0.6019666989644369,0.010264913241068485
26,-1.2801167,-1.1670959,"('trustworthy', 'untrustworthy')",0.5060369,0.7820208,0.55333245,0.4349561,-0.07358245054880778,0.016627003749211628,0.09020945429801941
18,-1.2611935,-1.2095826,"('social', 'asocial')",-0.64712644,-0.39627534,-0.46526274,-0.91714406,-0.7911942005157471,-0.8410006364186605,-0.04980643590291345
42,1.2605867,0.9302846,"('amicable', 'hostile')",-0.2985956,-0.340546,0.1211707,0.9193599,0.3610539436340332,0.5030328432718912,0.14197889963785804
106,-1.2441325,-0.86706257,"('conventional', 'unconventional')",-0.059821382,-0.13533418,-0.2928058,-0.055138588,-0.5322532256444296,-0.35251176357269287,0.1797414620717367
