,McCormick_male,McCormick_female,tuple,&_male,&_female,Company_male,Company_female,average_male,average_female,female-male
75,4.1106305,4.2092013,"('confident', 'shy')",4.0087137,4.0352073,5.7217474,5.7270384,4.613697369893392,4.657148996988933,0.04345162709554096
40,-3.5174646,-3.664179,"('honorable', 'mean')",-3.1803021,-3.355461,-4.905266,-5.1309004,-3.867677688598633,-4.050180117289226,-0.18250242869059274
27,-3.449695,-3.214835,"('sincere', 'insincere')",-4.1355467,-3.9827933,-6.200424,-5.977626,-4.595221837361653,-4.391751289367676,0.20347054799397757
6,2.9326587,2.8367214,"('liked', 'disliked')",4.5879793,4.393346,5.2390637,5.2091265,4.253233909606934,4.1463979085286455,-0.10683600107828806
95,-2.521649,-2.4861755,"('rich', 'poor')",-4.6163955,-4.796937,-5.528528,-5.4964237,-4.222190856933594,-4.25984541575114,-0.03765455881754587
11,-2.5136871,-2.5644567,"('caring', 'unaffectionate')",-0.93532413,-0.9677944,-1.4195318,-1.4349076,-1.6228477160135906,-1.6557195981343586,-0.03287188212076808
53,-2.4305656,-2.0725465,"('smart', 'stupid')",-2.785178,-2.6608834,-3.9029984,-4.1224346,-3.0395806630452475,-2.9519548416137695,0.08762582143147801
50,2.3940244,2.3055468,"('unprejudiced', 'prejudiced')",2.6318374,2.5001001,2.3217878,2.2123914,2.4492165247599282,2.339346090952555,-0.10987043380737305
86,2.0999725,2.1097617,"('self-reliant', 'helpless')",3.6254056,3.315715,2.5107355,2.3039954,2.745371182759603,2.5764907201131186,-0.16888046264648438
48,2.0736556,1.9945228,"('reliable', 'unreliable')",1.5736834,1.3709737,1.9145089,1.8205051,1.8539492289225261,1.7286672592163086,-0.12528196970621752
10,-1.8845829,-1.8431967,"('affectionate', 'unaffectionate')",0.22535588,0.18459022,-1.2385545,-1.3324065,-0.9659271240234375,-0.9970043500264486,-0.031077226003011105
99,-1.858701,-1.9540788,"('prestigious', 'insignificant')",-0.7048128,-1.1830682,-0.45481205,-0.27260256,-1.0061086018880208,-1.1365831693013508,-0.13047456741333008
44,-1.852309,-1.8820355,"('truthful', 'untruthful')",-0.52573866,-0.6208297,-0.9942142,-0.867333,-1.1240873336791992,-1.1233994166056316,0.0006879170735676343
98,-1.6366316,-1.7433616,"('prestigious', 'insignificant')",-1.0710076,-1.416075,0.16370653,0.24297962,-0.8479775587717692,-0.9721523920694987,-0.12417483329772949
28,-1.5823812,-1.6150192,"('honest', 'dishonest')",-2.4815605,-2.3089046,-1.2835791,-1.2512192,-1.7825069427490234,-1.7250477472941081,0.05745919545491529
1,-1.5544577,-1.6086006,"('friendly', 'unfriendly')",-1.8073549,-1.9302442,-1.6749282,-1.6091913,-1.6789135932922363,-1.7160120010375977,-0.03709840774536133
66,1.5412514,1.7723253,"('imaginative', 'unimaginative')",1.7984312,1.9160259,1.6603162,1.6786256,1.6666663487752278,1.7889922459920247,0.12232589721679688
87,-1.4725404,-1.2823765,"('dedicated', 'undedicated')",-1.3853477,-1.4120058,-1.5648403,-1.5574237,-1.4742428461710613,-1.4172685941060383,0.056974252065022934
34,-1.440321,-1.3916838,"('loyal', 'disloyal')",-1.7068768,-1.3924224,-2.1376889,-1.7798164,-1.761628786722819,-1.5213076273600261,0.24032115936279297
100,-1.4057839,-1.028235,"('influential', 'uninfluential')",-0.7749443,-0.5667411,-0.97832406,-0.6891167,-1.0530174573262532,-0.7613643010457357,0.29165315628051747
16,1.3369107,1.5048656,"('social', 'antisocial')",0.2795266,0.46477503,-0.22280931,0.007948399,0.4645426670710246,0.6591963768005371,0.19465370972951251
3,1.3273554,1.3198698,"('likable', 'unlikable')",0.5202945,0.25173515,1.0005779,1.1979762,0.9494092464447021,0.9231937726338705,-0.02621547381083167
103,1.2607126,1.4091516,"('traditional', 'modern')",0.43213966,0.44099018,1.1738122,1.3433298,0.9555548032124838,1.0644904772440593,0.10893567403157556
31,-1.2575921,-1.284617,"('altruistic', 'egoistic')",-0.6022098,-0.7353118,-0.5374321,-0.4244607,-0.7990779876708984,-0.8147964477539062,-0.015718460083007812
76,1.1738207,1.468815,"('secure', 'insecure')",-0.3842275,0.030869126,-0.2331449,-0.3314395,0.18548278013865152,0.38941486676534015,0.20393208662668863
74,-1.1647637,-0.947028,"('insightful', 'unperceptive')",-2.2165906,-2.3376427,-1.7718232,-1.6739049,-1.7177257537841797,-1.6528584162394206,0.06486733754475904
8,-1.1602293,-1.447448,"('open', 'distant')",-1.4330556,-1.7748258,2.087016,1.6034443,-0.16875632603963217,-0.5396098295847574,-0.37085350354512525
13,-1.1571982,-0.9005034,"('helpful', 'unhelpful')",-1.4792297,-1.5617889,-3.6787496,-3.5016527,-2.1050591468811035,-1.987981637318929,0.11707750956217455
29,-1.1252643,-1.1303108,"('honest', 'immoral')",-2.492492,-2.3022342,-1.498627,-1.2386072,-1.7054611841837566,-1.5570507049560547,0.1484104792277019
32,-1.0512655,-0.68551403,"('benevolent', 'hardhearted')",-1.297818,-0.9707644,-2.015915,-1.8206694,-1.4549994468688965,-1.1589825948079426,0.29601685206095385
33,-1.0440967,-1.0023897,"('softhearted', 'hardhearted')",-0.60674417,-0.23359776,-1.2802842,-1.1856136,-0.9770417213439941,-0.8072003523508707,0.1698413689931234
92,-1.0383877,-1.3014342,"('unwavering', 'wavering')",-1.371525,-1.4627593,0.52672195,0.6933435,-0.6277302106221517,-0.6902832984924316,-0.06255308787027991
105,-1.0217872,-1.0746905,"('conventional', 'modern')",-1.011471,-1.0496438,0.012547433,-0.07029891,-0.6735702355702718,-0.7315444151560465,-0.057974179585774666
12,-0.9471684,-0.86549234,"('sympathetic', 'unsympathetic')",-0.79287094,-0.35618746,-2.0634217,-1.7333134,-1.2678203582763672,-0.9849977493286133,0.2828226089477539
94,0.9344584,1.0316666,"('aggressive', 'submissive')",0.45391607,0.68634987,0.11054471,0.08536418,0.49963970979054767,0.6011269092559814,0.10148719946543378
15,0.91967946,1.2236716,"('polite', 'impolite')",0.7157667,0.84402835,-0.27744544,-0.07128143,0.4526669184366862,0.6654728253682455,0.21280590693155926
5,0.9152015,0.8572786,"('pleasant', 'repellent')",0.30515563,0.32166058,-0.68536496,-0.6523076,0.17833073933919272,0.17554382483164468,-0.002786914507548033
97,-0.90340185,-0.8608896,"('superior', 'inferior')",-0.8253244,-0.8584398,-1.2033416,-1.0740409,-0.97735595703125,-0.931123415629069,0.04623254140218103
78,0.8929243,0.5418972,"('active', 'inactive')",1.0016036,0.7120829,2.4846003,2.2688856,1.4597094853719075,1.1742885907491047,-0.28542089462280273
109,0.8735726,1.1169156,"('conservative', 'liberal')",1.8477361,2.2259586,-0.22003746,-0.30144396,0.8337570826212565,1.0138099988301594,0.18005291620890296
108,0.8735726,1.1169156,"('conservative', 'liberal')",1.8477361,2.2259586,-0.22003746,-0.30144396,0.8337570826212565,1.0138099988301594,0.18005291620890296
61,-0.84771526,-0.8584869,"('rational', 'irrational')",0.19487056,0.09538987,1.0015067,1.0656627,0.11622067292531331,0.10085523128509521,-0.015365441640218094
62,-0.845389,-0.58603394,"('creative', 'uncreative')",-2.2511616,-2.446728,-0.16223606,-0.34661743,-1.0862621466318767,-1.1264598369598389,-0.040197690327962166
49,-0.8228428,-0.8298429,"('responsible', 'irresponsible')",-0.61115694,-0.70318985,-1.5886176,-1.7323588,-1.0075391133626301,-1.0884638627370198,-0.08092474937438965
84,-0.8163756,-0.93868506,"('self-confident', 'diffident')",0.07232165,-0.23763105,-0.17518169,-0.2317988,-0.30641188224156696,-0.46937163670857746,-0.1629597544670105
83,-0.76797336,-0.823217,"('energetic', 'lethargic')",-0.78670347,-0.7935468,-0.4470207,-0.38438696,-0.6672325134277344,-0.667050282160441,0.00018223126729333128
26,0.74055743,1.0689282,"('trustworthy', 'untrustworthy')",-0.35686257,-0.40186012,0.5204803,0.5127214,0.30139172077178955,0.39326318105061847,0.09187146027882892
7,-0.73503494,-1.042177,"('outgoing', 'distant')",-0.88669884,-1.2293333,2.5213027,2.043668,0.2998563051223755,-0.07594736417134602,-0.3758036692937215
107,0.73448247,1.058238,"('conventional', 'modern')",0.44311655,0.51828825,-0.063400775,0.062306985,0.3713994026184082,0.5462777614593506,0.17487835884094238
23,-0.7343879,-0.9688249,"('hospitable', 'inhospitable')",-0.26044792,-0.5826237,0.3041123,0.27182257,-0.23024117946624756,-0.4265420039494832,-0.19630082448323566
104,-0.6893994,-0.67556024,"('conventional', 'unconventional')",-0.45263612,-0.33058608,0.28531268,0.49382594,-0.2855742772420247,-0.17077346642812094,0.11480081081390378
82,-0.68142873,-0.80365944,"('industrious', 'meek')",0.93378353,0.7895844,1.2759457,1.3899808,0.5094335079193115,0.45863525072733563,-0.05079825719197589
