,International_male,International_female,tuple,Paper_male,Paper_female,average_male,average_female,female-male
27,-4.67974,-4.495806,"('sincere', 'insincere')",-6.224909,-6.2657433,-5.452324390411377,-5.38077449798584,0.07154989242553711
75,4.4129763,4.6069536,"('confident', 'shy')",6.3848476,6.5396595,5.398911952972412,5.573306560516357,0.1743946075439453
6,3.815958,3.7379563,"('liked', 'disliked')",6.0840592,5.955721,4.950008392333984,4.846838474273682,-0.10316991806030273
40,-3.5743296,-3.7060323,"('honorable', 'mean')",-5.0104866,-5.337923,-4.292407989501953,-4.521977424621582,-0.2295694351196289
95,-3.2731223,-3.2933433,"('rich', 'poor')",-5.0745296,-5.477313,-4.173826217651367,-4.38532829284668,-0.2115020751953125
53,-2.8855224,-2.967436,"('smart', 'stupid')",-4.5991564,-4.9331717,-3.7423393726348877,-3.9503040313720703,-0.20796465873718262
13,-2.80716,-2.5100725,"('helpful', 'unhelpful')",-2.711193,-2.683736,-2.75917649269104,-2.5969042778015137,0.16227221488952637
78,2.507505,2.1973464,"('active', 'inactive')",2.324191,1.8587122,2.4158480167388916,2.028029441833496,-0.3878185749053955
65,-2.3834305,-2.0585659,"('practical', 'impractical')",-1.9636657,-2.0979097,-2.1735482215881348,-2.078237771987915,0.09531044960021973
37,2.059823,1.710595,"('good', 'evil')",2.431608,2.1947138,2.245715618133545,1.9526543617248535,-0.2930612564086914
32,-1.9611683,-1.8494701,"('benevolent', 'hardhearted')",-1.1725855,-0.96565163,-1.5668768882751465,-1.4075608253479004,0.1593160629272461
102,-1.8707274,-1.5728991,"('eminent', 'low')",-0.030696094,-0.009379104,-0.950711727142334,-0.7911391258239746,0.15957260131835938
38,-1.8160008,-1.3723699,"('kind', 'unkind')",-2.048438,-1.987016,-1.9322195053100586,-1.6796929836273193,0.25252652168273926
74,-1.8090441,-1.6322012,"('insightful', 'unperceptive')",-1.236232,-1.2861893,-1.5226380825042725,-1.4591952562332153,0.06344282627105713
107,1.7484398,2.117013,"('conventional', 'modern')",0.018056452,0.14880142,0.8832480907440186,1.1329071521759033,0.24965906143188477
49,-1.7443471,-1.6050742,"('responsible', 'irresponsible')",-1.2600373,-1.5169554,-1.5021922588348389,-1.5610147714614868,-0.05882251262664795
101,-1.7151933,-1.4365993,"('successful', 'unsuccessful')",-1.4455978,-1.4161004,-1.5803954601287842,-1.4263498783111572,0.15404558181762695
