,A._male,A._female,tuple,O._male,O._female,Smith_male,Smith_female,average_male,average_female,female-male
25,-2.6262481,-3.0224144,"('moral', 'immoral')",-1.6748285,-1.5314487,-0.025263608,-0.40191576,-1.4421135584513347,-1.6519261995951335,-0.20981264114379883
75,2.3234208,1.933372,"('confident', 'shy')",2.453978,2.3452642,4.83313,4.721781,3.2035096486409507,3.0001389185587564,-0.2033707300821943
73,-2.2560635,-2.9402544,"('brilliant', 'incompetent')",-1.6094666,-1.5878589,-0.8686061,-1.0230155,-1.57804536819458,-1.85037628809611,-0.27233091990153
64,-2.2547991,-2.5236738,"('clever', 'incompetent')",-0.93475354,-0.81515485,-0.3796301,-0.27854222,-1.1897276242574055,-1.2057902812957764,-0.016062657038370842
78,2.2121394,1.827785,"('active', 'inactive')",2.2772808,1.9246981,1.4547365,1.1309332,1.9813855489095051,1.6278053919474285,-0.3535801569620767
65,-2.1312685,-2.3613043,"('practical', 'impractical')",-1.5323575,-1.5360626,-0.99721575,-0.86879605,-1.5536139806111653,-1.5887209574381511,-0.035106976826985825
95,-2.087259,-2.0022297,"('rich', 'poor')",-0.7807536,-0.6422873,-3.2971299,-3.0775778,-2.0550475120544434,-1.907364845275879,0.14768266677856445
51,-2.0383065,-2.4229007,"('competent', 'incompetent')",-0.7372564,-0.610793,-0.43958914,0.010731161,-1.0717172622680664,-1.0076541900634766,0.06406307220458984
70,1.9049864,1.7312284,"('wise', 'unwise')",1.5587215,1.3455858,0.0107361525,0.033681333,1.1581480503082275,1.0368318557739258,-0.12131619453430176
50,1.8457065,1.7222204,"('unprejudiced', 'prejudiced')",0.8539557,0.76599157,1.6550248,1.4656346,1.4515622456868489,1.3179488976796467,-0.13361334800720215
87,-1.8283827,-1.8901,"('dedicated', 'undedicated')",-1.5686066,-1.3874774,-1.0296897,-0.79634607,-1.4755597114562988,-1.3579745292663574,0.1175851821899414
71,-1.8128415,-2.4285455,"('efficient', 'inefficient')",-1.3085798,-1.357569,0.10973337,0.16830444,-1.0038959980010986,-1.2059366703033447,-0.2020406723022461
74,-1.7944908,-2.1831763,"('insightful', 'unperceptive')",-1.149226,-1.1985748,-0.4345495,-0.28739923,-1.1260887781778972,-1.2230501174926758,-0.09696133931477857
0,-1.7760812,-1.8736435,"('sociable', 'unsociable')",-1.1292679,-0.7666038,-0.10469246,0.3870425,-1.0033472379048665,-0.7510682741800944,0.2522789637247721
100,-1.7708024,-2.122516,"('influential', 'uninfluential')",-0.38587308,-0.5069846,-1.2425809,-0.92152,-1.1330854098002117,-1.1836734612782795,-0.050588051478067886
37,1.7366363,1.835835,"('good', 'evil')",1.7036389,1.6133509,1.692781,1.3466134,1.711018721262614,1.5985997517903645,-0.1124189694722495
41,1.6396234,2.0516598,"('incorrupt', 'corrupt')",0.98842204,1.1303887,0.8173182,0.87361187,1.1484545866648357,1.3518867492675781,0.20343216260274244
101,-1.5903671,-1.622759,"('successful', 'unsuccessful')",-1.0437952,-0.8342348,-0.13150847,0.13187441,-0.9218902587890625,-0.7750398317972819,0.14685042699178064
40,-1.5726228,-1.849628,"('honorable', 'mean')",-1.3406664,-1.5475967,-2.68139,-2.7439613,-1.8648929595947266,-2.0470619201660156,-0.18216896057128906
21,1.5675911,1.4111745,"('nice', 'nasty')",1.4396403,1.4533398,0.41871727,0.39938855,1.141982873280843,1.0879676342010498,-0.05401523907979322
12,-1.487069,-1.8438215,"('sympathetic', 'unsympathetic')",-0.68512964,-0.6318064,-1.0191199,-0.7038937,-1.0637728373209636,-1.0598405202229817,0.003932317097981919
7,1.4584903,1.4057261,"('outgoing', 'distant')",0.96757203,0.5676836,0.7849557,0.36038202,1.0703393618265789,0.7779305775960287,-0.29240878423055017
57,-1.4432962,-1.7805364,"('able', 'unable')",-1.170658,-1.1439989,0.5903346,0.45671964,-0.6745398044586182,-0.8226052125295004,-0.1480654080708822
24,-1.4107898,-1.1327258,"('thoughtful', 'rough')",-0.73202014,-0.44838738,-0.75205636,-0.91149575,-0.9649554093678793,-0.8308696746826172,0.13408573468526208
2,-1.4067694,-1.8435549,"('friendly', 'unfriendly')",-0.561723,-0.4817909,-0.6464242,-0.22981757,-0.8716388543446859,-0.8517211278279623,0.019917726516723633
92,1.34555,1.1766421,"('unwavering', 'wavering')",0.8594597,0.7975485,0.051475257,-0.012457028,0.7521616617838541,0.6539111534754435,-0.09825050830841064
77,1.3118087,1.360296,"('active', 'inactive')",1.186871,1.1416814,0.98047066,0.9425943,1.1597167650858562,1.1481905778249104,-0.011526187260945786
49,-1.3005935,-1.5590858,"('responsible', 'irresponsible')",-0.5249753,-0.8051771,-1.2305775,-0.85973483,-1.0187153816223145,-1.074665943781535,-0.05595056215922045
61,1.2954488,1.5195804,"('rational', 'irrational')",1.4781854,1.400235,1.0019677,0.909976,1.2585339546203613,1.2765971819559734,0.018063227335612053
109,-1.2709382,-1.2908548,"('conservative', 'liberal')",-0.19402744,0.17123416,0.40033317,0.46133354,-0.3548774719238281,-0.2194290558497111,0.13544841607411703
108,-1.2709382,-1.2908548,"('conservative', 'liberal')",-0.19402744,0.17123416,0.40033317,0.46133354,-0.3548774719238281,-0.2194290558497111,0.13544841607411703
33,-1.2447593,-1.3037343,"('softhearted', 'hardhearted')",-1.6200273,-1.7761981,-0.16449916,-0.13053662,-1.0097619692484539,-1.0701563358306885,-0.060394366582234627
27,-1.2397964,-1.3453927,"('sincere', 'insincere')",-0.9218464,-0.85219204,-4.7566786,-4.3790455,-2.30610720316569,-2.192210038503011,0.11389716466267874
42,1.2238964,1.6077912,"('amicable', 'hostile')",1.0134172,0.95254624,0.66857564,0.41154385,0.9686298370361328,0.99062712987264,0.0219972928365072
34,-1.1938429,-0.97531,"('loyal', 'disloyal')",-0.6649744,-0.5459401,-1.6540301,-1.2898939,-1.170949141184489,-0.9370479583740234,0.23390118281046557
16,-1.1909528,-1.5244855,"('social', 'antisocial')",-0.6888484,-0.69476384,0.5532893,0.871504,-0.4421706199645996,-0.4492483933766683,-0.007077773412068666
28,-1.1816993,-1.4715257,"('honest', 'dishonest')",-0.6498288,-0.7444966,-1.716727,-1.4592884,-1.1827516555786133,-1.225103537241618,-0.04235188166300463
30,-1.1793952,-1.546483,"('honest', 'dishonest')",-0.8426232,-0.85273814,-0.6745337,-0.31733486,-0.8988507588704427,-0.9055186907450358,-0.006667931874593025
88,1.1735104,1.3789742,"('impulsive', 'meek')",0.4360858,0.5217076,1.5515873,1.5548284,1.0537278652191162,1.1518367131551106,0.09810884793599439
93,-1.1633582,-1.0731679,"('dominating', 'dominated')",-1.0714635,-0.7878256,-0.48454478,-0.10337728,-0.9064555168151855,-0.6547902425130209,0.2516652743021647
53,-1.132238,-1.0670967,"('smart', 'stupid')",-0.1589435,-0.11692152,-3.2389789,-2.815767,-1.5100534756978352,-1.3332618077596028,0.17679166793823242
83,-1.1252794,-1.3349649,"('energetic', 'lethargic')",-0.77989185,-0.6529769,-0.7250044,-0.2897071,-0.8767251968383789,-0.75921630859375,0.1175088882446289
52,-1.1089453,-1.4711169,"('competitive', 'uncompetitive')",0.026040167,0.0017684102,-0.33670467,0.2258575,-0.47320326169331867,-0.41449697812398273,0.05870628356933594
4,-1.0927315,-1.1922512,"('likable', 'unlikable')",-0.96787345,-1.0229064,0.2420659,-0.13963199,-0.6061797142028809,-0.7849298318227133,-0.1787501176198324
29,-1.0802933,-0.9782386,"('honest', 'immoral')",-0.6313448,-0.46982884,-1.4868681,-1.581508,-1.0661687850952148,-1.0098584493001301,0.05631033579508471
68,-1.0794686,-1.2832016,"('clever', 'inept')",-0.45681286,-0.47581184,-0.8512262,-1.2624354,-0.7958358923594157,-1.007149616877238,-0.21131372451782238
98,1.0584931,0.8609185,"('prestigious', 'insignificant')",1.5413299,1.2355345,-0.3137863,-0.67274976,0.762012243270874,0.47456781069437665,-0.2874444325764974
55,-1.047852,-1.4288903,"('intelligent', 'unintelligent')",-0.07551259,-0.21559156,-0.44897944,-0.31192183,-0.5241146882375082,-0.6521345774332682,-0.12801988919576002
80,-1.0323385,-1.0348547,"('independent', 'dependent')",-0.85667753,-0.7689797,1.5854478,1.5355098,-0.10118941466013591,-0.08944153785705566,0.011747876803080246
9,-1.010248,-1.3228018,"('sensitive', 'insensitive')",-0.3362952,-0.44200635,-0.68455845,-0.48858425,-0.6770338217417399,-0.7511308193206787,-0.07409699757893884
23,0.9995028,0.9605001,"('hospitable', 'inhospitable')",0.7832216,0.56904656,0.46726164,0.0873746,0.7499953111012777,0.5389737685521444,-0.2110215425491333
106,-0.9962092,-0.74814487,"('conventional', 'unconventional')",-0.36515605,-0.3785898,0.3842038,0.4398322,-0.3257205088933309,-0.22896750768025717,0.0967530012130737
47,-0.99181175,-1.3749661,"('forgiving', 'unforgiving')",-0.9262233,-0.97843623,-0.87984914,-0.6854867,-0.9326280752817789,-1.0129629770914714,-0.0803349018096925
63,-0.98586774,-1.0737644,"('capable', 'incapable')",0.009192944,0.11740214,-0.3746008,-0.7511612,-0.4504251877466838,-0.5691745281219482,-0.11874934037526447
13,-0.98570216,-1.1355715,"('helpful', 'unhelpful')",-0.55850804,-0.48139673,-1.8247769,-1.3066273,-1.1229956944783528,-0.9745318094889323,0.14846388498942054
45,-0.9499074,-1.3172009,"('cooperative', 'exploitative')",-0.29650396,-0.53967345,-0.2885033,-0.6449347,-0.5116382042566935,-0.8339363733927408,-0.32229816913604736
72,-0.9386362,-1.2615812,"('logical', 'illogical')",0.10689462,-0.01776883,-0.46856648,-0.04900995,-0.43343599637349445,-0.4427866538365682,-0.00935065746307373
26,-0.93486047,-1.077631,"('trustworthy', 'untrustworthy')",-0.32673195,-0.18782023,0.11156115,0.30376655,-0.38334373633066815,-0.3205615480740865,0.06278218825658166
