,DXC_male,DXC_female,tuple,Technology_male,Technology_female,average_male,average_female,female-male
75,1.6909614,1.6789285,"('confident', 'shy')",4.2843723,3.8183107,2.9876668453216553,2.748619556427002,-0.23904728889465332
95,-1.5831673,-1.6011462,"('rich', 'poor')",-3.959181,-3.432728,-2.771174192428589,-2.516937255859375,0.25423693656921387
53,-1.5041698,-1.4177766,"('smart', 'stupid')",-3.5648751,-3.3069253,-2.534522533416748,-2.3623509407043457,0.17217159271240234
70,1.3698841,1.3295004,"('wise', 'unwise')",0.022350669,0.057751477,0.6961174011230469,0.6936259269714355,-0.002491474151611328
6,1.2562873,1.0329635,"('liked', 'disliked')",2.7629807,2.4372406,2.009634017944336,1.7351020574569702,-0.2745319604873657
91,1.169388,1.0456895,"('resilient', 'nonresilient')",-0.37209406,-0.27801368,0.3986470103263855,0.38383787870407104,-0.014809131622314453
65,-1.1532271,-0.722903,"('practical', 'impractical')",-1.6002861,-1.6652687,-1.3767566680908203,-1.1940858364105225,0.18267083168029785
78,1.1471835,0.68169314,"('active', 'inactive')",1.6712054,1.2708251,1.4091944694519043,0.9762591123580933,-0.43293535709381104
4,-1.0104082,-1.0174127,"('likable', 'unlikable')",-1.3062067,-1.2714843,-1.158307433128357,-1.1444485187530518,0.013858914375305176
37,1.0086229,0.6399415,"('good', 'evil')",1.5416927,1.4020371,1.2751578092575073,1.0209892988204956,-0.2541685104370117
22,0.9826526,0.77558196,"('welcoming', 'disagreeable')",0.61840063,0.687772,0.8005266189575195,0.7316769361495972,-0.06884968280792236
104,0.94074965,0.9270198,"('conventional', 'unconventional')",-0.083548814,0.27626783,0.4286004304885864,0.6016438007354736,0.1730433702468872
77,0.91995656,0.75580263,"('active', 'inactive')",0.3850119,0.54508257,0.6524842381477356,0.6504426002502441,-0.002041637897491455
21,0.8983848,0.81616896,"('nice', 'nasty')",0.042473853,-0.057783782,0.47042933106422424,0.379192590713501,-0.09123674035072327
73,-0.8407804,-0.6946511,"('brilliant', 'incompetent')",-1.7893722,-1.7568744,-1.3150763511657715,-1.2257628440856934,0.08931350708007812
68,-0.80464303,-0.71284646,"('clever', 'inept')",-1.388596,-1.4264593,-1.0966196060180664,-1.0696529150009155,0.02696669101715088
42,0.7882354,0.5744572,"('amicable', 'hostile')",0.2423858,0.43354434,0.5153106451034546,0.5040007829666138,-0.01130986213684082
