,morgan_male,morgan_female,tuple,stanley_male,stanley_female,dean_male,dean_female,witter_male,witter_female,average_male,average_female,female-male
75,6.5364933,6.5501575,"('confident', 'shy')",6.9974155,7.1789846,7.400645,7.5169106,2.8061745,2.7249603,5.935182094573975,5.992753028869629,0.0575709342956543
27,-6.434439,-6.446352,"('sincere', 'insincere')",-5.5762777,-5.5093384,-6.0380783,-6.198094,-1.7369668,-1.7909904,-4.946440696716309,-4.986193656921387,-0.039752960205078125
6,6.0273585,6.0188828,"('liked', 'disliked')",5.175611,5.18501,5.934166,6.18085,1.5546193,1.9059045,4.672938346862793,4.822661876678467,0.14972352981567383
95,-5.4520073,-5.7175426,"('rich', 'poor')",-5.172474,-5.3800173,-5.189172,-5.4611526,-0.99712986,-1.244592,-4.202695846557617,-4.450826168060303,-0.24813032150268555
53,-4.994748,-4.9253864,"('smart', 'stupid')",-5.191865,-5.3021092,-4.833079,-4.700045,-1.3431786,-1.600924,-4.090717315673828,-4.132115840911865,-0.04139852523803711
40,-4.3197975,-4.661581,"('honorable', 'mean')",-4.4587936,-4.811884,-4.798564,-5.27021,-1.6730535,-1.7750615,-3.8125522136688232,-4.129683971405029,-0.31713175773620605
86,2.8738437,2.8338575,"('self-reliant', 'helpless')",3.4678793,3.4163249,2.5773354,2.627763,0.20868605,0.2518018,2.281935930252075,2.2824366092681885,0.0005006790161132812
48,2.7858157,2.6132102,"('reliable', 'unreliable')",3.126097,3.2790174,2.9541917,3.1050982,0.07894887,0.20702773,2.2362632751464844,2.301088333129883,0.06482505798339844
66,2.4039545,2.7072577,"('imaginative', 'unimaginative')",2.2141304,2.4301605,2.41454,2.850148,0.6846777,0.98925704,1.9293256998062134,2.2442057132720947,0.31488001346588135
11,-2.3112333,-2.3120294,"('caring', 'unaffectionate')",-2.8746636,-2.704225,-1.7786725,-1.8193674,-0.81031615,-0.21507654,-1.9437212944030762,-1.7626745700836182,0.181046724319458
13,-2.1990547,-2.0676465,"('helpful', 'unhelpful')",-1.8563957,-1.7841125,-1.8591394,-1.8334458,-0.9487922,-0.97938055,-1.7158455848693848,-1.6661462783813477,0.04969930648803711
