,ceridian_male,ceridian_female,tuple,h_male,h_female,c_male,c_female,m_male,m_female,holding_male,holding_female,average_male,average_female,female-male
75,2.5659883,2.0978584,"('confident', 'shy')",5.053381,4.601119,7.0056243,6.856675,6.0316143,5.7235727,5.8684454,6.0679936,5.305010986328125,5.0694435119628904,-0.23556747436523473
90,1.6914248,1.363492,"('motivated', 'unmotivated')",0.7512663,0.5221849,0.88683486,0.4631554,0.24699783,-0.039318442,0.82744324,0.6995872,0.8807933807373047,0.6018201828002929,-0.2789731979370118
71,1.4057214,0.7256541,"('efficient', 'inefficient')",-1.3221638,-1.4282824,0.24135703,-0.8309188,-0.99953854,-1.1408273,-0.6426292,-1.073561,-0.26345062255859375,-0.7495870590209961,-0.48613643646240234
69,-1.3072813,-1.0252264,"('wise', 'foolish')",-0.10476437,-0.1651222,0.62978756,0.793098,-0.16089867,-0.083593935,-0.120757565,0.10492316,-0.2127828598022461,-0.07518426179885865,0.13759859800338745
16,1.291673,0.53389037,"('social', 'antisocial')",-0.40447694,-0.105376005,-0.10334571,-0.2632357,0.08653134,0.2511878,-0.51618075,-0.64995587,0.07084017992019653,-0.04669787883758545,-0.11753805875778198
53,-1.2613623,-1.2877373,"('smart', 'stupid')",-3.6652572,-3.3121805,-4.4754753,-4.5984755,-3.6958246,-3.2065248,-4.4964395,-4.699567,-3.5188716888427733,-3.4208969116210937,0.09797477722167969
5,1.2226989,0.83872986,"('pleasant', 'repellent')",-0.37840855,-0.30099636,-0.6038201,-0.9523006,-1.070837,-1.1380141,0.52699494,0.5266633,-0.06067435741424561,-0.20518357753753663,-0.14450922012329104
100,1.2200191,1.2912637,"('influential', 'uninfluential')",-1.1447372,-0.9274863,-1.0807784,-1.2253442,-0.72605234,-0.6714187,-0.8176043,-0.45880282,-0.5098306179046631,-0.3983576536178589,0.1114729642868042
63,-1.1240268,-0.57194686,"('capable', 'incapable')",-1.066652,-0.9461502,-1.4278337,-1.1676528,-1.3972765,-1.2978004,-0.5899496,-0.47646493,-1.1211477279663087,-0.892003059387207,0.22914466857910165
95,-1.1062075,-1.0950173,"('rich', 'poor')",-4.709774,-4.3928375,-5.479868,-5.6191688,-4.917881,-4.665408,-5.097244,-5.547678,-4.26219482421875,-4.2640220642089846,-0.001827239990234375
