,western_male,western_female,tuple,union_male,union_female,average_male,average_female,female-male
75,3.2170782,3.1231241,"('confident', 'shy')",4.7391195,4.7369075,3.9780988693237305,3.930015802383423,-0.04808306694030762
27,-3.1691399,-2.4455893,"('sincere', 'insincere')",-4.5878534,-4.3320436,-3.8784966468811035,-3.3888163566589355,0.48968029022216797
40,-2.3001354,-2.237736,"('honorable', 'mean')",-3.3377995,-3.5994077,-2.818967342376709,-2.918571949005127,-0.09960460662841797
53,-1.9678608,-1.4072404,"('smart', 'stupid')",-3.4825149,-3.3187754,-2.7251877784729004,-2.3630080223083496,0.3621797561645508
6,1.8837614,1.3287585,"('liked', 'disliked')",3.3729293,3.1855733,2.628345489501953,2.2571659088134766,-0.37117958068847656
95,-1.8599765,-1.4797051,"('rich', 'poor')",-2.6843605,-2.664823,-2.2721686363220215,-2.0722641944885254,0.1999044418334961
45,-1.6242248,-1.4813257,"('cooperative', 'exploitative')",-1.1100781,-1.1368394,-1.3671514987945557,-1.3090825080871582,0.05806899070739746
104,-1.608544,-2.02232,"('conventional', 'unconventional')",-0.83090925,-0.78673744,-1.2197265625,-1.4045287370681763,-0.18480217456817627
78,1.5342758,0.8066242,"('active', 'inactive')",1.7057142,1.2638942,1.6199949979782104,1.0352592468261719,-0.5847357511520386
11,-1.4760278,-1.7505767,"('caring', 'unaffectionate')",-1.4754992,-1.3996468,-1.4757635593414307,-1.575111746788025,-0.09934818744659424
37,1.4652755,0.60814035,"('good', 'evil')",0.8484449,0.6477219,1.1568602323532104,0.6279311180114746,-0.5289291143417358
25,-1.3695378,-0.7641508,"('moral', 'immoral')",-0.4075997,-0.46877688,-0.8885687589645386,-0.616463840007782,0.2721049189567566
4,-1.345032,-1.2212238,"('likable', 'unlikable')",-0.5173841,-0.5308073,-0.9312080144882202,-0.8760155439376831,0.05519247055053711
28,-1.3242548,-1.0766913,"('honest', 'dishonest')",-1.8043188,-1.7221981,-1.564286708831787,-1.3994446992874146,0.16484200954437256
107,1.308636,1.5937865,"('conventional', 'modern')",1.0568444,1.1279466,1.1827402114868164,1.3608665466308594,0.17812633514404297
70,1.2874311,1.033467,"('wise', 'unwise')",0.19839393,0.11925079,0.7429125308990479,0.5763589143753052,-0.16655361652374268
34,-1.2209885,-0.8970878,"('loyal', 'disloyal')",-1.2776642,-1.0081558,-1.2493263483047485,-0.9526218175888062,0.2967045307159424
65,-1.184626,-0.6286372,"('practical', 'impractical')",-1.7591294,-1.4653631,-1.4718776941299438,-1.0470001697540283,0.4248775243759155
41,1.1655469,0.7741809,"('incorrupt', 'corrupt')",1.3991034,1.4471624,1.2823251485824585,1.1106716394424438,-0.17165350914001465
73,-1.1343839,-1.018971,"('brilliant', 'incompetent')",-0.873171,-1.0045815,-1.0037775039672852,-1.0117762088775635,-0.00799870491027832
99,-1.1254852,-1.6324295,"('prestigious', 'insignificant')",-0.15977818,-0.40596288,-0.6426316499710083,-1.0191961526870728,-0.37656450271606445
38,-0.9945573,-0.27990618,"('kind', 'unkind')",-1.0545638,-0.6778372,-1.024560570716858,-0.4788717031478882,0.5456888675689697
