,jefferies_male,jefferies_female,tuple,financial_male,financial_female,group_male,group_female,average_male,average_female,female-male
48,2.1817946,1.6299624,"('reliable', 'unreliable')",2.0770977,1.8447592,1.9948481,1.8933095,2.084580103556315,1.7893436749776204,-0.2952364285786946
16,1.9778509,2.3326259,"('social', 'antisocial')",-1.1843174,-1.0039709,-1.141745,-0.8689836,-0.11607046922047932,0.1532237927118937,0.26929426193237305
107,1.8933305,1.8578365,"('conventional', 'modern')",0.70846087,0.8731865,0.38715938,0.40438294,0.9963169097900391,1.0451353391011555,0.04881842931111646
82,-1.7766328,-1.8824561,"('industrious', 'meek')",-0.22502798,-0.11935708,1.5385609,1.6063236,-0.15436665217081705,-0.1318298578262329,0.022536794344584138
75,1.6641836,1.5643356,"('confident', 'shy')",4.7478085,4.7450867,4.939724,4.994638,3.783905347188314,3.768019994099935,-0.015885353088378906
76,1.4917235,1.7551796,"('secure', 'insecure')",0.38334543,0.3470475,-0.8066608,-0.61894083,0.3561360438664754,0.4944287935892741,0.1382927497227987
94,1.4337424,1.2757568,"('aggressive', 'submissive')",-0.19692457,-0.320441,-0.23002794,-0.15579748,0.33559664090474445,0.2665061155954997,-0.06909052530924475
5,1.325797,1.5199525,"('pleasant', 'repellent')",-0.4220439,-0.2629832,-0.39181098,-0.37406296,0.1706473429997762,0.2943021257718404,0.12365478277206418
66,1.301575,1.5409389,"('imaginative', 'unimaginative')",1.8801548,1.9107065,1.5726814,1.6003358,1.5848037401835124,1.683993657430013,0.0991899172465005
2,1.2719381,1.3422068,"('friendly', 'unfriendly')",-0.95407903,-0.9460961,-1.1833041,-0.83397424,-0.2884816726048787,-0.1459545095761617,0.142527163028717
41,-1.2353324,-1.1749316,"('incorrupt', 'corrupt')",1.4311874,1.4338076,1.6210029,1.6867807,0.6056193113327026,0.6485522190729777,0.04293290774027503
97,-1.2334363,-0.8759677,"('superior', 'inferior')",-0.85602176,-0.9204483,-0.6158573,-0.5000367,-0.9017717838287354,-0.7654842535654703,0.136287530263265
60,1.2197497,1.1551539,"('educated', 'uneducated')",-0.5786388,-0.3942348,-0.32826266,-0.075572595,0.10428274671236674,0.22844882806142172,0.12416608134905498
101,-1.2148312,-0.9053095,"('successful', 'unsuccessful')",-2.3131573,-2.0501547,-1.0340345,-0.81662524,-1.5206743876139324,-1.2573631604512532,0.2633112271626792
11,-1.200322,-0.86845684,"('caring', 'unaffectionate')",-2.3463254,-2.3367605,-1.4942008,-1.4447865,-1.680282751719157,-1.5500013033548992,0.1302814483642578
12,1.1963321,1.3878281,"('sympathetic', 'unsympathetic')",-0.77012944,-0.8252151,-1.5432942,-1.4397454,-0.3723638455073039,-0.2923774719238281,0.07998637358347577
70,1.1874425,1.1689037,"('wise', 'unwise')",1.4481149,1.4712377,1.4460618,1.4543662,1.3605397542317708,1.3648358980814617,0.004296143849690903
83,1.1603391,1.1407311,"('energetic', 'lethargic')",-0.29508966,-0.3657441,-0.29718047,-0.34872067,0.18935632705688477,0.14208877086639404,-0.04726755619049072
22,1.145036,0.85210073,"('welcoming', 'disagreeable')",1.2698478,1.2396717,0.9713837,0.89815235,1.1287557284037273,0.9966416358947754,-0.1321140925089519
109,1.0640202,0.7596915,"('conservative', 'liberal')",0.013299957,0.1294553,-1.1766788,-1.1526232,-0.0331195592880249,-0.08782545725504558,-0.054705897967020675
108,1.0640202,0.7596915,"('conservative', 'liberal')",0.013299957,0.1294553,-1.1766788,-1.1526232,-0.0331195592880249,-0.08782545725504558,-0.054705897967020675
80,1.0575244,0.9071598,"('independent', 'dependent')",1.9702308,1.9234314,0.35079432,0.5369884,1.1261831919352214,1.122526486714681,-0.0036567052205405126
46,1.0491204,0.82383466,"('generous', 'stingy')",1.3553939,1.3051666,1.3247952,1.3744605,1.2431031862894695,1.1678205331166585,-0.07528265317281102
39,-1.0450764,-0.9864631,"('right', 'wrong')",-0.5942092,-0.5015377,0.3137683,0.48879585,-0.4418390989303589,-0.33306833108266193,0.10877076784769696
50,1.036216,0.790104,"('unprejudiced', 'prejudiced')",1.3874567,1.3604696,1.9148343,1.5773686,1.4461688995361328,1.2426473299662273,-0.20352156956990552
10,-1.0295248,-0.8169049,"('affectionate', 'unaffectionate')",-1.0508572,-1.0170016,-0.797673,-0.87591875,-0.9593516190846761,-0.9032750924428304,0.0560765266418457
15,0.99787164,1.3028216,"('polite', 'impolite')",0.32956284,0.44540632,-0.04083036,0.21482044,0.42886805534362793,0.6543494860331217,0.22548143068949378
