,hunt_male,hunt_female,tuple,j_male,j_female,b_male,b_female,transport_male,transport_female,services_male,services_female,average_male,average_female,female-male
75,6.817392,6.983678,"('confident', 'shy')",6.0596733,5.9381537,6.0460877,5.7316656,4.9751472,4.9100924,5.3151054,4.8645015,5.842681121826172,5.685617828369141,-0.15706329345703107
6,6.583809,6.8721733,"('liked', 'disliked')",5.534392,5.1700387,5.466017,4.890277,3.4559724,3.7096088,4.3927617,4.2316628,5.086590194702149,4.974751663208008,-0.1118385314941408
27,-6.1749363,-6.395893,"('sincere', 'insincere')",-5.1331882,-4.7963934,-6.160915,-5.7590666,-4.0410156,-4.1827126,-6.2348614,-6.1440926,-5.548983383178711,-5.4556316375732425,0.09335174560546822
95,-6.0607476,-6.3493214,"('rich', 'poor')",-4.790596,-4.82745,-5.706902,-5.5807667,-4.3569384,-4.464138,-5.012558,-4.8777742,-5.185548400878906,-5.219889831542969,-0.03434143066406303
53,-4.848505,-5.004717,"('smart', 'stupid')",-3.4990602,-3.3561988,-4.2117777,-3.9047155,-4.1050715,-4.370674,-4.4375114,-4.4690895,-4.220384979248047,-4.221079254150391,-0.00069427490234375
40,-4.545651,-5.058251,"('honorable', 'mean')",-4.2401,-4.2467346,-4.142684,-3.9778955,-3.9243662,-4.2848034,-4.2278633,-4.2784047,-4.216133117675781,-4.3692176818847654,-0.1530845642089842
86,3.3849745,3.2839189,"('self-reliant', 'helpless')",2.9992754,2.7886934,2.47682,2.1106932,1.9184661,2.0949802,3.2632198,2.9880178,2.808551025390625,2.6532608032226563,-0.15529022216796884
32,-2.4493933,-1.9346641,"('benevolent', 'hardhearted')",-0.3887757,-0.15572733,-0.6568372,-0.40919644,-1.604575,-1.4749744,-1.9495894,-1.7803648,-1.409834098815918,-1.150985336303711,0.2588487625122069
38,-2.3877392,-2.066013,"('kind', 'unkind')",-1.7319003,-1.3762896,-1.5609362,-1.1458026,-1.4029263,-1.1754732,-3.0356448,-2.938733,-2.0238292694091795,-1.740462303161621,0.2833669662475584
48,2.3168602,2.299944,"('reliable', 'unreliable')",2.5308049,2.2605925,2.1151795,1.8666317,1.7129681,1.5602536,1.5720896,1.240471,2.049580383300781,1.8455785751342773,-0.20400180816650382
13,-2.298574,-2.3354316,"('helpful', 'unhelpful')",-1.8367891,-1.9304203,-2.919357,-2.841398,-2.5640213,-2.659692,-3.9658756,-3.8306804,-2.7169233322143556,-2.719524383544922,-0.0026010513305663174
28,-2.2877276,-2.2761593,"('honest', 'dishonest')",-2.1802435,-2.0031562,-2.168892,-1.8965827,-1.1851532,-1.3463345,-2.2775786,-2.2433696,-2.0199188232421874,-1.9531204223632812,0.0667984008789062
78,2.2440338,1.8128595,"('active', 'inactive')",1.6613911,1.408135,1.6664348,1.3858862,0.9099729,0.4995796,1.4159225,1.0410154,1.5795510292053223,1.2294950485229492,-0.3500559806823731
66,2.2243297,2.5512147,"('imaginative', 'unimaginative')",2.6886628,2.5307288,2.301096,2.056706,1.7078706,1.7190088,1.0983231,1.1754818,2.0040563583374023,2.0066280364990234,0.0025716781616211826
3,2.2210038,2.3089185,"('likable', 'unlikable')",1.6023009,1.5444413,1.6730256,1.6386765,1.2262006,1.3042977,0.8587003,0.7968618,1.516246223449707,1.5186391830444337,0.00239295959472674
50,2.2203958,2.107467,"('unprejudiced', 'prejudiced')",2.4914675,2.2963696,1.9629992,1.6871815,1.4185979,1.139445,1.801063,1.4529591,1.9789047241210938,1.7366844177246095,-0.2422203063964843
34,-2.2116103,-1.9457991,"('loyal', 'disloyal')",-1.9465661,-1.8577085,-2.2570477,-2.0077512,-1.6281713,-1.3843256,-2.7230024,-2.0889502,-2.153279495239258,-1.8569068908691406,0.29637260437011737
37,2.124118,2.2165775,"('good', 'evil')",1.3909175,1.550813,2.2139683,2.238707,1.350773,1.4080778,2.5144348,2.5826688,1.9188423156738281,1.9993688583374023,0.08052654266357417
58,-2.0505812,-1.9902806,"('able', 'clumsy')",-1.3677905,-1.3160226,-2.0164592,-1.6322384,-0.6340151,-0.48063624,-2.083808,-1.7832716,-1.6305307388305663,-1.4404897689819336,0.19004096984863272
46,1.9952269,2.1495566,"('generous', 'stingy')",1.8736205,1.9371378,1.4032638,1.5845408,1.4007483,1.4710597,1.0715642,1.0247858,1.548884677886963,1.6334161758422852,0.08453149795532222
11,-1.8441386,-1.8737324,"('caring', 'unaffectionate')",-1.5025401,-1.397717,-1.1759598,-1.2084239,-1.7134762,-1.6234978,-2.4576097,-2.4764278,-1.7387447357177734,-1.7159599304199218,0.02278480529785165
81,1.8008454,1.9718049,"('industrious', 'lazy')",2.1083624,1.9488888,2.4595008,2.363647,0.74055403,0.8488579,1.2110384,1.0630164,1.6640602111816407,1.639242935180664,-0.024817276000976607
29,-1.609888,-1.7615258,"('honest', 'immoral')",-1.366729,-1.2559829,-1.5647068,-1.4220953,0.52869254,0.22779043,-1.5614064,-1.752094,-1.1148075103759765,-1.1927814483642578,-0.07797393798828134
49,-1.5344337,-1.7199457,"('responsible', 'irresponsible')",-1.0309014,-0.889426,-1.5819976,-1.5012579,-1.0665126,-1.4013109,-1.8192282,-2.0501165,-1.4066147804260254,-1.512411403656006,-0.10579662322998051
1,-1.493047,-1.3596216,"('friendly', 'unfriendly')",-1.0732529,-0.9685752,-0.8735565,-0.7967598,-1.8687615,-1.6747689,-1.5024439,-1.2591515,-1.3622123718261718,-1.2117753982543946,0.1504369735717772
7,1.458054,1.158968,"('outgoing', 'distant')",0.4731989,0.38115656,0.77852696,0.45304936,0.06267154,-0.05000338,0.7550085,0.5664958,0.7054919719696044,0.501933240890503,-0.2035587310791015
12,-1.4253663,-1.4146643,"('sympathetic', 'unsympathetic')",-1.6181797,-1.4670992,-1.2713507,-1.0670301,-0.119781,-0.12688579,-1.9088145,-1.9333892,-1.2686984062194824,-1.2018136978149414,0.06688470840454097
105,-1.35298,-1.4098828,"('conventional', 'modern')",-1.1081593,-0.8112272,-0.5203739,-0.6052388,-0.6890665,-0.6802995,-0.77735245,-0.78339285,-0.889586353302002,-0.8580081939697266,0.03157815933227537
80,1.3335929,1.0258232,"('independent', 'dependent')",0.70096046,0.8918854,0.35471374,0.41307446,1.5792971,1.4384732,1.413011,1.2279449,1.0763150215148927,0.9994401931762695,-0.07687482833862314
88,1.3030449,1.3638582,"('impulsive', 'meek')",1.7092361,1.6171185,1.0969106,0.9630625,-0.028977498,0.21786481,1.7268286,1.7561195,1.1614085197448731,1.183604621887207,0.022196102142333807
64,-1.2913623,-1.3977954,"('clever', 'incompetent')",-0.8546387,-0.8584427,-1.3888204,-1.2064309,0.24882379,0.0067325085,-0.8080075,-0.90020484,-0.8188009262084961,-0.8712283134460449,-0.052427387237548806
90,1.2500169,0.72966856,"('motivated', 'unmotivated')",0.29616502,0.0697307,0.0023189783,-0.39748672,1.2994239,1.1305645,1.1884143,0.8682842,0.8072677612304687,0.48015222549438474,-0.327115535736084
10,-1.2079592,-0.88129026,"('affectionate', 'unaffectionate')",-0.4762227,-0.6255503,-0.18619193,-0.14431787,-1.2320448,-0.936939,-0.8077186,-0.5886543,-0.7820274353027343,-0.6353503704071045,0.14667706489562982
2,-1.1795201,-1.1796856,"('friendly', 'unfriendly')",-0.5280374,-0.41137904,-0.9851281,-0.68479824,0.5200093,0.50885063,-1.0593194,-1.1071498,-0.6463991165161133,-0.5748324394226074,0.07156667709350584
55,-1.1775882,-1.0418587,"('intelligent', 'unintelligent')",-0.2127519,-0.37715444,-0.42337245,-0.36233056,-0.36720592,-0.24869989,-0.38401902,-0.29666188,-0.5129875183105469,-0.46534109115600586,0.04764642715454104
82,1.1503592,1.3067074,"('industrious', 'meek')",1.1905928,1.2586536,1.3268371,1.2311803,-0.13405257,0.19046864,0.7177563,0.80584574,0.8502985000610351,0.9585710525512695,0.10827255249023438
65,-1.1042881,-1.1994574,"('practical', 'impractical')",-0.6924291,-0.74457407,-1.7059805,-1.7051802,-1.1288252,-1.2911882,-2.4160361,-2.4671054,-1.4095118522644043,-1.4815011024475098,-0.07198925018310542
68,-1.0827525,-1.2700348,"('clever', 'inept')",-0.4937332,-0.7336796,-0.95885164,-1.2028756,-0.75959957,-0.9734294,-0.4895923,-0.6943763,-0.7569057941436768,-0.9748791694641114,-0.2179733753204346
9,-1.0762811,-1.2709389,"('sensitive', 'insensitive')",-0.89169854,-0.9234469,-1.0783403,-1.1104263,-0.1966746,-0.5535475,-1.2893528,-1.4092629,-0.9064694404602051,-1.0535243988037108,-0.1470549583435058
100,-1.0524216,-0.8205702,"('influential', 'uninfluential')",-0.94136053,-0.7809183,-1.1524792,-1.0277016,-0.62527955,-0.3608376,-1.5250447,-1.1469688,-1.0593170166015624,-0.8273992538452148,0.23191776275634757
63,-1.0405816,-1.0357032,"('capable', 'incapable')",-0.99209285,-0.93813276,-1.5367336,-1.5149089,-0.11321139,0.067163706,-0.53065455,-0.6711843,-0.842654800415039,-0.8185530662536621,0.024101734161376953
18,-0.99877536,-0.95667994,"('social', 'asocial')",-0.7957493,-0.74457103,-0.8683249,-0.8030361,-0.9726456,-1.0843225,-0.6590699,-0.7895085,-0.8589129447937012,-0.8756236076354981,-0.016710662841796897
61,0.9975381,1.2693589,"('rational', 'irrational')",0.6353286,0.7907096,0.44435033,0.5396443,-0.9274498,-0.50725615,0.43222743,0.6733414,0.31639890670776366,0.5531596183776856,0.2367607116699219
