,leggett_male,leggett_female,tuple,&_male,&_female,platt_male,platt_female,average_male,average_female,female-male
71,2.7095716,2.6463776,"('efficient', 'inefficient')",-0.68018186,-0.549804,0.65628546,-0.071585,0.8952251275380453,0.6749962170918783,-0.220228910446167
76,2.2104688,2.4790144,"('secure', 'insecure')",-0.3842275,0.030869126,0.9159965,0.656185,0.9140792687733968,1.0553561051686604,0.14127683639526356
16,2.146956,2.2681823,"('social', 'antisocial')",0.2795266,0.46477503,1.0815085,0.7028493,1.1693304379781086,1.1452689170837402,-0.024061520894368416
41,-2.0228353,-2.108409,"('incorrupt', 'corrupt')",0.18403721,0.1262362,0.3410114,0.77500963,-0.4992622137069702,-0.40238769849141437,0.09687451521555585
94,2.0108528,2.2393563,"('aggressive', 'submissive')",0.45391607,0.68634987,1.5012913,1.407305,1.3220200538635254,1.4443370501200359,0.12231699625651049
12,1.952244,2.5481625,"('sympathetic', 'unsympathetic')",-0.79287094,-0.35618746,-1.1304566,-1.1951094,0.009638826052347818,0.33228858311971027,0.32264975706736243
15,1.9315963,2.1424696,"('polite', 'impolite')",0.7157667,0.84402835,0.23756595,0.3429358,0.9616429805755615,1.1098112265268962,0.1481682459513347
100,1.8850899,2.1467493,"('influential', 'uninfluential')",-0.7749443,-0.5667411,-0.32091033,-0.27551997,0.26307841142018634,0.4348293940226237,0.17175098260243737
2,1.8219112,2.190096,"('friendly', 'unfriendly')",0.10653454,0.399545,0.20286301,0.04801339,0.7104362646738688,0.8792181015014648,0.16878183682759607
107,1.7851988,2.2103148,"('conventional', 'modern')",0.44311655,0.51828825,0.48927492,0.41052538,0.9058634440104166,1.0463760693868,0.14051262537638343
55,1.7710041,1.9463233,"('intelligent', 'unintelligent')",-0.23286712,0.08165854,-0.36972046,-0.42917192,0.38947216669718426,0.5329366127649943,0.14346444606781
5,1.7465713,1.8084977,"('pleasant', 'repellent')",0.30515563,0.32166058,0.6741494,0.47369915,0.9086254437764486,0.8679524262746176,-0.040673017501831055
