,brown_male,brown_female,tuple,forman_male,forman_female,average_male,average_female,female-male
75,6.750354,6.744108,"('confident', 'shy')",3.2712035,3.096119,5.010778427124023,4.920113563537598,-0.09066486358642578
27,-5.849992,-5.5882525,"('sincere', 'insincere')",-1.64573,-1.4252264,-3.747860908508301,-3.506739616394043,0.2411212921142578
6,5.6679034,5.3743668,"('liked', 'disliked')",1.6266221,1.5992453,3.6472628116607666,3.4868059158325195,-0.16045689582824707
95,-5.016618,-5.00531,"('rich', 'poor')",-1.3037692,-1.4201349,-3.16019344329834,-3.2127225399017334,-0.052529096603393555
53,-4.6627474,-4.5603623,"('smart', 'stupid')",-1.9193456,-2.0221272,-3.291046619415283,-3.2912447452545166,-0.00019812583923339844
40,-4.095717,-4.249402,"('honorable', 'mean')",-1.88974,-2.1203613,-2.9927284717559814,-3.1848816871643066,-0.1921532154083252
86,3.7797647,3.592976,"('self-reliant', 'helpless')",-0.24232833,-0.23273352,1.7687181234359741,1.6801213026046753,-0.08859682083129883
13,-2.6323931,-2.2980323,"('helpful', 'unhelpful')",-0.16359508,0.03528823,-1.397994041442871,-1.1313719749450684,0.26662206649780273
37,2.1817198,1.97143,"('good', 'evil')",0.44879472,0.2903277,1.3152573108673096,1.1308788061141968,-0.1843785047531128
48,2.1502924,2.0668316,"('reliable', 'unreliable')",0.22050992,0.37494212,1.185401201248169,1.2208868265151978,0.03548562526702881
3,2.1344588,2.0300078,"('likable', 'unlikable')",0.76146454,1.0340834,1.447961688041687,1.532045602798462,0.0840839147567749
32,-2.1067858,-1.7827415,"('benevolent', 'hardhearted')",-0.9270295,-1.3546219,-1.5169076919555664,-1.5686817169189453,-0.051774024963378906
11,-2.1056774,-2.1037736,"('caring', 'unaffectionate')",-0.17390767,0.08560972,-1.139792561531067,-1.0090819597244263,0.13071060180664062
50,2.0910974,1.8727632,"('unprejudiced', 'prejudiced')",0.5367777,0.30563673,1.3139375448226929,1.0891999006271362,-0.22473764419555664
58,-2.0706143,-1.8656129,"('able', 'clumsy')",-0.5573255,-0.6772951,-1.3139698505401611,-1.2714539766311646,0.04251587390899658
28,-1.9790244,-1.8232107,"('honest', 'dishonest')",-0.09772605,0.06178361,-1.0383752584457397,-0.8807135820388794,0.15766167640686035
46,1.866379,2.0680094,"('generous', 'stingy')",0.03191057,0.053814888,0.9491447806358337,1.0609121322631836,0.11176735162734985
34,-1.7783239,-1.4228983,"('loyal', 'disloyal')",-0.5905001,-0.3520431,-1.1844120025634766,-0.8874707221984863,0.29694128036499023
