,bath_male,bath_female,tuple,&_male,&_female,body_male,body_female,works_male,works_female,average_male,average_female,female-male
75,5.295589,5.3401074,"('confident', 'shy')",4.0087137,4.0352073,5.6216,4.687546,0.78477335,0.652713,3.927669048309326,3.6788933277130127,-0.24877572059631348
53,-4.236921,-4.257578,"('smart', 'stupid')",-2.785178,-2.6608834,-4.237024,-3.9564633,-0.8450173,-1.2059166,-3.0260350704193115,-3.0202102661132812,0.0058248043060302734
95,-4.007732,-4.2849245,"('rich', 'poor')",-4.6163955,-4.796937,-5.1072493,-4.959859,-0.4444033,-0.2892705,-3.543945074081421,-3.5827476978302,-0.0388026237487793
27,-3.979819,-4.05129,"('sincere', 'insincere')",-4.1355467,-3.9827933,-7.1596212,-6.6878576,-2.0412765,-1.9790504,-4.329065799713135,-4.175247669219971,0.15381813049316406
6,3.4830613,3.737519,"('liked', 'disliked')",4.5879793,4.393346,5.316842,4.7818623,-0.41856807,-0.43862852,3.2423288822174072,3.1185247898101807,-0.12380409240722656
40,-3.3166788,-3.4573226,"('honorable', 'mean')",-3.1803021,-3.355461,-5.2851744,-5.08726,-0.76444364,-0.64872116,-3.1366496086120605,-3.1371910572052,-0.0005414485931396484
50,2.2804956,2.1876273,"('unprejudiced', 'prejudiced')",2.6318374,2.5001001,1.3445756,1.1106075,1.7346478,1.5721852,1.9978890419006348,1.8426300287246704,-0.15525901317596436
32,-2.214754,-2.0433826,"('benevolent', 'hardhearted')",-1.297818,-0.9707644,-0.77222955,-0.24457793,0.058933064,-0.11553644,-1.056467056274414,-0.8435653448104858,0.21290171146392822
86,2.1674762,2.2576551,"('self-reliant', 'helpless')",3.6254056,3.315715,2.2875881,1.752842,0.21002573,-0.002760157,2.0726239681243896,1.8308629989624023,-0.2417609691619873
1,-2.1494339,-1.969737,"('friendly', 'unfriendly')",-1.8073549,-1.9302442,-1.4081422,-1.324789,-0.9204481,-1.1283944,-1.5713448524475098,-1.5882911682128906,-0.01694631576538086
11,-1.8826885,-1.7455918,"('caring', 'unaffectionate')",-0.93532413,-0.9677944,-1.328902,-1.0764195,-0.37377563,-0.8393873,-1.1301724910736084,-1.15729820728302,-0.02712571620941162
28,-1.8753467,-1.856138,"('honest', 'dishonest')",-2.4815605,-2.3089046,-2.3642986,-2.2210445,-0.76257616,-0.9904232,-1.8709454536437988,-1.8441276550292969,0.026817798614501953
109,1.8175735,1.8853273,"('conservative', 'liberal')",1.8477361,2.2259586,-0.5578609,-0.69845235,0.20296344,0.7376909,0.8276030421257019,1.0376311540603638,0.21002811193466187
108,1.8175735,1.8853273,"('conservative', 'liberal')",1.8477361,2.2259586,-0.5578609,-0.69845235,0.20296344,0.7376909,0.8276030421257019,1.0376311540603638,0.21002811193466187
