,s_male,s_female,tuple,l_male,l_female,green_male,green_female,realty_male,realty_female,average_male,average_female,female-male
75,5.306943,4.9115763,"('confident', 'shy')",5.876917,5.643106,5.4979973,5.8101873,2.567288,2.3398051,4.812286376953125,4.676168441772461,-0.13611793518066406
6,4.6264877,4.369958,"('liked', 'disliked')",6.176353,5.979025,3.4954982,4.279936,1.0400002,0.83722603,3.834584951400757,3.8665361404418945,0.031951189041137695
95,-4.2485275,-4.228273,"('rich', 'poor')",-5.230052,-5.2983265,-3.4411786,-4.0278125,-1.638322,-1.5890195,-3.6395199298858643,-3.785858154296875,-0.14633822441101074
27,-4.1657896,-4.023628,"('sincere', 'insincere')",-5.2741184,-5.1680517,-4.479603,-5.24461,-2.283391,-1.9823153,-4.05072546005249,-4.10465145111084,-0.05392599105834961
40,-3.3526883,-3.2774196,"('honorable', 'mean')",-4.4328017,-4.472724,-3.906272,-4.6912394,-2.328883,-2.4018722,-3.5051612854003906,-3.7108139991760254,-0.20565271377563477
53,-3.2103395,-2.7610483,"('smart', 'stupid')",-4.1533704,-3.9763217,-3.553926,-4.2692146,-1.9605024,-1.8672638,-3.2195346355438232,-3.2184619903564453,0.0010726451873779297
86,2.787622,2.6231627,"('self-reliant', 'helpless')",3.2429507,3.1274862,2.8797529,2.88272,0.11160003,0.034199238,2.255481481552124,2.1668920516967773,-0.08858942985534668
87,-2.2072513,-1.851409,"('dedicated', 'undedicated')",-1.6670206,-1.308939,-0.23105794,-0.45952085,0.16107309,0.3721897,-0.9860641956329346,-0.8119197487831116,0.174144446849823
38,-2.1178288,-1.7184348,"('kind', 'unkind')",-2.2828374,-2.063667,-1.2219287,-1.6722709,-0.8801061,-0.49605748,-1.6256752014160156,-1.4876075983047485,0.1380676031112671
13,-2.0524375,-2.435584,"('helpful', 'unhelpful')",-2.4383032,-2.4094083,-2.791346,-3.1542652,-1.4099225,-1.208854,-2.173002243041992,-2.302027940750122,-0.12902569770812988
50,2.0029101,1.546516,"('unprejudiced', 'prejudiced')",2.600741,2.3944726,1.9736686,1.9591072,0.050560772,-0.23602346,1.6569701433181763,1.4160181283950806,-0.2409520149230957
78,1.9804981,1.9224925,"('active', 'inactive')",1.7749135,1.3564447,2.0260763,1.9195251,1.1834202,0.6317724,1.7412270307540894,1.4575587511062622,-0.28366827964782715
34,-1.95861,-1.5504031,"('loyal', 'disloyal')",-1.734195,-1.4197459,-1.6229666,-1.388052,-0.18764226,0.21167268,-1.375853419303894,-1.0366320610046387,0.33922135829925537
81,1.8059484,1.7236845,"('industrious', 'lazy')",1.8214375,1.7725122,2.0272317,1.9287243,-0.72134113,-1.121117,1.2333190441131592,1.0759509801864624,-0.15736806392669678
3,1.7380717,1.5020833,"('likable', 'unlikable')",1.5354912,1.5297261,0.7971115,0.9756783,0.1075585,0.033218693,1.0445582866668701,1.010176658630371,-0.03438162803649902
33,-1.7062128,-1.4781152,"('softhearted', 'hardhearted')",-1.6050193,-1.5331532,-0.9135848,-0.7886828,0.36289978,0.26921707,-0.9654792547225952,-0.882683515548706,0.08279573917388916
1,-1.6254693,-1.2045774,"('friendly', 'unfriendly')",-1.302257,-1.2362082,-1.2090898,-0.8512062,0.06664625,0.12697896,-1.0175424814224243,-0.7912532091140747,0.2262892723083496
12,-1.6161723,-1.5258291,"('sympathetic', 'unsympathetic')",-2.5343678,-2.3563232,-1.9196118,-2.041386,0.7312201,1.0213859,-1.334733009338379,-1.2255380153656006,0.10919499397277832
25,-1.5380639,-1.3879553,"('moral', 'immoral')",-1.5355461,-1.4478313,-0.36583686,-1.2687833,-0.19231248,0.08382666,-0.9079397916793823,-1.005185842514038,-0.09724605083465576
58,-1.5277407,-1.234221,"('able', 'clumsy')",-2.3154016,-2.2615252,-1.2459108,-1.4257061,0.049152613,0.29757398,-1.2599751949310303,-1.1559696197509766,0.10400557518005371
65,-1.5140071,-1.4881842,"('practical', 'impractical')",-1.4786016,-1.3818859,-1.7027481,-2.3144324,-1.179863,-0.9216487,-1.4688048362731934,-1.5265377759933472,-0.05773293972015381
48,1.4944011,1.3647536,"('reliable', 'unreliable')",2.0128453,1.8266108,1.3039082,1.4974577,0.45879626,0.37287486,1.3174877166748047,1.265424132347107,-0.052063584327697754
46,1.4678637,1.7226073,"('generous', 'stingy')",1.580724,1.6059886,1.8467546,2.4859378,1.4674238,1.3074276,1.5906915664672852,1.7804903984069824,0.18979883193969727
11,-1.4087851,-1.4143167,"('caring', 'unaffectionate')",-1.8511542,-1.9475758,-1.809912,-1.9320726,-0.51225245,-0.4978308,-1.3955258131027222,-1.4479490518569946,-0.05242323875427246
35,1.396543,1.6328251,"('fair', 'unfair')",0.8197607,1.1033924,0.03560084,0.20205286,0.79886353,0.6737608,0.7626920938491821,0.9030077457427979,0.14031565189361572
24,-1.3829374,-1.0389155,"('thoughtful', 'rough')",-0.8161995,-0.536121,-0.44605163,-0.64571303,-0.4712937,-0.46902108,-0.7791205644607544,-0.6724426746368408,0.10667788982391357
