,viacom_male,viacom_female,tuple,inc_male,inc_female,new_male,new_female,average_male,average_female,female-male
75,2.8588343,2.662529,"('confident', 'shy')",7.114957,7.069081,4.247345,4.725128,4.740378697713216,4.818912506103516,0.07853380839029978
107,2.232562,1.9491396,"('conventional', 'modern')",0.8527969,0.9750705,1.0958123,1.6039909,1.3937238057454426,1.5094003677368164,0.11567656199137377
48,2.172336,1.675735,"('reliable', 'unreliable')",2.8818831,2.660874,1.1541629,1.1235613,2.06946070988973,1.8200567563374836,-0.24940395355224632
99,-1.8434325,-1.7190979,"('prestigious', 'insignificant')",-0.7684872,-0.946124,0.7842057,0.64763576,-0.609238068262736,-0.6725287437438965,-0.06329067548116052
94,1.8385051,1.6548864,"('aggressive', 'submissive')",0.718829,0.68567276,-0.6174553,-0.32319823,0.6466263135274252,0.6724535624186198,0.025827248891194587
95,-1.8003297,-2.0473533,"('rich', 'poor')",-5.305249,-5.3836365,-2.7676091,-3.1545284,-3.291062672932943,-3.5285059611002603,-0.2374432881673174
52,1.7833183,1.5687106,"('competitive', 'uncompetitive')",0.38248724,0.41615582,-0.82447207,-0.5201275,0.44711116949717206,0.48824628194173175,0.041135112444559696
53,-1.6723707,-1.7032933,"('smart', 'stupid')",-4.380875,-4.512508,-3.3546703,-3.2368484,-3.135972023010254,-3.150883356730143,-0.014911333719889175
66,1.6490492,1.6306858,"('imaginative', 'unimaginative')",2.4963121,2.4620016,0.34587073,0.7209271,1.4970773061116536,1.6045382817586262,0.10746097564697266
1,-1.6325145,-1.1540132,"('friendly', 'unfriendly')",-1.2462616,-1.0772927,0.03334117,0.025989413,-0.9484783013661703,-0.7351055145263672,0.2133727868398031
6,1.6061351,1.7679064,"('liked', 'disliked')",5.677591,5.5762877,3.2574773,3.5818095,3.5137341817220054,3.642001469930013,0.1282672882080078
40,-1.5544257,-1.7111291,"('honorable', 'mean')",-6.058753,-6.130642,-2.9068136,-3.3330858,-3.506664276123047,-3.7249523798624673,-0.21828810373942042
12,1.5398257,1.423701,"('sympathetic', 'unsympathetic')",-0.5738509,-0.48446804,-1.2802973,-1.1208498,-0.10477417707443237,-0.06053894758224487,0.0442352294921875
15,1.5149171,1.5298793,"('polite', 'impolite')",1.210203,1.3912718,-0.60293305,-0.018667951,0.7073957125345866,0.9674944082895914,0.2600986957550049
31,-1.4705744,-1.1808928,"('altruistic', 'egoistic')",-0.93047774,-0.76679194,0.63122517,0.40067068,-0.5899422963460287,-0.5156713724136353,0.07427092393239343
104,-1.4510957,-0.8982546,"('conventional', 'unconventional')",-0.620734,-0.5084797,0.09214801,-0.08103579,-0.6598939100901285,-0.49592336018880206,0.16397054990132648
32,-1.3619367,-1.0977026,"('benevolent', 'hardhearted')",-1.3800055,-1.1813879,-0.5565795,-0.20947967,-1.099507172902425,-0.8295233249664307,0.2699838479359944
8,-1.3367441,-1.1898967,"('open', 'distant')",0.60052794,0.34504873,1.1676544,0.7915691,0.1438127557436625,-0.017759621143341064,-0.16157237688700357
3,1.3348321,1.3002684,"('likable', 'unlikable')",2.201161,2.1894653,1.4871099,1.6269121,1.6743675867716472,1.705548604329427,0.0311810175577798
39,-1.3228388,-1.189635,"('right', 'wrong')",0.47954395,0.5493243,0.26922962,0.41019645,-0.19135506947835287,-0.07670477032661438,0.1146502991517385
83,1.3132961,1.1313798,"('energetic', 'lethargic')",-0.19563791,-0.2720304,-0.80170095,-0.6726756,0.10531906286875407,0.06222460667292277,-0.043094456195831306
89,1.2959415,0.99347603,"('daring', 'anxious')",-0.24680209,-0.25916708,-1.1694336,-1.3868266,-0.04009807109832764,-0.2175058921178182,-0.17740782101949057
2,1.2614586,1.2247572,"('friendly', 'unfriendly')",-0.308474,-0.26902443,-1.6722184,-1.4798024,-0.23974460363388062,-0.17468986908594766,0.06505473454793295
16,1.2325134,1.2840728,"('social', 'antisocial')",0.5543021,0.54720175,-0.8021402,-0.50254613,0.32822511593500775,0.44290947914123535,0.1146843632062276
51,1.2101328,1.0266644,"('competent', 'incompetent')",0.58854914,0.5889384,0.07464939,0.2558064,0.624443769454956,0.6238030592600504,-0.000640710194905636
69,-1.2005475,-1.087668,"('wise', 'foolish')",0.12908188,-0.020111531,0.5438058,0.65526724,-0.17588661114374796,-0.15083742141723633,0.025049189726511628
76,1.1370977,1.2404622,"('secure', 'insecure')",0.83827037,0.84754825,-0.46814716,-0.3669712,0.5024069547653198,0.5736796855926514,0.07127273082733154
27,-1.1187553,-1.0328137,"('sincere', 'insincere')",-5.9644923,-5.753437,-4.0693674,-4.2187166,-3.7175381978352866,-3.6683222452799478,0.04921595255533884
61,-1.1145781,-0.7761545,"('rational', 'irrational')",1.1500916,1.084322,1.4804657,1.715029,0.5053263902664185,0.6743988196055094,0.16907242933909095
7,-1.109434,-1.0626295,"('outgoing', 'distant')",0.7761355,0.5116445,0.8801502,0.5827791,0.18228389819463095,0.01059804360071818,-0.17168585459391278
5,1.0824895,0.9929286,"('pleasant', 'repellent')",-0.71238893,-0.63735604,-0.097297505,-0.30082503,0.09093435605367024,0.018249183893203735,-0.07268517216046651
