,raytheon_male,raytheon_female,tuple,technologies_male,technologies_female,average_male,average_female,female-male
107,3.0366602,3.102006,"('conventional', 'modern')",1.4447546,1.5586389,2.2407073974609375,2.330322504043579,0.0896151065826416
99,-2.9590893,-3.0772598,"('prestigious', 'insignificant')",-0.35752785,-0.3100003,-1.658308506011963,-1.6936299800872803,-0.03532147407531738
94,2.615203,2.789572,"('aggressive', 'submissive')",-0.98185426,-0.8404175,0.8166743516921997,0.9745772480964661,0.15790289640426636
12,2.5624702,2.8152587,"('sympathetic', 'unsympathetic')",-1.2327673,-1.055238,0.6648514270782471,0.8800103664398193,0.21515893936157227
75,2.4524693,2.4494896,"('confident', 'shy')",4.972452,4.929523,3.71246075630188,3.6895062923431396,-0.022954463958740234
81,-2.4307077,-2.7472289,"('industrious', 'lazy')",1.0065084,0.82611406,-0.7120996713638306,-0.9605574011802673,-0.24845772981643677
16,2.3706465,2.4924417,"('social', 'antisocial')",-1.3839964,-1.1536276,0.49332505464553833,0.6694070100784302,0.17608195543289185
15,2.3382404,2.4145112,"('polite', 'impolite')",0.21999404,0.43981567,1.279117226600647,1.4271634817123413,0.14804625511169434
82,-2.2951703,-2.5813365,"('industrious', 'meek')",-0.4926928,-0.5030038,-1.39393150806427,-1.5421701669692993,-0.1482386589050293
98,-2.0675848,-2.089261,"('prestigious', 'insignificant')",0.3777885,0.3903942,-0.8448981046676636,-0.849433422088623,-0.004535317420959473
2,2.0667038,2.2611783,"('friendly', 'unfriendly')",-1.3641971,-1.0615848,0.35125333070755005,0.599796712398529,0.248543381690979
31,-2.0597444,-2.3667848,"('altruistic', 'egoistic')",-0.31132698,-0.22351807,-1.1855356693267822,-1.2951514720916748,-0.10961580276489258
109,2.0553424,2.0001528,"('conservative', 'liberal')",0.11194508,0.051690623,1.0836437940597534,1.0259217023849487,-0.05772209167480469
108,2.0553424,2.0001528,"('conservative', 'liberal')",0.11194508,0.051690623,1.0836437940597534,1.0259217023849487,-0.05772209167480469
1,-2.0387163,-1.861364,"('friendly', 'unfriendly')",-0.5343572,-0.42838103,-1.286536693572998,-1.1448725461959839,0.14166414737701416
41,-2.0286894,-2.1292653,"('incorrupt', 'corrupt')",1.8122562,1.7539196,-0.10821658372879028,-0.18767285346984863,-0.07945626974105835
89,1.9321163,1.8872799,"('daring', 'anxious')",-1.1028645,-0.9501105,0.414625883102417,0.46858468651771545,0.05395880341529846
