,charles_male,charles_female,tuple,river_male,river_female,labs_male,labs_female,intl_male,intl_female,average_male,average_female,female-male
75,6.7869673,6.849746,"('confident', 'shy')",4.1755238,4.3878016,5.415601,5.5651455,4.7334223,4.718852,5.277878761291504,5.3803863525390625,0.1025075912475586
27,-5.9582253,-5.7152753,"('sincere', 'insincere')",-4.816038,-5.1234407,-5.551574,-5.7423277,-2.0892222,-1.8426467,-4.60376501083374,-4.605922698974609,-0.0021576881408691406
6,5.83364,5.7894177,"('liked', 'disliked')",3.38511,4.035119,4.7046943,4.845396,2.762006,2.6580708,4.17136287689209,4.332001209259033,0.16063833236694336
95,-5.408721,-5.4601007,"('rich', 'poor')",-3.647771,-3.9049768,-5.4077997,-5.5848317,-3.263465,-3.2528734,-4.431939125061035,-4.550695419311523,-0.11875629425048828
53,-4.7808437,-4.9060526,"('smart', 'stupid')",-2.5344768,-3.0277114,-3.7954822,-4.3145895,-2.268868,-2.125273,-3.3449177742004395,-3.5934066772460938,-0.2484889030456543
40,-4.596813,-4.7449217,"('honorable', 'mean')",-2.8019323,-3.2213383,-4.4098334,-4.7354307,-3.0077095,-3.0984375,-3.7040719985961914,-3.9500319957733154,-0.24595999717712402
86,2.6464648,2.4658723,"('self-reliant', 'helpless')",2.2814465,2.3555408,3.1220489,3.0356967,1.4739473,1.3433073,2.380976915359497,2.3001043796539307,-0.0808725357055664
48,2.611448,2.5170147,"('reliable', 'unreliable')",1.0071493,1.1413798,2.3615642,2.464745,1.2997459,1.3493757,1.8199769258499146,1.868128776550293,0.04815185070037842
3,2.5206304,2.6148782,"('likable', 'unlikable')",0.086646274,0.23373976,1.3148782,1.3365545,1.0364754,1.0312948,1.2396576404571533,1.3041168451309204,0.06445920467376709
66,2.328301,2.440617,"('imaginative', 'unimaginative')",1.1590898,1.1755745,1.4980855,1.6202152,1.5942949,1.8515929,1.6449428796768188,1.7719999551773071,0.12705707550048828
13,-1.9537764,-1.6440241,"('helpful', 'unhelpful')",-3.7538161,-3.7476907,-3.5170748,-3.2817974,-0.38611156,-0.09573203,-2.4026947021484375,-2.1923110485076904,0.21038365364074707
78,1.8846278,1.3044559,"('active', 'inactive')",2.1670053,1.7575378,1.1562812,0.6795078,1.0169973,0.6015024,1.5562279224395752,1.085750937461853,-0.47047698497772217
34,-1.8632625,-1.6420586,"('loyal', 'disloyal')",-1.9796674,-1.5915108,-1.6039149,-1.4374248,-0.18328357,0.12278307,-1.407531976699829,-1.1370527744293213,0.2704792022705078
32,-1.75525,-1.679985,"('benevolent', 'hardhearted')",-0.3945173,-0.3555175,-1.3821536,-1.129503,-1.1466358,-0.9004085,-1.1696391105651855,-1.0163534879684448,0.15328562259674072
11,-1.7118372,-1.7224005,"('caring', 'unaffectionate')",-1.5072225,-1.835161,-1.8295557,-2.1154256,0.32268465,0.3955443,-1.1814826726913452,-1.3193607330322266,-0.13787806034088135
46,1.7029412,1.562567,"('generous', 'stingy')",1.8619864,1.6624181,1.871459,1.7163308,1.141415,1.0539424,1.6444504261016846,1.498814582824707,-0.14563584327697754
38,-1.6871524,-0.91786957,"('kind', 'unkind')",-2.2986429,-1.9304974,-2.0603685,-1.7537259,-0.928801,-0.5438232,-1.7437411546707153,-1.2864789962768555,0.45726215839385986
50,1.6643987,1.5209254,"('unprejudiced', 'prejudiced')",2.282631,2.3943133,1.8049588,1.8436294,0.98303276,0.84635925,1.6837552785873413,1.6513068675994873,-0.032448410987854004
58,-1.6004388,-1.4765017,"('able', 'clumsy')",-1.2091895,-1.1465695,-0.9936371,-0.71043557,-0.18721762,0.075292334,-0.9976208209991455,-0.8145536184310913,0.1830672025680542
37,1.5773354,1.2173963,"('good', 'evil')",2.7309308,2.4518785,1.8696195,1.6442826,0.2786243,0.13205436,1.6141273975372314,1.361402988433838,-0.25272440910339355
63,-1.4951525,-1.5247068,"('capable', 'incapable')",-0.90295064,-0.7260138,-1.2516787,-1.4228301,-0.78252316,-0.8033749,-1.1080763339996338,-1.1192313432693481,-0.011155009269714355
14,1.4524788,1.4498191,"('supportive', 'unsupportive')",-0.06301962,-0.27773052,0.69389,0.588664,1.83121,1.8271277,0.9786398410797119,0.8969700932502747,-0.08166974782943726
81,1.4026619,1.219202,"('industrious', 'lazy')",1.9504625,1.729492,1.7967608,1.5495423,-0.3653131,-0.573463,1.1961430311203003,0.9811933040618896,-0.21494972705841064
28,-1.2861487,-1.119207,"('honest', 'dishonest')",-1.6570631,-1.8367333,-1.5010976,-1.7334106,-0.5950117,-0.42793107,-1.2598302364349365,-1.279320478439331,-0.01949024200439453
87,-1.282432,-0.8470303,"('dedicated', 'undedicated')",-0.9769924,-1.0241454,-0.63772213,-0.42609742,-0.65596294,-0.48894113,-0.8882774114608765,-0.6965535879135132,0.19172382354736328
24,-1.2477033,-1.205194,"('thoughtful', 'rough')",0.1646304,-0.041225508,-0.59872574,-0.38700214,-0.8976316,-0.66396165,-0.6448575854301453,-0.5743458271026611,0.07051175832748413
36,-1.2006924,-1.1808702,"('tolerant', 'intolerant')",-0.8234209,-0.9839536,-1.7078412,-1.5869148,0.079058856,0.23709518,-0.9132238626480103,-0.8786608576774597,0.03456300497055054
90,1.1973433,1.0457727,"('motivated', 'unmotivated')",0.3817193,0.29073143,0.8049991,0.7463819,0.66308516,0.6155364,0.7617867588996887,0.6746056079864502,-0.08718115091323853
