,wells_male,wells_female,tuple,fargo_male,fargo_female,&_male,&_female,co_male,co_female,new_male,new_female,average_male,average_female,female-male
75,5.219381,5.0932217,"('confident', 'shy')",5.80315,5.3944216,4.0087137,4.0352073,5.673871,5.3735704,4.247345,4.725128,4.990492248535157,4.924309539794922,-0.06618270874023491
27,-3.4949603,-3.3231492,"('sincere', 'insincere')",-4.27243,-4.107809,-4.1355467,-3.9827933,-4.9638863,-5.0146914,-4.0693674,-4.2187166,-4.187238311767578,-4.129431915283203,0.05780639648437447
40,-3.2939405,-3.3359735,"('honorable', 'mean')",-4.324975,-4.2729397,-3.1803021,-3.355461,-4.2676973,-4.659159,-2.9068136,-3.3330858,-3.594745635986328,-3.7913238525390627,-0.19657821655273455
1,-3.229916,-3.1467166,"('friendly', 'unfriendly')",-2.3506932,-2.0282488,-1.8073549,-1.9302442,-1.2031499,-0.6780352,0.03334117,0.025989413,-1.7115545272827148,-1.5514510154724122,0.1601035118103027
109,2.9917958,3.1328669,"('conservative', 'liberal')",2.3113039,2.1197772,1.8477361,2.2259586,0.1746393,-0.0049630105,-1.097023,-1.0688727,1.2456904411315919,1.2809534072875977,0.03526296615600577
108,2.9917958,3.1328669,"('conservative', 'liberal')",2.3113039,2.1197772,1.8477361,2.2259586,0.1746393,-0.0049630105,-1.097023,-1.0688727,1.2456904411315919,1.2809534072875977,0.03526296615600577
53,-2.9360209,-3.0406203,"('smart', 'stupid')",-3.6913075,-3.470327,-2.785178,-2.6608834,-4.3112946,-4.362272,-3.3546703,-3.2368484,-3.4156940460205076,-3.354190444946289,0.061503601074218484
95,-2.84484,-2.882366,"('rich', 'poor')",-3.7654364,-3.576178,-4.6163955,-4.796937,-5.0380754,-4.956311,-2.7676091,-3.1545284,-3.806471252441406,-3.873263931274414,-0.06679267883300799
99,-2.3616538,-2.1613107,"('prestigious', 'insignificant')",-0.5900691,-0.28791106,-0.7048128,-1.1830682,0.28756195,0.29070893,0.7842057,0.64763576,-0.5169536113739014,-0.5387890338897705,-0.02183542251586912
32,-2.355377,-2.3210783,"('benevolent', 'hardhearted')",-2.6769853,-2.2828715,-1.297818,-0.9707644,-1.6258562,-1.2549678,-0.5565795,-0.20947967,-1.7025232315063477,-1.4078322410583497,0.29469099044799796
71,2.3244925,2.1197312,"('efficient', 'inefficient')",1.0762281,0.74635434,-0.68018186,-0.549804,0.12029785,-0.35978144,-1.2771156,-1.4559102,0.3127441883087158,0.10011796951293946,-0.21262621879577637
104,-2.2472692,-2.0288513,"('conventional', 'unconventional')",-1.9586117,-1.6126907,-0.45263612,-0.33058608,-0.6476408,-0.3523348,0.09214801,-0.08103579,-1.0428020477294921,-0.8810997009277344,0.16170234680175777
94,2.2349927,2.1323152,"('aggressive', 'submissive')",1.5106909,1.3383093,0.45391607,0.68634987,0.04461415,-0.012519062,-0.6174553,-0.32319823,0.7253517627716064,0.76425142288208,0.03889966011047363
33,-2.1607344,-1.8745615,"('softhearted', 'hardhearted')",-1.2789186,-1.1951671,-0.60674417,-0.23359776,-1.0461531,-0.8763834,-0.62816787,-0.6920396,-1.1441436767578126,-0.9743498802185059,0.1697937965393067
107,2.1383421,2.1755831,"('conventional', 'modern')",1.8470998,1.9133886,0.44311655,0.51828825,0.13644336,0.2839453,1.0958123,1.6039909,1.1321627616882324,1.2990391731262207,0.16687641143798837
6,2.1323998,2.259001,"('liked', 'disliked')",4.1398373,3.9590056,4.5879793,4.393346,5.5236793,5.627969,3.2574773,3.5818095,3.9282745361328124,3.9642265319824217,0.035951995849609286
62,-2.1037645,-2.0337942,"('creative', 'uncreative')",-1.4113488,-1.0962111,-2.2511616,-2.446728,-0.6206367,-0.38376272,-0.56264377,-0.6173538,-1.3899110794067382,-1.315570068359375,0.07434101104736324
8,-2.0229106,-1.9822032,"('open', 'distant')",-1.0196121,-0.9440778,-1.4330556,-1.7748258,1.0688896,1.1832762,1.1676544,0.7915691,-0.44780683517456055,-0.5452523231506348,-0.09744548797607422
86,1.9819273,1.984185,"('self-reliant', 'helpless')",2.448204,2.2575417,3.6254056,3.315715,2.2704453,2.383823,1.5905108,1.749958,2.383298873901367,2.33824462890625,-0.04505424499511701
50,1.9454455,1.9269043,"('unprejudiced', 'prejudiced')",2.4247913,2.0673094,2.6318374,2.5001001,1.7768979,1.6130642,1.2686491,1.0383911,2.009524345397949,1.829153823852539,-0.1803705215454101
68,-1.9328138,-1.9278173,"('clever', 'inept')",-0.036452204,-0.30852506,-1.4675927,-1.5158814,-0.52185833,-0.86735165,-0.6454199,-0.8717228,-0.9208273887634277,-1.0982596397399902,-0.17743225097656246
11,-1.8336561,-1.7724113,"('caring', 'unaffectionate')",-2.0037785,-1.8241698,-0.93532413,-0.9677944,-1.0189427,-0.8313039,-0.39734697,-0.45263273,-1.237809658050537,-1.1696624755859375,0.06814718246459961
19,-1.8072953,-1.6862359,"('funny', 'boring')",-1.2482569,-1.1226636,0.20886248,0.038226932,-0.26417708,0.12090409,-0.057115197,0.104435325,-0.6335964202880859,-0.5090665817260742,0.12452983856201172
98,-1.7858493,-1.5245032,"('prestigious', 'insignificant')",-0.58408403,-0.4992501,-1.0710076,-1.416075,-0.015828907,0.08016443,0.27524158,0.15429056,-0.6363056182861329,-0.6410746574401855,-0.00476903915405269
16,1.7459166,1.5026919,"('social', 'antisocial')",2.085919,1.9997746,0.2795266,0.46477503,-0.06470011,-0.22989884,-0.8021402,-0.50254613,0.6489043235778809,0.6469593048095703,-0.0019450187683105469
90,1.6796713,1.547018,"('motivated', 'unmotivated')",1.5355982,1.3051813,0.6029837,0.55173934,0.9453726,0.42759532,-0.115985096,-0.5120882,0.9295282363891602,0.663889217376709,-0.2656390190124511
79,1.6335363,1.472268,"('determined', 'doubtful')",0.25178537,0.25589406,0.8897472,0.8180775,0.79144835,0.7402317,0.31559122,0.37995023,0.7764217376708984,0.733284330368042,-0.04313740730285642
15,1.6245689,1.6522093,"('polite', 'impolite')",1.507582,1.5076792,0.7157667,0.84402835,0.12108457,0.4388826,-0.60293305,-0.018667951,0.6732138633728028,0.8848262786865234,0.21161241531372066
25,1.5290205,1.33058,"('moral', 'immoral')",1.3311526,1.2195592,-0.5495923,-0.42972127,-0.05352913,-0.45489043,-1.4564099,-1.4396524,0.16012840270996093,0.04517498016357422,-0.11495342254638671
31,-1.4689059,-1.455303,"('altruistic', 'egoistic')",-1.4548215,-1.2797227,-0.6022098,-0.7353118,-0.55203587,-0.31674206,0.63122517,0.40067068,-0.6893496513366699,-0.6772817134857178,0.01206793785095217
10,-1.4432253,-1.3873758,"('affectionate', 'unaffectionate')",-1.6650381,-1.357863,0.22535588,0.18459022,-0.36879137,0.20111421,0.7698784,0.8342984,-0.49636411666870117,-0.30504717826843264,0.19131693840026853
