,scripps_male,scripps_female,tuple,networks_male,networks_female,interactive_male,interactive_female,average_male,average_female,female-male
75,3.0461783,2.814328,"('confident', 'shy')",4.021352,4.299849,3.4402921,3.5795689,3.5026073455810547,3.564581871032715,0.061974525451660156
107,2.6332374,2.8210254,"('conventional', 'modern')",1.2894217,1.3464706,2.057067,1.9151236,1.9932419459025066,2.0275397300720215,0.0342977841695149
94,2.4466407,2.4483128,"('aggressive', 'submissive')",0.13735294,0.6830305,0.73397505,0.7312709,1.1059896151224773,1.2875380516052246,0.18154843648274732
99,-2.314056,-2.520745,"('prestigious', 'insignificant')",-1.3501813,-1.2136912,0.09833038,0.18094206,-1.1886356671651204,-1.1844980716705322,0.004137595494588142
104,-2.313015,-2.2422671,"('conventional', 'unconventional')",-1.3058991,-1.1196835,0.12345275,0.3739288,-1.1651538213094075,-0.9960072835286459,0.1691465377807616
15,2.1684766,2.3966048,"('polite', 'impolite')",0.95133394,1.2751278,0.8421786,0.9275309,1.320663054784139,1.5330877304077148,0.21242467562357592
2,2.1671088,2.2586796,"('friendly', 'unfriendly')",-0.31943542,-0.01874113,0.26407158,0.28632042,0.7039149602254232,0.8420863151550293,0.13817135492960608
12,2.0616198,2.1522522,"('sympathetic', 'unsympathetic')",-0.9804929,-0.7462985,-0.227002,-0.28105527,0.28470830122629803,0.3749661445617676,0.09025784333546955
52,1.9460363,1.9632152,"('competitive', 'uncompetitive')",-0.5446612,-0.2833946,-0.7372395,-0.75132555,0.22137852509816489,0.3094983696937561,0.08811984459559122
98,-1.8751488,-2.0854914,"('prestigious', 'insignificant')",-0.058913097,-0.18086506,0.21621013,0.21741128,-0.572617252667745,-0.6829817295074463,-0.1103644768397013
82,-1.8364798,-2.0659106,"('industrious', 'meek')",0.23566115,0.21054566,1.0901705,1.0714837,-0.1702160437901815,-0.2612937291463216,-0.09107768535614011
41,-1.8260268,-1.8453492,"('incorrupt', 'corrupt')",1.2021265,1.0320594,1.256767,1.2831863,0.21095558007558188,0.1566321849822998,-0.05432339509328207
71,1.8166965,1.7281739,"('efficient', 'inefficient')",-1.1973675,-1.1879573,-1.2722307,-1.3576069,-0.21763392289479574,-0.27246344089508057,-0.05482951800028482
31,-1.78738,-2.0126948,"('altruistic', 'egoistic')",-1.1886201,-1.0464871,0.8971796,1.1230551,-0.6929401556650797,-0.6453756093978882,0.04756454626719153
49,1.758399,1.6577001,"('responsible', 'irresponsible')",-0.8913611,-1.0194926,-1.6709859,-1.8953881,-0.2679826815923055,-0.41906023025512695,-0.15107754866282147
16,1.747018,1.9081867,"('social', 'antisocial')",-0.9007497,-0.5355485,0.04035878,0.09863022,0.2955423593521118,0.4904228051503499,0.1948804457982381
8,-1.730125,-1.889573,"('open', 'distant')",0.0009161234,-0.42190903,-0.27457762,-0.540041,-0.6679288546244303,-0.950507640838623,-0.28257878621419275
40,-1.7116978,-1.7774131,"('honorable', 'mean')",-3.9614322,-4.3332133,-2.1521258,-2.604711,-2.608418623606364,-2.9051125844319663,-0.2966939608256025
32,-1.632878,-1.3597225,"('benevolent', 'hardhearted')",-1.6538217,-1.2878383,-0.9203114,-0.74772865,-1.4023370742797852,-1.1317631403605144,0.27057393391927076
81,-1.6037526,-1.94804,"('industrious', 'lazy')",0.8731132,0.6952586,1.3308203,1.1623508,0.20006030797958374,-0.0301435391108195,-0.23020384709040323
109,1.5646181,1.6588751,"('conservative', 'liberal')",0.12907368,0.18285836,-0.44076163,-0.16830626,0.41764338811238605,0.557809074719747,0.1401656866073609
108,1.5646181,1.6588751,"('conservative', 'liberal')",0.12907368,0.18285836,-0.44076163,-0.16830626,0.41764338811238605,0.557809074719747,0.1401656866073609
76,1.5599579,1.8104103,"('secure', 'insecure')",-0.115100294,0.09733218,-0.36734468,-0.19752514,0.35917099316914874,0.5700724522272745,0.2109014590581258
1,-1.5584642,-1.5209854,"('friendly', 'unfriendly')",-2.0195115,-1.831674,-0.45904005,-0.37498674,-1.3456719716389973,-1.2425486246744792,0.10312334696451808
