,apartment_male,apartment_female,tuple,investment_male,investment_female,&_male,&_female,mgmt_male,mgmt_female,average_male,average_female,female-male
27,-6.252347,-6.4665203,"('sincere', 'insincere')",-4.7201033,-4.324464,-4.1355467,-3.9827933,-1.1838826,-1.0794064,-4.072969913482666,-3.9632959365844727,0.10967397689819336
75,6.164091,6.2516456,"('confident', 'shy')",2.9731774,2.6143231,4.0087137,4.0352073,1.6621635,1.995882,3.7020363807678223,3.724264621734619,0.022228240966796875
40,-5.4756126,-5.732736,"('honorable', 'mean')",-3.8367567,-3.915258,-3.1803021,-3.355461,-0.96409386,-1.2479069,-3.3641915321350098,-3.562840461730957,-0.19864892959594727
95,-5.400307,-5.6063814,"('rich', 'poor')",-3.693491,-3.4174309,-4.6163955,-4.796937,-1.9948379,-2.1284041,-3.926257848739624,-3.987288475036621,-0.06103062629699707
6,4.495105,4.825773,"('liked', 'disliked')",3.1273727,2.9102833,4.5879793,4.393346,0.72987497,0.74818385,3.2350828647613525,3.2193965911865234,-0.0156862735748291
53,-3.9406257,-4.204158,"('smart', 'stupid')",-3.4465659,-3.3046274,-2.785178,-2.6608834,-1.4376545,-1.4246151,-2.902506113052368,-2.8985707759857178,0.003935337066650391
13,-3.621546,-3.8420978,"('helpful', 'unhelpful')",-2.7218547,-2.4997828,-1.4792297,-1.5617889,-0.4309669,-0.31553185,-2.06339955329895,-2.054800510406494,0.008599042892456055
86,2.959091,2.940955,"('self-reliant', 'helpless')",1.8261955,1.7118435,3.6254056,3.315715,0.0036275573,0.040769618,2.1035799980163574,2.0023207664489746,-0.10125923156738281
38,-2.9362774,-2.80482,"('kind', 'unkind')",-1.3017987,-1.0711834,-1.8781213,-1.696897,-1.2970362,-1.1346419,-1.8533084392547607,-1.6768856048583984,0.1764228343963623
46,2.8500488,2.9522877,"('generous', 'stingy')",0.69409513,0.5611172,1.1583265,1.4427539,0.9282496,0.90787417,1.4076800346374512,1.466008186340332,0.05832815170288086
37,2.5037184,2.7829785,"('good', 'evil')",1.588146,1.2950875,0.43938786,0.26428354,1.4988452,1.2094766,1.5075243711471558,1.3879565000534058,-0.11956787109375
81,2.361823,2.4563642,"('industrious', 'lazy')",0.23569614,-0.045791984,1.1508373,0.8324736,0.2791242,-0.010392189,1.006870150566101,0.8081633448600769,-0.19870680570602417
58,-2.2582362,-2.149719,"('able', 'clumsy')",-0.96838266,-0.77622634,-1.5622277,-1.5301608,-1.0485284,-1.0830996,-1.459343671798706,-1.3848013877868652,0.07454228401184082
48,2.1951227,2.136271,"('reliable', 'unreliable')",1.5014043,1.2434515,1.5736834,1.3709737,-0.23776083,-0.24025401,1.2581123113632202,1.1276105642318726,-0.13050174713134766
50,2.1432245,2.1349711,"('unprejudiced', 'prejudiced')",0.8810325,0.7637316,2.6318374,2.5001001,0.33086583,0.42187905,1.4967401027679443,1.4551703929901123,-0.04156970977783203
74,-2.1116896,-2.0832875,"('insightful', 'unperceptive')",-1.6301795,-1.5828633,-2.2165906,-2.3376427,-0.13072746,-0.15663528,-1.5222967863082886,-1.540107250213623,-0.017810463905334473
35,2.0551674,2.1981049,"('fair', 'unfair')",0.66166836,0.6227134,0.016712442,-0.0033596903,0.8397728,1.0272611,0.8933302164077759,0.9611798524856567,0.06784963607788086
78,2.0526416,1.9670625,"('active', 'inactive')",0.08379622,-0.31231272,1.0016036,0.7120829,2.29422,1.8720987,1.3580653667449951,1.0597329139709473,-0.29833245277404785
7,2.0183184,1.883876,"('outgoing', 'distant')",-0.7208612,-1.1744939,-0.88669884,-1.2293333,0.59197557,0.28905356,0.2506834864616394,-0.05772441625595093,-0.30840790271759033
34,-2.0153797,-1.9239064,"('loyal', 'disloyal')",-1.5575233,-1.245232,-1.7068768,-1.3924224,-0.61419326,-0.5834148,-1.473493218421936,-1.2862439155578613,0.1872493028640747
29,-1.9183991,-1.9284735,"('honest', 'immoral')",-1.30687,-1.3504297,-2.492492,-2.3022342,0.31324083,0.493581,-1.3511300086975098,-1.271889090538025,0.07924091815948486
65,-1.9009082,-2.14075,"('practical', 'impractical')",-0.9996716,-0.8964329,-0.5269672,-0.39912766,-1.0607629,-0.7341842,-1.122077465057373,-1.0426236391067505,0.07945382595062256
8,1.8963044,1.814507,"('open', 'distant')",-0.5488081,-0.9841908,-1.4330556,-1.7748258,0.53002304,0.110560894,0.11111591756343842,-0.20848718285560608,-0.3196031004190445
41,1.8673488,1.9473002,"('incorrupt', 'corrupt')",1.3872805,1.2366148,0.18403721,0.1262362,0.55324113,0.28384617,0.9979768991470337,0.8984993696212769,-0.09947752952575684
61,1.8084408,2.0408998,"('rational', 'irrational')",0.5544341,0.6154736,0.19487056,0.09538987,-0.84582186,-0.9491168,0.427980899810791,0.45066162943840027,0.022680729627609253
12,-1.8012486,-1.8072468,"('sympathetic', 'unsympathetic')",-1.1694846,-1.1240231,-0.79287094,-0.35618746,0.28997737,0.39519268,-0.8684067130088806,-0.7230662107467651,0.14534050226211548
44,-1.7592998,-1.8130717,"('truthful', 'untruthful')",-1.9686697,-1.9411016,-0.52573866,-0.6208297,-0.21605211,-0.2247943,-1.1174399852752686,-1.149949312210083,-0.03250932693481445
56,1.7165453,1.7455574,"('intelligent', 'dumb')",0.15175052,-0.054219097,0.74053323,0.7549103,0.5698371,0.5317536,0.7946665287017822,0.7445005178451538,-0.05016601085662842
49,-1.6856747,-1.7932302,"('responsible', 'irresponsible')",-1.5930113,-1.5894082,-0.61115694,-0.70318985,0.17768621,0.17075425,-0.9280391931533813,-0.978768527507782,-0.050729334354400635
9,-1.6704865,-1.6807985,"('sensitive', 'insensitive')",-1.4111667,-1.441447,-0.51400375,-0.43757707,0.0039728433,0.09097603,-0.8979210257530212,-0.867211639881134,0.030709385871887207
82,1.567121,1.5965521,"('industrious', 'meek')",-0.98453885,-1.0791885,0.93378353,0.7895844,0.6109994,0.50371444,0.5318412780761719,0.45266562700271606,-0.07917565107345581
88,1.5481782,1.5239959,"('impulsive', 'meek')",0.09981327,-0.043853074,1.1357977,0.689323,0.4148534,0.23339233,0.7996606230735779,0.6007145047187805,-0.19894611835479736
60,-1.5100335,-1.6129073,"('educated', 'uneducated')",-0.006665796,0.15108427,-1.7056144,-1.5260056,0.19001868,0.45954058,-0.7580738067626953,-0.6320720314979553,0.12600177526474
71,-1.4167869,-1.7773135,"('efficient', 'inefficient')",-0.74845207,-0.7336076,-0.68018186,-0.549804,0.031360447,0.38427556,-0.7035151124000549,-0.6691123247146606,0.03440278768539429
63,-1.4064068,-1.4148989,"('capable', 'incapable')",-1.7233334,-1.8386834,-0.80940247,-1.0181079,-0.67630196,-0.7341274,-1.153861165046692,-1.251454472541809,-0.09759330749511719
69,1.3966081,1.4454485,"('wise', 'foolish')",0.04952857,0.058275267,-0.6729833,-0.9875402,-0.9380208,-1.0726506,-0.04121685028076172,-0.13911674916744232,-0.0978998988866806
33,-1.3886273,-1.1642032,"('softhearted', 'hardhearted')",-0.39420396,-0.42515552,-0.60674417,-0.23359776,-0.17707226,-0.28799516,-0.6416619420051575,-0.5277379155158997,0.11392402648925781
36,-1.3755918,-1.6716046,"('tolerant', 'intolerant')",-0.70447314,-0.51027,-0.61836326,-0.68739563,-0.57723355,-0.37287828,-0.8189154267311096,-0.8105371594429016,0.008378267288208008
25,-1.3735166,-1.3487868,"('moral', 'immoral')",-1.5071306,-1.5299188,-0.5495923,-0.42972127,-0.04866326,0.16033855,-0.8697257041931152,-0.787022054195404,0.08270364999771118
66,1.3506835,1.5054389,"('imaginative', 'unimaginative')",0.56025,0.46031356,1.7984312,1.9160259,0.76086956,0.88579637,1.1175585985183716,1.1918936967849731,0.07433509826660156
91,-1.3408006,-1.2553113,"('resilient', 'nonresilient')",-0.5944466,-0.6308763,0.63446367,0.73370516,0.5197444,0.26507312,-0.19525977969169617,-0.22185231745243073,-0.026592537760734558
11,-1.3350133,-1.3336298,"('caring', 'unaffectionate')",-2.1031127,-2.0286374,-0.93532413,-0.9677944,-0.32988518,-0.41587463,-1.175833821296692,-1.1864840984344482,-0.010650277137756348
64,-1.2898672,-1.2790391,"('clever', 'incompetent')",-0.5219465,-0.3343835,-0.2842232,-0.120973915,0.02190815,0.24314994,-0.5185322165489197,-0.3728116750717163,0.14572054147720337
55,-1.2849959,-1.1188717,"('intelligent', 'unintelligent')",-0.50020486,-0.35523698,-0.23286712,0.08165854,0.42886823,0.46588704,-0.3972998857498169,-0.2316407561302185,0.1656591296195984
1,-1.250229,-1.0377591,"('friendly', 'unfriendly')",-1.8243599,-1.8305472,-1.8073549,-1.9302442,-0.36369976,-0.50222147,-1.311410903930664,-1.3251930475234985,-0.013782143592834473
73,-1.2215194,-1.4026616,"('brilliant', 'incompetent')",-1.4920127,-1.5002117,0.13757253,-0.0800339,-0.3595571,-0.26397496,-0.7338791489601135,-0.8117205500602722,-0.07784140110015869
32,-1.1453035,-0.9187222,"('benevolent', 'hardhearted')",-1.6929466,-1.696991,-1.297818,-0.9707644,-0.85343003,-0.9927996,-1.2473745346069336,-1.1448192596435547,0.1025552749633789
104,1.1211007,1.4848853,"('conventional', 'unconventional')",-0.8855274,-0.75488937,-0.45263612,-0.33058608,0.4627736,0.29139495,0.06142769008874893,0.17270120978355408,0.11127351969480515
22,1.0824519,1.1606777,"('welcoming', 'disagreeable')",0.94701624,0.912692,-0.26900083,-0.2040399,0.50038755,0.33012986,0.565213680267334,0.5498648881912231,-0.01534879207611084
107,-1.0653524,-1.1518418,"('conventional', 'modern')",1.2845271,1.4572754,0.44311655,0.51828825,0.17525297,0.3058291,0.20938603579998016,0.28238773345947266,0.07300169765949249
80,1.0636725,0.9623995,"('independent', 'dependent')",1.5323308,1.5121353,0.06652625,0.013384938,0.903526,0.9501637,0.8915138840675354,0.8595209121704102,-0.031992971897125244
0,-1.0550562,-0.87956923,"('sociable', 'unsociable')",-0.27865285,0.028938338,-0.19430423,0.21850747,0.34483722,0.6535291,-0.2957940101623535,0.005351424217224121,0.30114543437957764
28,-1.0395381,-1.143416,"('honest', 'dishonest')",-1.7018586,-1.6332712,-2.4815605,-2.3089046,-0.50526917,-0.28703684,-1.4320566654205322,-1.343157172203064,0.08889949321746826
20,-0.9844909,-0.63654625,"('popular', 'unpopular')",-0.037527256,0.09767843,-0.035845406,-0.20082489,-0.42972666,-0.5569764,-0.37189751863479614,-0.32416725158691406,0.04773026704788208
102,-0.97820175,-0.94743913,"('eminent', 'low')",-0.15376586,-0.047383755,-0.29299122,-0.49591234,-1.5169868,-1.474639,-0.7354863882064819,-0.7413435578346252,-0.0058571696281433105
52,-0.97580135,-1.0493388,"('competitive', 'uncompetitive')",-0.92979276,-0.74993724,-0.019819617,0.035560608,0.18272546,0.37367442,-0.4356720745563507,-0.34751027822494507,0.08816179633140564
83,-0.9681646,-1.082294,"('energetic', 'lethargic')",-0.7545348,-0.7686044,-0.78670347,-0.7935468,-0.068394005,0.06792177,-0.6444491744041443,-0.6441308259963989,0.00031834840774536133
103,0.9616074,0.9916066,"('traditional', 'modern')",1.135232,1.1496401,0.43213966,0.44099018,0.7617344,0.8756292,0.8226783871650696,0.8644665479660034,0.04178816080093384
87,-0.9486541,-1.1277764,"('dedicated', 'undedicated')",-0.2509658,-0.23614573,-1.3853477,-1.4120058,-1.0116146,-1.0640037,-0.8991455435752869,-0.9599829316139221,-0.060837388038635254
93,0.9306435,0.9955605,"('dominating', 'dominated')",-0.2081298,0.011155009,1.3259864,1.607507,0.07057625,0.29980463,0.5297690629959106,0.7285068035125732,0.1987377405166626
96,-0.92875874,-0.9791119,"('powerful', 'powerless')",-1.2377443,-1.1789765,1.6995502,1.6951721,-0.17290607,-0.03930804,-0.15996471047401428,-0.1255561113357544,0.03440859913825989
