,denbury_male,denbury_female,tuple,average_male,average_female,female-male
75,3.141068,3.1461368,"('confident', 'shy')",3.1410679817199707,3.14613676071167,0.005068778991699219
104,-2.092066,-1.6255033,"('conventional', 'unconventional')",-2.0920660495758057,-1.6255033016204834,0.46656274795532227
71,2.0210977,1.4720052,"('efficient', 'inefficient')",2.0210976600646973,1.4720052480697632,-0.5490924119949341
107,1.9971714,1.9929823,"('conventional', 'modern')",1.997171401977539,1.992982268333435,-0.004189133644104004
16,1.9602416,1.3891854,"('social', 'antisocial')",1.9602415561676025,1.3891854286193848,-0.5710561275482178
94,1.8756953,1.6312617,"('aggressive', 'submissive')",1.8756953477859497,1.6312617063522339,-0.24443364143371582
76,1.8416054,1.7130857,"('secure', 'insecure')",1.8416054248809814,1.713085651397705,-0.12851977348327637
40,-1.8387196,-1.8957005,"('honorable', 'mean')",-1.8387196063995361,-1.895700454711914,-0.05698084831237793
90,1.7176304,1.4356875,"('motivated', 'unmotivated')",1.717630386352539,1.43568754196167,-0.28194284439086914
109,1.6761639,1.4840144,"('conservative', 'liberal')",1.676163911819458,1.4840143918991089,-0.19214951992034912
108,1.6761639,1.4840144,"('conservative', 'liberal')",1.676163911819458,1.4840143918991089,-0.19214951992034912
25,1.6428696,1.2412254,"('moral', 'immoral')",1.6428695917129517,1.2412253618240356,-0.401644229888916
99,-1.6181657,-1.2617161,"('prestigious', 'insignificant')",-1.6181657314300537,-1.2617161273956299,0.35644960403442383
2,1.6100328,1.4269243,"('friendly', 'unfriendly')",1.6100327968597412,1.4269243478775024,-0.18310844898223877
5,1.522135,1.1857979,"('pleasant', 'repellent')",1.5221350193023682,1.185797929763794,-0.3363370895385742
95,-1.5182468,-1.7215633,"('rich', 'poor')",-1.5182467699050903,-1.7215633392333984,-0.2033165693283081
15,1.4728203,1.4258621,"('polite', 'impolite')",1.4728202819824219,1.4258620738983154,-0.046958208084106445
103,1.4696668,1.438892,"('traditional', 'modern')",1.469666838645935,1.4388920068740845,-0.030774831771850586
53,-1.4368823,-1.775227,"('smart', 'stupid')",-1.4368822574615479,-1.7752269506454468,-0.3383446931838989
41,-1.4190918,-1.062481,"('incorrupt', 'corrupt')",-1.419091820716858,-1.0624810457229614,0.3566107749938965
22,1.3738527,1.3249333,"('welcoming', 'disagreeable')",1.3738527297973633,1.3249332904815674,-0.0489194393157959
68,-1.3400497,-1.377499,"('clever', 'inept')",-1.3400497436523438,-1.377498984336853,-0.03744924068450928
85,1.300204,1.1909351,"('ambitious', 'unambitious')",1.3002040386199951,1.1909351348876953,-0.1092689037322998
42,-1.2454954,-0.71197534,"('amicable', 'hostile')",-1.2454954385757446,-0.7119753360748291,0.5335201025009155
73,1.1906698,0.81240606,"('brilliant', 'incompetent')",1.1906697750091553,0.812406063079834,-0.3782637119293213
