,keycorp_male,keycorp_female,tuple,new_male,new_female,average_male,average_female,female-male
75,3.882141,3.8327193,"('confident', 'shy')",4.247345,4.725128,4.0647430419921875,4.278923988342285,0.21418094635009766
1,-2.6257873,-2.588808,"('friendly', 'unfriendly')",0.03334117,0.025989413,-1.2962230443954468,-1.2814092636108398,0.014813780784606934
109,2.4322278,2.0698159,"('conservative', 'liberal')",-1.097023,-1.0688727,0.6676024198532104,0.5004715919494629,-0.16713082790374756
108,2.4322278,2.0698159,"('conservative', 'liberal')",-1.097023,-1.0688727,0.6676024198532104,0.5004715919494629,-0.16713082790374756
53,-2.3937726,-2.5573657,"('smart', 'stupid')",-3.3546703,-3.2368484,-2.8742213249206543,-2.8971071243286133,-0.022885799407958984
95,-2.3194144,-2.5666454,"('rich', 'poor')",-2.7676091,-3.1545284,-2.5435118675231934,-2.8605868816375732,-0.3170750141143799
11,-2.1274755,-2.043574,"('caring', 'unaffectionate')",-0.39734697,-0.45263273,-1.2624112367630005,-1.248103380203247,0.014307856559753418
103,2.1141624,1.9625708,"('traditional', 'modern')",0.68126935,0.61791956,1.3977159261703491,1.2902451753616333,-0.10747075080871582
32,-1.8971953,-1.6824756,"('benevolent', 'hardhearted')",-0.5565795,-0.20947967,-1.2268874645233154,-0.9459776282310486,0.28090983629226685
94,1.8106787,1.631759,"('aggressive', 'submissive')",-0.6174553,-0.32319823,0.596611738204956,0.654280424118042,0.05766868591308594
27,-1.7957718,-2.0610871,"('sincere', 'insincere')",-4.0693674,-4.2187166,-2.9325695037841797,-3.139901876449585,-0.20733237266540527
10,-1.7902464,-1.6067107,"('affectionate', 'unaffectionate')",0.7698784,0.8342984,-0.5101839900016785,-0.38620615005493164,0.12397783994674683
15,1.7798803,1.6873119,"('polite', 'impolite')",-0.60293305,-0.018667951,0.5884736180305481,0.8343219757080078,0.24584835767745972
40,-1.7553651,-2.0937166,"('honorable', 'mean')",-2.9068136,-3.3330858,-2.331089496612549,-2.7134013175964355,-0.3823118209838867
99,-1.6665735,-1.5572276,"('prestigious', 'insignificant')",0.7842057,0.64763576,-0.4411839246749878,-0.4547959268093109,-0.01361200213432312
6,1.5995004,1.8834354,"('liked', 'disliked')",3.2574773,3.5818095,2.4284887313842773,2.7326223850250244,0.30413365364074707
107,1.5772619,1.5413642,"('conventional', 'modern')",1.0958123,1.6039909,1.3365371227264404,1.5726776123046875,0.23614048957824707
25,1.5728453,1.2027913,"('moral', 'immoral')",-1.4564099,-1.4396524,0.05821770429611206,-0.11843055486679077,-0.17664825916290283
60,1.5357236,1.299228,"('educated', 'uneducated')",-0.794942,-0.4889455,0.37039077281951904,0.4051412343978882,0.03475046157836914
76,1.518777,1.273806,"('secure', 'insecure')",-0.46814716,-0.3669712,0.5253149271011353,0.4534173905849457,-0.07189753651618958
7,-1.4882876,-1.4448184,"('outgoing', 'distant')",0.8801502,0.5827791,-0.3040686845779419,-0.4310196340084076,-0.1269509494304657
80,1.4673133,1.2275922,"('independent', 'dependent')",0.56695527,0.6444183,1.0171343088150024,0.9360052347183228,-0.08112907409667969
4,-1.4457905,-1.7631224,"('likable', 'unlikable')",0.38617718,0.37986428,-0.5298066735267639,-0.6916290521621704,-0.1618223786354065
19,-1.4440732,-1.2456746,"('funny', 'boring')",-0.057115197,0.104435325,-0.7505941987037659,-0.5706196427345276,0.17997455596923828
71,1.4388006,1.0882314,"('efficient', 'inefficient')",-1.2771156,-1.4559102,0.08084249496459961,-0.18383938074111938,-0.264681875705719
2,1.4061606,1.122683,"('friendly', 'unfriendly')",-1.6722184,-1.4798024,-0.13302892446517944,-0.17855966091156006,-0.045530736446380615
62,-1.3507067,-1.3333948,"('creative', 'uncreative')",-0.56264377,-0.6173538,-0.9566752314567566,-0.9753742814064026,-0.018699049949645996
8,-1.3430516,-1.3022388,"('open', 'distant')",1.1676544,0.7915691,-0.08769857883453369,-0.25533485412597656,-0.16763627529144287
84,-1.3358376,-1.2462368,"('self-confident', 'diffident')",-0.24383731,-0.37390593,-0.7898374795913696,-0.8100713491439819,-0.020233869552612305
16,1.3037256,1.1935036,"('social', 'antisocial')",-0.8021402,-0.50254613,0.2507927119731903,0.34547874331474304,0.09468603134155273
98,-1.3019077,-1.3021932,"('prestigious', 'insignificant')",0.27524158,0.15429056,-0.5133330225944519,-0.5739513039588928,-0.06061828136444092
63,-1.2961509,-1.3994303,"('capable', 'incapable')",-0.33474922,-0.53823125,-0.8154500722885132,-0.9688307642936707,-0.15338069200515747
12,1.2867646,1.0170015,"('sympathetic', 'unsympathetic')",-1.2802973,-1.1208498,0.003233671188354492,-0.051924169063568115,-0.05515784025192261
0,1.2831401,1.2126737,"('sociable', 'unsociable')",-0.76800233,-0.5637635,0.2575688660144806,0.3244550824165344,0.06688621640205383
69,-1.2698171,-1.2609142,"('wise', 'foolish')",0.5438058,0.65526724,-0.363005667924881,-0.3028234839439392,0.06018218398094177
31,-1.2261479,-1.0479637,"('altruistic', 'egoistic')",0.63122517,0.40067068,-0.2974613606929779,-0.32364654541015625,-0.026185184717178345
33,-1.1552596,-1.1623336,"('softhearted', 'hardhearted')",-0.62816787,-0.6920396,-0.8917137384414673,-0.9271866083145142,-0.035472869873046875
106,1.1408651,1.1977477,"('conventional', 'unconventional')",1.2797227,0.963664,1.2102938890457153,1.0807058811187744,-0.12958800792694092
42,-1.1010792,-0.8352526,"('amicable', 'hostile')",1.8091202,1.8213055,0.35402047634124756,0.493026465177536,0.13900598883628845
77,-1.0946712,-0.83694476,"('active', 'inactive')",0.7132806,0.8810775,-0.19069531559944153,0.022066384553909302,0.21276170015335083
39,-1.0124578,-0.93728566,"('right', 'wrong')",0.26922962,0.41019645,-0.37161409854888916,-0.26354461908340454,0.10806947946548462
82,-0.99322593,-0.6504135,"('industrious', 'meek')",1.3513242,1.312031,0.17904913425445557,0.33080875873565674,0.15175962448120117
88,-0.9693906,-0.7519243,"('impulsive', 'meek')",1.563556,1.8192687,0.29708269238471985,0.5336722135543823,0.23658952116966248
5,0.91233146,0.71936977,"('pleasant', 'repellent')",-0.097297505,-0.30082503,0.4075169861316681,0.2092723697423935,-0.1982446163892746
64,0.87197244,0.6426796,"('clever', 'incompetent')",-1.4687406,-1.580534,-0.29838407039642334,-0.46892720460891724,-0.1705431342124939
92,-0.86639965,-0.6637687,"('unwavering', 'wavering')",1.0242958,0.81975317,0.07894808053970337,0.07799223065376282,-0.0009558498859405518
93,0.8544396,0.846211,"('dominating', 'dominated')",-1.2408098,-0.70492834,-0.19318509101867676,0.07064133882522583,0.2638264298439026
13,-0.84099275,-1.1251845,"('helpful', 'unhelpful')",-2.575208,-2.4277782,-1.7081003189086914,-1.7764813899993896,-0.06838107109069824
48,0.82168335,0.65841484,"('reliable', 'unreliable')",1.1541629,1.1235613,0.9879231452941895,0.8909880518913269,-0.09693509340286255
21,0.7962779,0.8425724,"('nice', 'nasty')",0.35453856,0.31382322,0.5754082202911377,0.5781978368759155,0.002789616584777832
52,0.7945462,0.7288966,"('competitive', 'uncompetitive')",-0.82447207,-0.5201275,-0.014962941408157349,0.10438457131385803,0.11934751272201538
29,0.71382695,0.4508403,"('honest', 'immoral')",-1.9729593,-2.176074,-0.6295661926269531,-0.8626168966293335,-0.23305070400238037
81,-0.7019061,-0.6216731,"('industrious', 'lazy')",2.0022373,2.030965,0.6501656174659729,0.7046459913253784,0.05448037385940552
66,0.6885998,0.87296855,"('imaginative', 'unimaginative')",0.34587073,0.7209271,0.517235279083252,0.7969478368759155,0.2797125577926636
3,0.6749818,0.49700996,"('likable', 'unlikable')",1.4871099,1.6269121,1.0810458660125732,1.061961054801941,-0.019084811210632324
90,0.6639828,0.59646004,"('motivated', 'unmotivated')",-0.115985096,-0.5120882,0.27399885654449463,0.04218593239784241,-0.23181292414665222
28,-0.6571409,-0.80358,"('honest', 'dishonest')",-1.27389,-0.99179226,-0.9655154943466187,-0.8976861238479614,0.06782937049865723
26,0.6149442,0.5494653,"('trustworthy', 'untrustworthy')",-0.7467338,-0.48269907,-0.06589478254318237,0.033383116126060486,0.09927789866924286
67,-0.612878,-0.67106545,"('discriminating', 'undiscriminating')",0.70384866,0.7983501,0.04548531770706177,0.06364232301712036,0.018157005310058594
79,0.5970142,0.49358463,"('determined', 'doubtful')",0.31559122,0.37995023,0.4563027024269104,0.43676742911338806,-0.01953527331352234
105,-0.5931067,-0.499812,"('conventional', 'modern')",0.8306431,0.5736888,0.11876821517944336,0.03693839907646179,-0.08182981610298157
104,-0.583548,-0.37620923,"('conventional', 'unconventional')",0.09214801,-0.08103579,-0.24570000171661377,-0.22862251102924347,0.0170774906873703
51,0.5796592,0.5309191,"('competent', 'incompetent')",0.07464939,0.2558064,0.3271543085575104,0.39336273074150085,0.06620842218399048
41,-0.57824755,-0.29272246,"('incorrupt', 'corrupt')",2.200282,2.1927314,0.8110172748565674,0.9500044584274292,0.13898718357086182
34,-0.5668788,-0.43233776,"('loyal', 'disloyal')",-1.179813,-0.9404594,-0.8733459115028381,-0.6863985657691956,0.18694734573364258
23,-0.5221892,-0.60361373,"('hospitable', 'inhospitable')",1.1858441,1.118948,0.33182743191719055,0.2576671242713928,-0.07416030764579773
44,-0.4915495,-0.6498869,"('truthful', 'untruthful')",-0.44683415,-0.3493275,-0.4691918194293976,-0.4996072053909302,-0.030415385961532593
89,0.4860016,0.360085,"('daring', 'anxious')",-1.1694336,-1.3868266,-0.3417159914970398,-0.5133708119392395,-0.1716548204421997
50,0.4791342,0.4529554,"('unprejudiced', 'prejudiced')",1.2686491,1.0383911,0.8738916516304016,0.7456732392311096,-0.128218412399292
100,0.47823012,0.50755066,"('influential', 'uninfluential')",-0.52025104,-0.49207926,-0.02101045846939087,0.007735699415206909,0.02874615788459778
59,-0.47643316,-0.5680953,"('skillful', 'clumsy')",1.3879981,1.4707971,0.4557824730873108,0.4513508677482605,-0.004431605339050293
55,0.47330302,0.4538518,"('intelligent', 'unintelligent')",-0.3138889,-0.4464134,0.0797070562839508,0.0037191957235336304,-0.07598786056041718
36,0.4491458,0.23584092,"('tolerant', 'intolerant')",-0.8488381,-0.593192,-0.19984614849090576,-0.17867553234100342,0.021170616149902344
38,-0.44151896,-0.5745729,"('kind', 'unkind')",-1.1115729,-0.71509457,-0.7765458822250366,-0.6448337435722351,0.1317121386528015
96,-0.43351445,-0.40560117,"('powerful', 'powerless')",-0.45298013,-0.42514718,-0.4432472884654999,-0.41537415981292725,0.027873128652572632
58,0.42099985,0.2172043,"('able', 'clumsy')",-1.5659094,-1.5201012,-0.5724547505378723,-0.6514484286308289,-0.07899367809295654
102,-0.41891962,-0.59312105,"('eminent', 'low')",-0.2643765,-0.27766025,-0.34164804220199585,-0.4353906512260437,-0.09374260902404785
86,0.40217382,0.3052693,"('self-reliant', 'helpless')",1.5905108,1.749958,0.9963423013687134,1.027613639831543,0.03127133846282959
56,0.3995455,0.39717996,"('intelligent', 'dumb')",0.690233,1.0119772,0.5448892116546631,0.7045785784721375,0.15968936681747437
65,0.3977515,0.20495404,"('practical', 'impractical')",-1.6388373,-1.5554767,-0.6205428838729858,-0.6752613186836243,-0.05471843481063843
72,0.3857476,0.25282016,"('logical', 'illogical')",-0.42463043,-0.11634571,-0.019441410899162292,0.06823723018169403,0.08767864108085632
