,kontoor_male,kontoor_female,tuple,brands_male,brands_female,average_male,average_female,female-male
75,2.2468755,2.1885288,"('confident', 'shy')",7.1034117,7.0223446,4.675143718719482,4.6054368019104,-0.06970691680908203
27,-2.0336776,-1.8719554,"('sincere', 'insincere')",-6.811324,-6.685583,-4.4225006103515625,-4.278769493103027,0.14373111724853516
95,-2.0128503,-1.997091,"('rich', 'poor')",-5.9212017,-6.0021,-3.9670259952545166,-3.9995956420898438,-0.03256964683532715
102,-1.8241491,-1.5036724,"('eminent', 'low')",-1.1150723,-1.0758249,-1.4696106910705566,-1.2897486686706543,0.17986202239990234
19,-1.5428216,-1.4605172,"('funny', 'boring')",0.039273858,-0.075547755,-0.7517738938331604,-0.768032431602478,-0.016258537769317627
4,-1.4957534,-1.4254456,"('likable', 'unlikable')",-0.666726,-0.75186735,-1.0812397003173828,-1.0886564254760742,-0.007416725158691406
109,1.474159,1.3148186,"('conservative', 'liberal')",0.69668734,0.5344842,1.085423231124878,0.9246513843536377,-0.16077184677124023
108,1.474159,1.3148186,"('conservative', 'liberal')",0.69668734,0.5344842,1.085423231124878,0.9246513843536377,-0.16077184677124023
47,-1.3566661,-1.2652426,"('forgiving', 'unforgiving')",-0.7952581,-0.70522314,-1.0759620666503906,-0.9852328300476074,0.0907292366027832
69,-1.3005726,-1.1889111,"('wise', 'foolish')",-0.006576717,-0.05290772,-0.6535747051239014,-0.6209093928337097,0.03266531229019165
33,-1.2796772,-1.0040996,"('softhearted', 'hardhearted')",-1.6031294,-1.4725528,-1.4414032697677612,-1.2383261919021606,0.20307707786560059
13,-1.2515142,-1.2126493,"('helpful', 'unhelpful')",-2.7866843,-2.7949538,-2.019099235534668,-2.0038015842437744,0.015297651290893555
1,-1.231909,-1.0073566,"('friendly', 'unfriendly')",-1.6853282,-1.6863722,-1.4586186408996582,-1.3468644618988037,0.11175417900085449
53,-1.123075,-1.0530529,"('smart', 'stupid')",-4.9792485,-5.1134605,-3.051161766052246,-3.083256721496582,-0.03209495544433594
99,-1.084784,-0.9927589,"('prestigious', 'insignificant')",-1.0370398,-1.039835,-1.0609118938446045,-1.0162969827651978,0.04461491107940674
93,1.0541599,1.3024454,"('dominating', 'dominated')",0.24007225,0.4887038,0.6471160650253296,0.8955745697021484,0.24845850467681885
54,0.9785075,0.92043495,"('smart', 'stupid')",0.29964635,0.02021259,0.6390769481658936,0.470323771238327,-0.16875317692756653
6,0.9568616,1.0001901,"('liked', 'disliked')",6.4010105,6.286419,3.678936004638672,3.6433045864105225,-0.035631418228149414
38,-0.95331526,-0.6530683,"('kind', 'unkind')",-2.067081,-1.840206,-1.5101981163024902,-1.2466371059417725,0.2635610103607178
11,-0.9372196,-0.6875101,"('caring', 'unaffectionate')",-2.122588,-2.0974293,-1.529903769493103,-1.3924696445465088,0.13743412494659424
85,0.92959243,0.8536031,"('ambitious', 'unambitious')",-0.1612534,-0.051787317,0.3841695189476013,0.4009079039096832,0.01673838496208191
22,-0.91872793,-1.0330447,"('welcoming', 'disagreeable')",0.94545394,0.7984424,0.013363003730773926,-0.11730113625526428,-0.1306641399860382
100,0.88731563,0.7598077,"('influential', 'uninfluential')",-0.75816023,-0.49341136,0.06457769870758057,0.13319817185401917,0.0686204731464386
36,-0.8763492,-1.0728436,"('tolerant', 'intolerant')",-1.1300046,-1.1636031,-1.0031769275665283,-1.1182233095169067,-0.11504638195037842
37,0.86821723,0.83385193,"('good', 'evil')",2.054334,1.8022245,1.461275577545166,1.3180382251739502,-0.14323735237121582
103,0.8336067,0.79558694,"('traditional', 'modern')",0.67664707,0.72643065,0.7551268935203552,0.7610087990760803,0.005881905555725098
16,0.8307531,0.66118383,"('social', 'antisocial')",0.3954144,0.48089787,0.6130837202072144,0.5710408687591553,-0.04204285144805908
77,0.8218941,1.095256,"('active', 'inactive')",0.21257743,0.20313832,0.5172357559204102,0.6491971611976624,0.1319614052772522
51,0.81575745,0.6430413,"('competent', 'incompetent')",-0.15688622,-0.23622917,0.3294356167316437,0.20340606570243835,-0.12602955102920532
50,0.8024086,0.7913753,"('unprejudiced', 'prejudiced')",1.871146,1.6671021,1.3367772102355957,1.229238748550415,-0.10753846168518066
72,0.79587805,0.9365083,"('logical', 'illogical')",-0.8272003,-0.7134589,-0.015661120414733887,0.11152470111846924,0.12718582153320312
40,-0.792651,-0.9187613,"('honorable', 'mean')",-5.11429,-5.459429,-2.9534707069396973,-3.1890950202941895,-0.2356243133544922
