,s_male,s_female,tuple,b_male,b_female,a_male,a_female,communications_male,communications_female,corp_male,corp_female,new_male,new_female,average_male,average_female,female-male
75,5.306943,4.9115763,"('confident', 'shy')",6.0460877,5.7316656,4.257983,4.094185,3.6877265,3.3095999,6.66473,6.5372887,4.247345,4.725128,5.035135904947917,4.884907404581706,-0.15022850036621094
6,4.6264877,4.369958,"('liked', 'disliked')",5.466017,4.890277,4.255017,4.204914,3.3600664,2.9501653,6.684802,6.6123395,3.2574773,3.5818095,4.6083113352457685,4.4349104563395185,-0.17340087890625
95,-4.2485275,-4.228273,"('rich', 'poor')",-5.706902,-5.5807667,-5.54408,-5.660554,-4.4452953,-4.15396,-6.034153,-6.116641,-2.7676091,-3.1545284,-4.791094462076823,-4.815787315368652,-0.02469285329182913
27,-4.1657896,-4.023628,"('sincere', 'insincere')",-6.160915,-5.7590666,-4.7484765,-4.781503,-4.6587863,-4.071034,-6.6364894,-6.431673,-4.0693674,-4.2187166,-5.073303858439128,-4.880936940511067,0.1923669179280605
40,-3.3526883,-3.2774196,"('honorable', 'mean')",-4.142684,-3.9778955,-3.355069,-3.4942946,-3.4959056,-3.3191624,-5.858739,-5.9650583,-2.9068136,-3.3330858,-3.851983388264974,-3.8944857915242515,-0.042502403259277344
53,-3.2103395,-2.7610483,"('smart', 'stupid')",-4.2117777,-3.9047155,-4.3243756,-4.346325,-3.9460597,-3.469792,-4.4504747,-4.3025694,-3.3546703,-3.2368484,-3.9162829717000327,-3.6702165603637695,0.24606641133626317
86,2.787622,2.6231627,"('self-reliant', 'helpless')",2.47682,2.1106932,1.798177,1.834563,1.1547818,0.7600744,2.751844,2.6451762,1.5905108,1.749958,2.0932928721110025,1.9539380073547363,-0.13935486475626613
87,-2.2072513,-1.851409,"('dedicated', 'undedicated')",-1.3950016,-1.0939951,-1.1316134,-1.0679749,-0.17993835,-0.40186542,-0.80255353,-0.59696186,-0.63571346,-0.37742674,-1.0586786270141602,-0.8982721964518229,0.16040643056233728
38,-2.1178288,-1.7184348,"('kind', 'unkind')",-1.5609362,-1.1458026,-2.0355592,-1.9733262,-1.0351108,-0.59496415,-2.3757577,-1.9031388,-1.1115729,-0.71509457,-1.706127643585205,-1.341793378194173,0.364334265391032
13,-2.0524375,-2.435584,"('helpful', 'unhelpful')",-2.919357,-2.841398,-1.7456306,-1.9058763,-2.825048,-2.5709589,-3.0271235,-3.0961032,-2.575208,-2.4277782,-2.5241340001424155,-2.5462830861409507,-0.022149085998535156
50,2.0029101,1.546516,"('unprejudiced', 'prejudiced')",1.9629992,1.6871815,2.1030297,1.9751623,1.1085235,0.9251832,2.2759738,2.2260273,1.2686491,1.0383911,1.7870141665140789,1.566410223642985,-0.22060394287109375
78,1.9804981,1.9224925,"('active', 'inactive')",1.6664348,1.3858862,1.9876052,1.3911014,1.6417196,1.2243409,2.3321204,1.9112912,1.6742909,1.1332293,1.8804446856180828,1.494723637898763,-0.3857210477193198
34,-1.95861,-1.5504031,"('loyal', 'disloyal')",-2.2570477,-2.0077512,-1.3204908,-1.1460375,-0.7639765,-0.24710208,-2.017921,-1.7827404,-1.179813,-0.9404594,-1.5829766591389973,-1.2790822982788086,0.30389436086018873
81,1.8059484,1.7236845,"('industrious', 'lazy')",2.4595008,2.363647,1.737736,1.6990438,0.6913778,0.3564687,2.0935724,2.177915,2.0022373,2.030965,1.7983954747517903,1.7252872784932454,-0.07310819625854492
3,1.7380717,1.5020833,"('likable', 'unlikable')",1.6730256,1.6386765,1.5100329,1.3276552,0.3089127,0.09921006,1.6233785,1.5548921,1.4871099,1.6269121,1.3900885581970215,1.2915716171264648,-0.09851694107055664
33,-1.7062128,-1.4781152,"('softhearted', 'hardhearted')",-1.1736591,-0.98120743,-1.0274097,-0.9256936,-0.08979952,-0.11882162,-1.0268513,-0.9268272,-0.62816787,-0.6920396,-0.9420166015625,-0.8537840843200684,0.08823251724243164
1,-1.6254693,-1.2045774,"('friendly', 'unfriendly')",-0.8735565,-0.7967598,-0.85035896,-0.7755853,-1.437258,-1.3849833,-1.3676949,-1.0302336,0.03334117,0.025989413,-1.0201660792032878,-0.8610250155131022,0.15914106369018566
12,-1.6161723,-1.5258291,"('sympathetic', 'unsympathetic')",-1.2713507,-1.0670301,-2.0379958,-2.128885,-0.4846092,-0.3720652,-1.3533148,-1.4027944,-1.2802973,-1.1208498,-1.340623378753662,-1.269575595855713,0.07104778289794922
25,-1.5380639,-1.3879553,"('moral', 'immoral')",-1.415171,-1.3988961,-1.9979124,-2.0362134,-1.1777693,-0.9711545,-1.5206175,-1.3253146,-1.4564099,-1.4396524,-1.5176572799682617,-1.426531155904134,0.09112612406412768
58,-1.5277407,-1.234221,"('able', 'clumsy')",-2.0164592,-1.6322384,-1.2989755,-1.3238338,-0.8946383,-0.66016674,-2.2373161,-1.8838849,-1.5659094,-1.5201012,-1.5901732444763184,-1.3757410049438477,0.2144322395324707
65,-1.5140071,-1.4881842,"('practical', 'impractical')",-1.7059805,-1.7051802,-2.1130214,-2.228361,-1.5097833,-1.5435975,-0.9191679,-0.87139773,-1.6388373,-1.5554767,-1.566799481709798,-1.5653661092122395,0.0014333724975585938
48,1.4944011,1.3647536,"('reliable', 'unreliable')",2.1151795,1.8666317,1.3086615,1.1191777,1.2979889,0.8401762,2.681928,2.5936308,1.1541629,1.1235613,1.6753870646158855,1.484655221303304,-0.19073184331258153
46,1.4678637,1.7226073,"('generous', 'stingy')",1.4032638,1.5845408,0.40698248,0.4157985,1.8757446,1.6792278,2.3762202,2.3003333,0.83456933,0.996935,1.3941073417663574,1.4499069849650066,0.05579964319864916
11,-1.4087851,-1.4143167,"('caring', 'unaffectionate')",-1.1759598,-1.2084239,-0.9271126,-0.9690563,-1.0278864,-0.9819462,-1.484493,-1.4917997,-0.39734697,-0.45263273,-1.070263942082723,-1.086362600326538,-0.016098658243815178
35,1.396543,1.6328251,"('fair', 'unfair')",0.8966235,0.95150924,0.80406904,1.0542526,0.7047347,0.8004801,0.6981856,0.740138,0.53877056,0.72886944,0.8398211002349854,0.9846790631612142,0.14485796292622888
24,-1.3829374,-1.0389155,"('thoughtful', 'rough')",-0.5407717,-0.42633662,-1.1307224,-0.9340293,-0.95267653,-0.77666575,-1.4458349,-1.2531471,-0.80838597,-1.0449764,-1.0435547828674316,-0.9123450915018717,0.13120969136555993
32,-1.339325,-0.8827551,"('benevolent', 'hardhearted')",-0.6568372,-0.40919644,-0.67500556,-0.47398028,-0.8491373,-0.6667838,-1.3220441,-0.75526094,-0.5565795,-0.20947967,-0.8998214403788248,-0.5662426948547363,0.3335787455240885
63,-1.3154932,-1.1027094,"('capable', 'incapable')",-1.5367336,-1.5149089,-1.3104718,-1.3372514,-0.6458185,-0.5400476,-1.1376256,-1.0196587,-0.33474922,-0.53823125,-1.0468153953552246,-1.0088012218475342,0.03801417350769043
47,-1.2650491,-0.9534594,"('forgiving', 'unforgiving')",-0.55104315,-0.24545383,-0.74759287,-0.74811596,0.8286799,1.0629538,-0.80979,-0.5174874,-0.45840046,-0.068962395,-0.5005326271057129,-0.24508750438690186,0.25544512271881104
64,-1.2038223,-1.1148214,"('clever', 'incompetent')",-1.3888204,-1.2064309,-2.4906075,-2.5937147,-0.33888775,0.08685906,-1.1046457,-1.0655162,-1.4687406,-1.580534,-1.3325873215993245,-1.24569304784139,0.08689427375793457
60,-1.1987791,-0.7531843,"('educated', 'uneducated')",-1.2993289,-1.0519685,-1.2500741,-1.1199173,-0.30831555,0.054562926,-0.94098175,-0.8681323,-0.794942,-0.4889455,-0.9654035568237305,-0.704597552617391,0.2608060042063395
