,t_male,t_female,tuple,e_male,e_female,connectivity_male,connectivity_female,average_male,average_female,female-male
75,4.4224253,4.55454,"('confident', 'shy')",5.1080294,4.752075,4.845294,4.79723,4.791916211446126,4.701281865437825,-0.09063434600830078
6,4.3690333,4.0877643,"('liked', 'disliked')",4.8893785,4.6643515,3.7590463,4.329938,4.339152654012044,4.360684394836426,0.021531740824381806
27,-4.1903934,-4.1031184,"('sincere', 'insincere')",-4.34554,-3.9135027,-5.412014,-5.7775736,-4.64931583404541,-4.59806474049886,0.051251093546549775
95,-4.1298313,-4.142749,"('rich', 'poor')",-4.43692,-4.3749332,-5.0817785,-5.0664887,-4.5495100021362305,-4.528057098388672,0.021452903747558594
40,-3.1010299,-3.3796802,"('honorable', 'mean')",-3.91751,-3.9190652,-4.6985474,-5.0873737,-3.905695597330729,-4.128706296284993,-0.22301069895426417
53,-3.0892472,-3.1213758,"('smart', 'stupid')",-3.9427114,-3.753551,-3.554897,-3.8735566,-3.5289519627889,-3.582827885945638,-0.05387592315673828
46,2.3155856,2.02644,"('generous', 'stingy')",1.7146709,1.9424766,0.6909288,0.9887648,1.5737284024556477,1.6525603930155437,0.07883199055989598
78,2.2545123,1.5940995,"('active', 'inactive')",2.2720973,1.9251149,1.4106841,1.4287424,1.979097843170166,1.649319012959798,-0.3297788302103679
13,-2.1286783,-2.0788295,"('helpful', 'unhelpful')",-2.0689445,-1.9565793,-3.460731,-3.7319107,-2.5527846018473306,-2.589106559753418,-0.03632195790608739
25,-1.9353852,-1.7490566,"('moral', 'immoral')",-1.0464435,-0.84522456,0.32319203,-0.2491176,-0.8862121899922689,-0.9477996031443278,-0.061587413152058845
3,1.8078926,1.6926621,"('likable', 'unlikable')",1.6740959,1.5499563,1.0977225,1.0304842,1.5265703201293945,1.4243675867716472,-0.10220273335774732
81,1.7245431,1.4344263,"('industrious', 'lazy')",1.1684747,1.0214972,0.40095985,0.90588903,1.0979925791422527,1.1206041971842449,0.022611618041992188
38,-1.6898909,-1.2481077,"('kind', 'unkind')",-1.6404153,-1.0986534,-1.5715839,-1.4477621,-1.6339632670084636,-1.264841079711914,0.36912218729654955
65,-1.6881838,-1.4054806,"('practical', 'impractical')",-1.1366103,-1.1421132,-1.0208217,-1.4109564,-1.2818719546000164,-1.3195167382558186,-0.03764478365580226
34,-1.674128,-1.4988801,"('loyal', 'disloyal')",-1.543517,-1.0812366,-2.2257385,-2.0009563,-1.8144612312316895,-1.527024269104004,0.28743696212768555
37,1.6507217,1.5229955,"('good', 'evil')",1.5384743,1.6174712,0.6159958,1.1135966,1.268397331237793,1.4180210431416829,0.1496237119038899
28,-1.6146188,-1.6312857,"('honest', 'dishonest')",-2.11497,-1.8961184,-1.7999871,-1.9492948,-1.8431919415791829,-1.825566291809082,0.017625649770100837
63,-1.5755888,-1.497909,"('capable', 'incapable')",-0.8439174,-0.6696984,-1.2924439,-1.1768098,-1.2373167673746746,-1.1148056983947754,0.12251106897989916
86,1.559459,1.4201622,"('self-reliant', 'helpless')",2.049817,1.8723142,2.2659545,2.314997,1.9584102630615234,1.8691577911376953,-0.08925247192382812
73,-1.4909699,-1.9289253,"('brilliant', 'incompetent')",-1.069567,-1.4354624,-1.6236364,-2.2134573,-1.3947243690490723,-1.8592815399169922,-0.4645571708679199
50,1.4901884,1.4975132,"('unprejudiced', 'prejudiced')",2.218439,1.8129277,2.1002724,1.8364265,1.9362999598185222,1.7156225840250652,-0.22067737579345703
87,-1.4378737,-1.0229564,"('dedicated', 'undedicated')",-1.3308265,-1.1523113,-1.4377568,-1.2743349,-1.402152379353841,-1.1498675346374512,0.2522848447163899
58,-1.3728817,-1.0506482,"('able', 'clumsy')",-2.0546484,-1.7899245,-1.3521892,-1.3819584,-1.5932397842407227,-1.4075104395548503,0.18572934468587232
68,-1.3417919,-1.5264856,"('clever', 'inept')",-0.42223817,-0.61740005,-1.1146994,-1.2701763,-0.9595764478047689,-1.138020674387614,-0.1784442265828451
66,1.328779,1.4111757,"('imaginative', 'unimaginative')",2.1047974,1.9713857,1.212934,1.2121828,1.5488367080688477,1.5315814018249512,-0.017255306243896484
48,1.308791,1.3101138,"('reliable', 'unreliable')",2.3705559,2.2669592,1.7434571,1.6521325,1.8076012929280598,1.74306853612264,-0.06453275680541992
101,-1.2484803,-1.1541119,"('successful', 'unsuccessful')",-1.3597871,-1.0344529,-1.2777071,-1.1975018,-1.2953248023986816,-1.1286888122558594,0.16663599014282227
22,1.1911409,1.0818121,"('welcoming', 'disagreeable')",1.2486498,1.4857547,0.45658565,0.67642736,0.9654587904612223,1.0813314119974773,0.115872621536255
72,-1.1749583,-1.0535047,"('logical', 'illogical')",-1.1366557,-0.9728108,-1.5988121,-1.6443081,-1.3034753799438477,-1.2235411802927654,0.07993419965108228
18,-1.17101,-1.0671283,"('social', 'asocial')",-0.8701274,-0.6494354,-0.71922636,-1.1004505,-0.9201212724049886,-0.9390047391255697,-0.018883466720581055
12,-1.1520935,-0.9901837,"('sympathetic', 'unsympathetic')",-1.0757749,-0.9258218,-0.34455842,-0.81243956,-0.8574756781260172,-0.9094816843668619,-0.05200600624084473
77,1.1258986,1.1965033,"('active', 'inactive')",0.9905505,1.3768481,0.689835,1.0993638,0.9354280630747477,1.224238395690918,0.2888103326161703
