,marathon_male,marathon_female,tuple,petroleum_male,petroleum_female,average_male,average_female,female-male
75,4.1626816,4.5044107,"('confident', 'shy')",5.3568535,5.3149137,4.759767532348633,4.909662246704102,0.14989471435546875
27,-3.4277496,-3.5807734,"('sincere', 'insincere')",-6.1436024,-6.2332134,-4.785676002502441,-4.906993389129639,-0.12131738662719727
53,-3.0352864,-3.2915406,"('smart', 'stupid')",-4.7120233,-4.8914394,-3.873654842376709,-4.091489791870117,-0.2178349494934082
40,-2.5600567,-2.911757,"('honorable', 'mean')",-4.306745,-4.710799,-3.433400869369507,-3.8112781047821045,-0.37787723541259766
95,-2.554357,-2.9286687,"('rich', 'poor')",-6.132168,-6.0266523,-4.343262672424316,-4.477660655975342,-0.1343979835510254
1,-2.4357977,-2.267706,"('friendly', 'unfriendly')",-1.7681293,-1.4461893,-2.101963520050049,-1.856947660446167,0.24501585960388184
32,-2.4020495,-2.4627447,"('benevolent', 'hardhearted')",-2.0076847,-1.8851767,-2.204867124557495,-2.1739606857299805,0.03090643882751465
6,2.1563761,2.7276444,"('liked', 'disliked')",5.0244493,5.3996673,3.5904126167297363,4.063655853271484,0.47324323654174805
11,-2.1492858,-2.0358279,"('caring', 'unaffectionate')",-1.6205409,-1.3878864,-1.8849133253097534,-1.7118570804595947,0.1730562448501587
50,2.0071583,2.0536633,"('unprejudiced', 'prejudiced')",1.6274936,1.5331699,1.8173259496688843,1.7934165000915527,-0.023909449577331543
62,-1.9418097,-1.6987299,"('creative', 'uncreative')",-0.66742945,-0.3940328,-1.304619550704956,-1.0463813543319702,0.25823819637298584
99,-1.9265954,-1.7050987,"('prestigious', 'insignificant')",-1.058388,-0.59089744,-1.4924917221069336,-1.1479980945587158,0.3444936275482178
87,-1.8293512,-1.6700372,"('dedicated', 'undedicated')",-0.18655859,-0.2021259,-1.0079548358917236,-0.9360815286636353,0.07187330722808838
104,-1.8021114,-1.5946841,"('conventional', 'unconventional')",-0.7037338,-0.22547098,-1.252922534942627,-0.9100775718688965,0.34284496307373047
38,-1.7144349,-1.4949496,"('kind', 'unkind')",-2.33059,-2.0397143,-2.022512435913086,-1.7673319578170776,0.2551804780960083
107,1.6579694,1.7495143,"('conventional', 'modern')",0.42197117,0.4592862,1.0399702787399292,1.1044002771377563,0.06442999839782715
48,1.5839292,1.7987311,"('reliable', 'unreliable')",1.982214,1.9923034,1.783071517944336,1.8955172300338745,0.11244571208953857
28,-1.5450011,-1.6116612,"('honest', 'dishonest')",-1.6438272,-1.7317607,-1.594414234161377,-1.6717109680175781,-0.07729673385620117
86,1.53392,1.8912418,"('self-reliant', 'helpless')",2.7226312,2.770875,2.1282756328582764,2.3310585021972656,0.20278286933898926
31,-1.5193151,-1.3669324,"('altruistic', 'egoistic')",-0.92623603,-0.77252924,-1.2227755784988403,-1.0697307586669922,0.15304481983184814
72,-1.4895319,-1.3278465,"('logical', 'illogical')",-1.600862,-1.4684188,-1.5451970100402832,-1.3981326818466187,0.14706432819366455
74,-1.4125475,-1.1327933,"('insightful', 'unperceptive')",-1.8354528,-1.6926334,-1.624000072479248,-1.4127132892608643,0.2112867832183838
63,-1.3853284,-1.293441,"('capable', 'incapable')",-0.9865947,-0.8016436,-1.1859614849090576,-1.0475423336029053,0.13841915130615234
34,-1.3337631,-1.202831,"('loyal', 'disloyal')",-2.3859022,-1.9270504,-1.8598326444625854,-1.5649406909942627,0.29489195346832275
10,-1.3316042,-1.4388738,"('affectionate', 'unaffectionate')",-0.74580294,-0.47873086,-1.0387035608291626,-0.958802342414856,0.07990121841430664
4,-1.2681506,-1.3024607,"('likable', 'unlikable')",-1.6000794,-1.5383606,-1.434114933013916,-1.4204106330871582,0.013704299926757812
103,1.2560778,1.2336594,"('traditional', 'modern')",1.3804395,1.3949511,1.3182586431503296,1.314305305480957,-0.003953337669372559
78,1.2451421,1.2946146,"('active', 'inactive')",1.8862181,1.8889331,1.5656800270080566,1.5917737483978271,0.026093721389770508
47,-1.13799,-1.0795581,"('forgiving', 'unforgiving')",-0.96765363,-0.85812086,-1.0528218746185303,-0.9688395261764526,0.08398234844207764
55,-1.1306577,-1.0156804,"('intelligent', 'unintelligent')",-2.1501656,-1.981605,-1.640411615371704,-1.4986426830291748,0.1417689323425293
