,boeing_male,boeing_female,tuple,average_male,average_female,female-male
75,4.5739536,4.7538767,"('confident', 'shy')",4.573953628540039,4.753876686096191,0.17992305755615234
27,-4.413599,-4.483982,"('sincere', 'insincere')",-4.413599014282227,-4.483982086181641,-0.07038307189941406
53,-3.9832504,-4.1123533,"('smart', 'stupid')",-3.983250379562378,-4.112353324890137,-0.1291029453277588
95,-3.8507934,-3.9058647,"('rich', 'poor')",-3.8507933616638184,-3.905864715576172,-0.055071353912353516
6,3.5022013,3.7190962,"('liked', 'disliked')",3.5022013187408447,3.7190961837768555,0.21689486503601074
48,3.180276,3.1835876,"('reliable', 'unreliable')",3.1802759170532227,3.1835875511169434,0.003311634063720703
40,-3.0746,-3.3779664,"('honorable', 'mean')",-3.0745999813079834,-3.3779664039611816,-0.30336642265319824
50,2.4998388,2.4230886,"('unprejudiced', 'prejudiced')",2.4998388290405273,2.423088550567627,-0.07675027847290039
86,2.1561103,2.2437806,"('self-reliant', 'helpless')",2.1561102867126465,2.2437806129455566,0.08767032623291016
32,-1.8582747,-1.7842517,"('benevolent', 'hardhearted')",-1.8582746982574463,-1.7842516899108887,0.07402300834655762
3,1.8181943,1.9385337,"('likable', 'unlikable')",1.8181942701339722,1.9385336637496948,0.12033939361572266
1,-1.6729848,-1.662151,"('friendly', 'unfriendly')",-1.6729848384857178,-1.6621509790420532,0.01083385944366455
100,-1.6561794,-1.2748748,"('influential', 'uninfluential')",-1.656179428100586,-1.2748748064041138,0.38130462169647217
11,-1.6480671,-1.6116507,"('caring', 'unaffectionate')",-1.6480671167373657,-1.6116507053375244,0.03641641139984131
66,1.510914,1.7013125,"('imaginative', 'unimaginative')",1.5109139680862427,1.70131254196167,0.19039857387542725
29,-1.4682156,-1.4605275,"('honest', 'immoral')",-1.4682155847549438,-1.4605275392532349,0.007688045501708984
31,-1.4171486,-1.5235658,"('altruistic', 'egoistic')",-1.4171485900878906,-1.5235657691955566,-0.10641717910766602
68,-1.2927889,-1.3379197,"('clever', 'inept')",-1.2927888631820679,-1.3379197120666504,-0.04513084888458252
107,1.2834978,1.3390564,"('conventional', 'modern')",1.2834978103637695,1.339056372642517,0.05555856227874756
62,-1.2754823,-1.1902187,"('creative', 'uncreative')",-1.2754822969436646,-1.1902186870574951,0.08526360988616943
56,1.2711399,1.244297,"('intelligent', 'dumb')",1.2711398601531982,1.2442970275878906,-0.026842832565307617
55,-1.2160217,-1.1709479,"('intelligent', 'unintelligent')",-1.2160216569900513,-1.1709479093551636,0.045073747634887695
34,-1.1985891,-0.9917111,"('loyal', 'disloyal')",-1.1985890865325928,-0.9917110800743103,0.20687800645828247
13,-1.1956276,-1.1860124,"('helpful', 'unhelpful')",-1.1956275701522827,-1.1860123872756958,0.009615182876586914
72,-1.1881365,-0.9541533,"('logical', 'illogical')",-1.1881364583969116,-0.954153299331665,0.23398315906524658
74,-1.184173,-1.1448958,"('insightful', 'unperceptive')",-1.1841729879379272,-1.1448957920074463,0.03927719593048096
28,-1.180319,-1.2074037,"('honest', 'dishonest')",-1.1803189516067505,-1.2074036598205566,-0.027084708213806152
73,-1.1695881,-1.2032988,"('brilliant', 'incompetent')",-1.1695880889892578,-1.203298807144165,-0.03371071815490723
63,-1.0967262,-1.1774983,"('capable', 'incapable')",-1.0967261791229248,-1.1774983406066895,-0.08077216148376465
78,1.0889668,0.94919133,"('active', 'inactive')",1.0889668464660645,0.9491913318634033,-0.13977551460266113
84,-1.0811217,-1.126116,"('self-confident', 'diffident')",-1.0811216831207275,-1.1261160373687744,-0.044994354248046875
97,-1.0601346,-0.95690525,"('superior', 'inferior')",-1.0601346492767334,-0.9569052457809448,0.10322940349578857
10,-1.0454874,-0.97669137,"('affectionate', 'unaffectionate')",-1.045487403869629,-0.9766913652420044,0.06879603862762451
39,-1.041637,-0.8856621,"('right', 'wrong')",-1.0416369438171387,-0.8856620788574219,0.1559748649597168
85,-1.0074272,-0.92887497,"('ambitious', 'unambitious')",-1.0074272155761719,-0.9288749694824219,0.07855224609375
21,0.9864452,0.9687073,"('nice', 'nasty')",0.9864451885223389,0.9687073230743408,-0.017737865447998047
46,0.97952133,1.0860313,"('generous', 'stingy')",0.9795213341712952,1.0860313177108765,0.1065099835395813
88,0.9772671,0.92722034,"('impulsive', 'meek')",0.9772670865058899,0.927220344543457,-0.05004674196243286
103,0.97067416,0.90250856,"('traditional', 'modern')",0.9706741571426392,0.902508556842804,-0.0681656002998352
44,-0.9502225,-0.92861784,"('truthful', 'untruthful')",-0.9502224922180176,-0.9286178350448608,0.02160465717315674
24,-0.94321704,-0.9220303,"('thoughtful', 'rough')",-0.9432170391082764,-0.9220303297042847,0.0211867094039917
17,-0.92361706,-0.6678868,"('social', 'antisocial')",-0.9236170649528503,-0.6678867936134338,0.2557302713394165
67,-0.90852594,-0.7328274,"('discriminating', 'undiscriminating')",-0.9085259437561035,-0.7328274250030518,0.17569851875305176
