,nordstrom_male,nordstrom_female,tuple,average_male,average_female,female-male
75,3.447873,3.3962305,"('confident', 'shy')",3.447873115539551,3.396230459213257,-0.051642656326293945
109,2.5677168,2.7620335,"('conservative', 'liberal')",2.5677168369293213,2.762033462524414,0.19431662559509277
108,2.5677168,2.7620335,"('conservative', 'liberal')",2.5677168369293213,2.762033462524414,0.19431662559509277
15,2.1628168,2.2049408,"('polite', 'impolite')",2.1628167629241943,2.2049407958984375,0.042124032974243164
2,2.0675802,2.182776,"('friendly', 'unfriendly')",2.067580223083496,2.1827759742736816,0.11519575119018555
25,2.0258014,2.107676,"('moral', 'immoral')",2.025801420211792,2.1076760292053223,0.08187460899353027
99,-2.0067024,-1.9970576,"('prestigious', 'insignificant')",-2.006702423095703,-1.997057557106018,0.009644865989685059
94,1.9645953,2.2055876,"('aggressive', 'submissive')",1.9645953178405762,2.20558762550354,0.24099230766296387
12,1.9424294,2.0348253,"('sympathetic', 'unsympathetic')",1.9424294233322144,2.034825325012207,0.09239590167999268
31,-1.7279698,-1.5828056,"('altruistic', 'egoistic')",-1.727969765663147,-1.5828056335449219,0.1451641321182251
95,-1.7210982,-1.9030416,"('rich', 'poor')",-1.7210981845855713,-1.9030416011810303,-0.18194341659545898
16,1.7160928,1.9397825,"('social', 'antisocial')",1.716092824935913,1.9397825002670288,0.22368967533111572
10,-1.7052898,-1.5708922,"('affectionate', 'unaffectionate')",-1.7052898406982422,-1.5708922147750854,0.13439762592315674
32,-1.6191139,-1.3985031,"('benevolent', 'hardhearted')",-1.6191139221191406,-1.398503065109253,0.2206108570098877
1,-1.5847852,-1.3836769,"('friendly', 'unfriendly')",-1.5847852230072021,-1.3836768865585327,0.20110833644866943
27,-1.4870931,-1.3493341,"('sincere', 'insincere')",-1.4870930910110474,-1.3493341207504272,0.13775897026062012
103,1.4795239,1.5432435,"('traditional', 'modern')",1.4795238971710205,1.5432435274124146,0.06371963024139404
84,-1.4522249,-1.3200399,"('self-confident', 'diffident')",-1.452224850654602,-1.3200398683547974,0.1321849822998047
26,1.4481461,1.5477741,"('trustworthy', 'untrustworthy')",1.448146104812622,1.547774076461792,0.09962797164916992
52,1.4095881,1.5097189,"('competitive', 'uncompetitive')",1.409588098526001,1.509718894958496,0.10013079643249512
76,1.3856627,1.3533247,"('secure', 'insecure')",1.3856626749038696,1.3533246517181396,-0.03233802318572998
80,1.3696846,1.3002043,"('independent', 'dependent')",1.3696845769882202,1.3002042770385742,-0.069480299949646
78,1.3531445,1.092543,"('active', 'inactive')",1.3531445264816284,1.0925430059432983,-0.2606015205383301
6,1.3528682,1.5173326,"('liked', 'disliked')",1.3528681993484497,1.5173325538635254,0.16446435451507568
98,-1.3507824,-1.3430327,"('prestigious', 'insignificant')",-1.3507823944091797,-1.343032717704773,0.007749676704406738
104,-1.3448017,-1.2177896,"('conventional', 'unconventional')",-1.344801664352417,-1.217789649963379,0.12701201438903809
50,1.3295536,1.0257744,"('unprejudiced', 'prejudiced')",1.3295536041259766,1.025774359703064,-0.3037792444229126
11,-1.3274114,-1.1577872,"('caring', 'unaffectionate')",-1.327411413192749,-1.1577872037887573,0.1696242094039917
66,1.3088114,1.6018196,"('imaginative', 'unimaginative')",1.3088114261627197,1.601819634437561,0.2930082082748413
105,-1.2944108,-1.11481,"('conventional', 'modern')",-1.2944108247756958,-1.1148099899291992,0.17960083484649658
82,-1.2742498,-1.3020416,"('industrious', 'meek')",-1.274249792098999,-1.3020416498184204,-0.027791857719421387
93,1.263263,1.4111694,"('dominating', 'dominated')",1.2632629871368408,1.411169409751892,0.14790642261505127
39,-1.2594624,-1.2157999,"('right', 'wrong')",-1.2594623565673828,-1.2157999277114868,0.043662428855895996
89,1.2566266,1.213275,"('daring', 'anxious')",1.2566266059875488,1.2132749557495117,-0.04335165023803711
71,1.2435545,1.2006235,"('efficient', 'inefficient')",1.2435544729232788,1.2006235122680664,-0.0429309606552124
73,1.2004906,1.0751281,"('brilliant', 'incompetent')",1.2004905939102173,1.0751280784606934,-0.12536251544952393
42,-1.1823447,-1.1654956,"('amicable', 'hostile')",-1.182344675064087,-1.1654956340789795,0.016849040985107422
53,-1.1817104,-1.3356113,"('smart', 'stupid')",-1.1817103624343872,-1.335611343383789,-0.15390098094940186
3,1.1626529,1.138143,"('likable', 'unlikable')",1.162652850151062,1.1381429433822632,-0.024509906768798828
40,-1.1099865,-1.2299372,"('honorable', 'mean')",-1.1099865436553955,-1.229937195777893,-0.11995065212249756
9,1.0968325,1.1844733,"('sensitive', 'insensitive')",1.096832513809204,1.1844732761383057,0.08764076232910156
69,-1.0850255,-1.1925881,"('wise', 'foolish')",-1.0850255489349365,-1.1925880908966064,-0.10756254196166992
81,-1.0836284,-1.2505497,"('industrious', 'lazy')",-1.0836284160614014,-1.2505496740341187,-0.16692125797271729
41,-1.063807,-1.1685958,"('incorrupt', 'corrupt')",-1.0638070106506348,-1.168595790863037,-0.10478878021240234
83,1.0546349,1.1862354,"('energetic', 'lethargic')",1.054634928703308,1.1862354278564453,0.1316004991531372
90,0.9824407,0.9622306,"('motivated', 'unmotivated')",0.982440710067749,0.9622306227684021,-0.020210087299346924
30,0.967376,0.97162044,"('honest', 'dishonest')",0.9673759937286377,0.9716204404830933,0.004244446754455566
92,-0.9504847,-0.9323449,"('unwavering', 'wavering')",-0.9504846930503845,-0.932344913482666,0.018139779567718506
49,0.9430089,0.708802,"('responsible', 'irresponsible')",0.9430088996887207,0.7088019847869873,-0.2342069149017334
64,0.9108094,0.9506427,"('clever', 'incompetent')",0.9108093976974487,0.9506427049636841,0.03983330726623535
0,0.90950584,1.0681585,"('sociable', 'unsociable')",0.9095058441162109,1.068158507347107,0.158652663230896
34,-0.8619484,-0.53176516,"('loyal', 'disloyal')",-0.8619483709335327,-0.5317651629447937,0.330183207988739
96,-0.85591274,-0.7405591,"('powerful', 'powerless')",-0.8559127449989319,-0.7405591011047363,0.11535364389419556
5,0.83096445,0.96382767,"('pleasant', 'repellent')",0.8309644460678101,0.9638276696205139,0.13286322355270386
35,0.8296223,0.86327064,"('fair', 'unfair')",0.8296223282814026,0.86327064037323,0.03364831209182739
101,0.82818055,0.7216842,"('successful', 'unsuccessful')",0.8281805515289307,0.7216842174530029,-0.10649633407592773
107,0.82428366,0.9278028,"('conventional', 'modern')",0.8242836594581604,0.9278028011322021,0.10351914167404175
61,-0.8137519,-0.7967422,"('rational', 'irrational')",-0.8137518763542175,-0.7967422008514404,0.0170096755027771
14,0.78097177,0.91021055,"('supportive', 'unsupportive')",0.7809717655181885,0.9102105498313904,0.1292387843132019
