,new_male,new_female,tuple,york_male,york_female,times_male,times_female,average_male,average_female,female-male
75,4.247345,4.725128,"('confident', 'shy')",3.813438,3.5713136,4.0118346,3.903979,4.024206161499023,4.066807111104329,0.042600949605305694
27,-4.0693674,-4.2187166,"('sincere', 'insincere')",-1.8964995,-2.0143068,-2.0078208,-1.6212959,-2.657896041870117,-2.6181065241495767,0.03978951772054051
53,-3.3546703,-3.2368484,"('smart', 'stupid')",-2.8584814,-2.9072936,-2.295668,-2.3133392,-2.836273193359375,-2.8191604614257812,0.01711273193359375
6,3.2574773,3.5818095,"('liked', 'disliked')",1.8001328,1.8271447,1.977546,1.6565497,2.3450520833333335,2.355168024698893,0.0101159413655596
40,-2.9068136,-3.3330858,"('honorable', 'mean')",-2.0996275,-2.233997,-2.7522933,-2.931832,-2.5862449010213218,-2.8329715728759766,-0.2467266718546548
95,-2.7676091,-3.1545284,"('rich', 'poor')",-2.0897558,-2.1494572,-3.2825267,-3.163774,-2.713297208150228,-2.82258669535319,-0.10928948720296194
13,-2.575208,-2.4277782,"('helpful', 'unhelpful')",-1.2407116,-1.6148565,-1.6110055,-1.3703707,-1.8089749018351238,-1.8043352762858074,0.004639625549316406
37,2.5303283,2.428041,"('good', 'evil')",0.4891491,0.6750931,1.1144433,0.56200457,1.3779735565185547,1.2217129071553547,-0.15626064936319994
41,2.200282,2.1927314,"('incorrupt', 'corrupt')",-0.34898427,0.17484301,0.5980919,0.39491588,0.8164632320404053,0.9208300908406576,0.10436685880025232
81,2.0022373,2.030965,"('industrious', 'lazy')",0.34395683,0.26545045,1.3863988,0.7817151,1.244197686513265,1.0260435740152996,-0.21815411249796535
29,-1.9729593,-2.176074,"('honest', 'immoral')",-0.56806153,-0.6937841,-1.5947967,-1.3589449,-1.378605842590332,-1.409601052602132,-0.030995210011800056
20,1.8974743,1.6604376,"('popular', 'unpopular')",0.9370508,1.0936446,-0.6914458,-0.60099036,0.7143597602844238,0.7176973025004069,0.003337542215983036
42,1.8091202,1.8213055,"('amicable', 'hostile')",-0.5140629,-0.20450434,-0.60441417,-0.539589,0.23021437724431357,0.3590706984202067,0.12885632117589316
70,1.675778,1.6813757,"('wise', 'unwise')",-0.19522333,0.026821718,0.5967981,0.3350147,0.6924509207407633,0.6810707251230875,-0.011380195617675781
78,1.6742909,1.1332293,"('active', 'inactive')",0.7474508,0.75911677,2.7052064,2.2604284,1.708982785542806,1.3842581113179524,-0.3247246742248535
2,-1.6722184,-1.4798024,"('friendly', 'unfriendly')",0.19459231,-0.13575116,-0.6570792,-0.2581233,-0.7115684350331625,-0.6245589256286621,0.08700950940450036
65,-1.6388373,-1.5554767,"('practical', 'impractical')",-0.5390277,-0.97708976,-0.47700697,-0.49535525,-0.8849573135375977,-1.0093072255452473,-0.12434991200764967
86,1.5905108,1.749958,"('self-reliant', 'helpless')",1.2327069,1.2258012,1.2130346,1.0356921,1.3454174995422363,1.3371504147847493,-0.008267084757487053
18,-1.5692225,-1.306341,"('social', 'asocial')",-0.8964422,-1.0076733,0.29425064,0.24030402,-0.7238046328226725,-0.6912368138631185,0.03256781895955396
58,-1.5659094,-1.5201012,"('able', 'clumsy')",-0.6274439,-0.7283557,-1.2856494,-1.040773,-1.1596674919128418,-1.0964099566141765,0.06325753529866529
88,1.563556,1.8192687,"('impulsive', 'meek')",-1.1465976,-0.8660234,-0.1974613,-0.33018675,0.07316567500432332,0.207686185836792,0.1345205108324687
3,1.4871099,1.6269121,"('likable', 'unlikable')",1.4528835,0.9826089,0.34990093,0.50377214,1.0966314474741619,1.0377643903096516,-0.05886705716451024
61,1.4804657,1.715029,"('rational', 'irrational')",0.0245246,0.44344828,1.0566903,0.83372045,0.853893518447876,0.9973992506663004,0.14350573221842444
64,-1.4687406,-1.580534,"('clever', 'incompetent')",-0.12672967,-0.54814935,-0.61477697,-0.32847285,-0.736749013264974,-0.8190520604451498,-0.08230304718017578
25,-1.4564099,-1.4396524,"('moral', 'immoral')",0.48388258,0.02850461,-1.4082414,-1.1850731,-0.7935895919799805,-0.8654069900512695,-0.07181739807128906
59,1.3879981,1.4707971,"('skillful', 'clumsy')",1.3247039,1.3244251,0.54154545,0.5398618,1.0847491423288982,1.1116946538289387,0.026945511500040542
82,1.3513242,1.312031,"('industrious', 'meek')",-0.111354135,-0.08458192,0.34337094,0.06528027,0.5277803341547648,0.43090979258219403,-0.09687054157257075
73,-1.3390191,-1.6772346,"('brilliant', 'incompetent')",-0.17731017,-0.80127954,0.72647697,0.51691794,-0.2632841070493062,-0.6538654168446859,-0.3905813097953797
12,-1.2802973,-1.1208498,"('sympathetic', 'unsympathetic')",-0.3112418,-0.4917265,-0.85610014,-0.4587031,-0.815879742304484,-0.6904265085856119,0.12545323371887207
106,1.2797227,0.963664,"('conventional', 'unconventional')",1.1543896,1.240008,0.22488087,0.48150492,0.8863310813903809,0.8950589497884115,0.008727868398030636
