,anadarko_male,anadarko_female,tuple,petroleum_male,petroleum_female,average_male,average_female,female-male
15,2.6578693,2.6760886,"('polite', 'impolite')",-0.055894047,-0.07404794,1.3009876012802124,1.3010202646255493,3.266334533691406e-05
75,2.4031758,2.1743693,"('confident', 'shy')",5.3568535,5.3149137,3.880014657974243,3.7446415424346924,-0.13537311553955078
16,2.2325385,2.058006,"('social', 'antisocial')",-0.7771263,-0.9921246,0.7277060747146606,0.5329407453536987,-0.19476532936096191
71,2.104817,2.0602798,"('efficient', 'inefficient')",-0.027837574,-0.67402387,1.0384896993637085,0.6931279897689819,-0.34536170959472656
109,2.0301359,2.0805674,"('conservative', 'liberal')",0.8011184,0.47369397,1.415627121925354,1.2771306037902832,-0.1384965181350708
108,2.0301359,2.0805674,"('conservative', 'liberal')",0.8011184,0.47369397,1.415627121925354,1.2771306037902832,-0.1384965181350708
2,2.0153358,2.0843177,"('friendly', 'unfriendly')",-0.86910295,-0.9816594,0.5731164216995239,0.5513291358947754,-0.021787285804748535
99,-1.8841015,-1.8045121,"('prestigious', 'insignificant')",-1.058388,-0.59089744,-1.4712448120117188,-1.197704792022705,0.27354001998901367
12,1.8090656,1.9301971,"('sympathetic', 'unsympathetic')",-0.9146943,-0.8498063,0.4471856355667114,0.5401954054832458,0.09300976991653442
19,-1.7542748,-1.7047609,"('funny', 'boring')",-0.60527545,-0.7187603,-1.1797751188278198,-1.2117606401443481,-0.03198552131652832
25,1.6602784,1.6199021,"('moral', 'immoral')",-1.4192237,-1.5141115,0.12052738666534424,0.052895307540893555,-0.06763207912445068
90,1.5439371,1.6356415,"('motivated', 'unmotivated')",0.59216154,0.5208741,1.0680493116378784,1.0782577991485596,0.010208487510681152
94,1.4864668,1.5858954,"('aggressive', 'submissive')",0.20056522,-0.26605237,0.8435159921646118,0.6599215269088745,-0.1835944652557373
60,1.4757066,1.5795585,"('educated', 'uneducated')",-0.37234697,-0.14531529,0.551679790019989,0.7171216011047363,0.16544181108474731
