,factset_male,factset_female,tuple,research_male,research_female,systems_male,systems_female,average_male,average_female,female-male
27,-2.5628085,-2.3249345,"('sincere', 'insincere')",-5.054676,-5.0145864,-3.9855163,-3.6250463,-3.8676668802897134,-3.654855728149414,0.21281115214029933
65,-2.491472,-1.8801535,"('practical', 'impractical')",-1.8191695,-1.8459179,-1.2499514,-1.0956075,-1.8535308837890625,-1.6072263717651367,0.24630451202392578
13,-1.9808004,-1.6859882,"('helpful', 'unhelpful')",-3.057179,-3.1359215,-2.4495797,-2.2480347,-2.4958529472351074,-2.3566481272379556,0.13920481999715184
95,-1.9789362,-1.9383266,"('rich', 'poor')",-4.234514,-4.1960363,-1.8301119,-1.5265316,-2.681187311808268,-2.553631623586019,0.12755568822224905
78,1.9651854,0.703195,"('active', 'inactive')",2.137723,1.8117372,2.142954,1.6869825,2.081954002380371,1.400638262430827,-0.6813157399495442
6,1.8810565,1.7317626,"('liked', 'disliked')",4.1468334,4.1066823,3.6120787,3.442338,3.213322957356771,3.093594233194987,-0.11972872416178415
77,1.7875885,1.4319215,"('active', 'inactive')",1.042047,1.2691948,1.5264605,1.4972327,1.4520320892333984,1.3994496663411458,-0.05258242289225268
37,1.7279649,0.7392328,"('good', 'evil')",2.219144,2.2769578,1.2269619,0.7390261,1.724690278371175,1.2517388661702473,-0.47295141220092773
42,1.706449,1.1965314,"('amicable', 'hostile')",1.5072408,1.7960249,0.79490876,0.66364247,1.336199442545573,1.2187329133351643,-0.11746652921040868
75,1.66488,1.7152961,"('confident', 'shy')",4.5301137,4.3883944,3.1270783,2.998608,3.1073573430379233,3.034099578857422,-0.07325776418050145
46,1.5936344,1.4580679,"('generous', 'stingy')",1.842824,1.9233289,0.7096466,0.656051,1.3820349375406902,1.3458159764607747,-0.03621896107991551
71,-1.5534532,-1.42454,"('efficient', 'inefficient')",-1.1280844,-1.4507492,-1.0975335,-1.0492771,-1.2596903642018635,-1.308188756306966,-0.04849839210510254
53,-1.5329459,-1.4681487,"('smart', 'stupid')",-3.3664136,-3.2828712,-2.718996,-2.4627676,-2.5394519170125327,-2.4045958518981934,0.13485606511433934
38,-1.4953127,-0.74445736,"('kind', 'unkind')",-2.039572,-1.830795,-1.1094748,-0.57110417,-1.5481198628743489,-1.0487855275472004,0.49933433532714844
81,1.3493516,0.68423605,"('industrious', 'lazy')",1.7091696,1.7393286,1.0877345,0.6936415,1.3820851643880208,1.0390686988830566,-0.3430164655049641
29,-1.3442708,-1.4496753,"('honest', 'immoral')",-0.8587431,-0.98159885,0.05714491,0.14110371,-0.7152896722157797,-0.7633901437123617,-0.04810047149658203
40,-1.3434525,-1.8163927,"('honorable', 'mean')",-3.7415886,-3.98901,-2.8988123,-3.07517,-2.6612844467163086,-2.960191090901693,-0.29890664418538426
74,-1.3339531,-1.5416682,"('insightful', 'unperceptive')",-1.1415855,-1.2277539,-1.2535839,-1.123372,-1.2430408795674641,-1.2975980440775554,-0.054557164510091294
22,1.2884008,1.1276313,"('welcoming', 'disagreeable')",0.8302712,0.88711655,1.123922,1.1644291,1.0808645884195964,1.0597256024678547,-0.021138985951741684
82,1.2875736,1.015535,"('industrious', 'meek')",0.7684836,0.91070557,0.56488574,0.45053512,0.8736476898193359,0.7922585805257162,-0.08138910929361975
36,-1.2482533,-0.74302983,"('tolerant', 'intolerant')",-1.2732265,-1.2262672,-2.0146532,-1.7527831,-1.5120442708333333,-1.2406934102376301,0.2713508605957031
44,-1.2115436,-1.3527046,"('truthful', 'untruthful')",-1.0737666,-1.1500385,-0.89413595,-0.9380705,-1.0598154067993164,-1.1469379266103108,-0.08712251981099439
41,1.1479192,0.5057181,"('incorrupt', 'corrupt')",1.9035165,2.0386384,1.3004918,0.92230743,1.4506425857543945,1.1555546124776204,-0.29508797327677416
