,monolithic_male,monolithic_female,tuple,pwr_male,pwr_female,sys_male,sys_female,average_male,average_female,female-male
75,2.0062299,1.8693426,"('confident', 'shy')",3.7421474,3.4246163,3.8423367,3.8553076,3.196904500325521,3.049755414326986,-0.14714908599853516
40,-1.9912612,-2.1731546,"('honorable', 'mean')",-1.6716068,-1.7035826,-2.141887,-2.4146867,-1.9349184036254883,-2.0971412658691406,-0.16222286224365234
27,-1.9562894,-1.9253252,"('sincere', 'insincere')",-2.082208,-1.6941534,-3.3295033,-3.1545753,-2.456000328063965,-2.2580180168151855,0.1979823112487793
45,-1.7216656,-1.6590732,"('cooperative', 'exploitative')",0.08287759,0.032008648,-1.7816834,-1.6432545,-1.140157143274943,-1.0901063283284504,0.05005081494649266
6,1.6140077,1.4883139,"('liked', 'disliked')",1.2978256,1.1655108,3.170233,3.205586,2.027355511983236,1.953136920928955,-0.07421859105428075
3,1.5331345,1.6005418,"('likable', 'unlikable')",0.63996685,0.75689673,1.1767662,1.2598827,1.116622527440389,1.2057737509409587,0.08915122350056981
77,1.495172,1.5236897,"('active', 'inactive')",-0.022749394,-0.18651798,1.1814946,1.1616721,0.8846391042073568,0.8329479694366455,-0.0516911347707113
97,-1.4290935,-1.1855226,"('superior', 'inferior')",-0.30874854,-0.1808881,-0.14468327,-0.06275976,-0.6275084416071574,-0.47639012336730957,0.15111831823984778
32,-1.3202071,-1.0622516,"('benevolent', 'hardhearted')",-0.24287707,-0.20628756,-0.83464324,-0.6584616,-0.7992424964904785,-0.6423335870107015,0.15690890947977698
78,1.2647171,1.0781002,"('active', 'inactive')",0.5694985,0.23943242,1.9941835,1.5371051,1.2761330604553223,0.9515458742777506,-0.32458718617757165
48,1.2374604,0.8980026,"('reliable', 'unreliable')",1.425606,1.2737131,1.5063343,1.6635001,1.389800230662028,1.2784052689870198,-0.11139496167500829
104,-1.2341595,-0.964733,"('conventional', 'unconventional')",-0.71343,-0.49549004,-0.37288725,-0.22479723,-0.773492177327474,-0.5616734425226847,0.2118187348047893
105,-1.2270428,-1.106797,"('conventional', 'modern')",-0.9601187,-0.89075047,0.05548045,0.045755267,-0.7105603218078613,-0.6505973736445109,0.05996294816335046
34,-1.1183186,-0.61798227,"('loyal', 'disloyal')",-0.82316005,-0.38914955,-0.9656007,-0.59286654,-0.9690264066060384,-0.5333327849706014,0.435693621635437
94,1.0950022,1.1322908,"('aggressive', 'submissive')",1.519084,1.468596,0.89243007,0.88236856,1.1688387393951416,1.1610851287841797,-0.007753610610961914
