,charter_male,charter_female,tuple,communications_male,communications_female,inc_male,inc_female,new_male,new_female,average_male,average_female,female-male
75,6.976665,6.677125,"('confident', 'shy')",3.6877265,3.3095999,7.114957,7.069081,4.247345,4.725128,5.506673336029053,5.445233345031738,-0.06143999099731445
27,-6.1624117,-6.1581764,"('sincere', 'insincere')",-4.6587863,-4.071034,-5.9644923,-5.753437,-4.0693674,-4.2187166,-5.213764190673828,-5.05034065246582,0.1634235382080078
6,5.83626,5.732047,"('liked', 'disliked')",3.3600664,2.9501653,5.677591,5.5762877,3.2574773,3.5818095,4.532848358154297,4.46007776260376,-0.07277059555053711
95,-5.497014,-5.672078,"('rich', 'poor')",-4.4452953,-4.15396,-5.305249,-5.3836365,-2.7676091,-3.1545284,-4.503791809082031,-4.591050624847412,-0.08725881576538086
53,-5.0347247,-5.0034046,"('smart', 'stupid')",-3.9460597,-3.469792,-4.380875,-4.512508,-3.3546703,-3.2368484,-4.17908239364624,-4.055638313293457,0.1234440803527832
40,-4.7775993,-5.0039682,"('honorable', 'mean')",-3.4959056,-3.3191624,-6.058753,-6.130642,-2.9068136,-3.3330858,-4.309767723083496,-4.446714401245117,-0.1369466781616211
86,2.5889792,2.4342053,"('self-reliant', 'helpless')",1.1547818,0.7600744,2.7533045,2.6512728,1.5905108,1.749958,2.0218939781188965,1.8988776206970215,-0.123016357421875
66,2.4772213,2.377137,"('imaginative', 'unimaginative')",0.9610909,0.60874295,2.4963121,2.4620016,0.34587073,0.7209271,1.5701236724853516,1.5422022342681885,-0.027921438217163086
32,-2.4682412,-2.319117,"('benevolent', 'hardhearted')",-0.8491373,-0.6667838,-1.3800055,-1.1813879,-0.5565795,-0.20947967,-1.313490867614746,-1.0941921472549438,0.21929872035980225
58,-2.2816486,-2.1607277,"('able', 'clumsy')",-0.8946383,-0.66016674,-1.8991308,-1.7031244,-1.5659094,-1.5201012,-1.6603317260742188,-1.5110299587249756,0.14930176734924316
34,-2.2366128,-1.8711376,"('loyal', 'disloyal')",-0.7639765,-0.24710208,-1.2905542,-1.1016616,-1.179813,-0.9404594,-1.3677390813827515,-1.0400900840759277,0.32764899730682373
48,2.2022681,1.9356692,"('reliable', 'unreliable')",1.2979889,0.8401762,2.8818831,2.660874,1.1541629,1.1235613,1.8840757608413696,1.6400701999664307,-0.24400556087493896
3,2.1217742,2.0993762,"('likable', 'unlikable')",0.3089127,0.09921006,2.201161,2.1894653,1.4871099,1.6269121,1.5297393798828125,1.503740906715393,-0.025998473167419434
11,-1.9925553,-2.133772,"('caring', 'unaffectionate')",-1.0278864,-0.9819462,-1.2535963,-1.2632395,-0.39734697,-0.45263273,-1.1678462028503418,-1.207897663116455,-0.04005146026611328
50,1.9694426,1.7460018,"('unprejudiced', 'prejudiced')",1.1085235,0.9251832,2.1868188,2.2143292,1.2686491,1.0383911,1.6333584785461426,1.4809763431549072,-0.15238213539123535
1,-1.9200127,-1.7403641,"('friendly', 'unfriendly')",-1.437258,-1.3849833,-1.2462616,-1.0772927,0.03334117,0.025989413,-1.142547845840454,-1.044162631034851,0.09838521480560303
13,-1.8654876,-2.0155718,"('helpful', 'unhelpful')",-2.825048,-2.5709589,-2.6456947,-2.6768034,-2.575208,-2.4277782,-2.4778594970703125,-2.4227781295776367,0.05508136749267578
38,-1.7954495,-1.5759443,"('kind', 'unkind')",-1.0351108,-0.59496415,-2.0396976,-1.7484714,-1.1115729,-0.71509457,-1.495457649230957,-1.1586185693740845,0.33683907985687256
28,-1.7755809,-1.6678317,"('honest', 'dishonest')",-1.1511629,-0.99509615,-1.551497,-1.4535646,-1.27389,-0.99179226,-1.4380327463150024,-1.2770711183547974,0.16096162796020508
46,1.6890938,1.7937576,"('generous', 'stingy')",1.8757446,1.6792278,2.2414412,2.3022788,0.83456933,0.996935,1.6602122783660889,1.693049669265747,0.0328373908996582
63,-1.6642857,-1.7793584,"('capable', 'incapable')",-0.6458185,-0.5400476,-1.2111347,-1.1462419,-0.33474922,-0.53823125,-0.9639970064163208,-1.0009697675704956,-0.036972761154174805
