,leidos_male,leidos_female,tuple,holdings_male,holdings_female,average_male,average_female,female-male
99,-3.3720834,-3.069704,"('prestigious', 'insignificant')",1.2655886,1.2435471,-1.0532474517822266,-0.9130784869194031,0.1401689648628235
75,2.9052877,2.8436651,"('confident', 'shy')",5.658599,6.241472,4.281943321228027,4.542568206787109,0.26062488555908203
1,-2.8822734,-2.5231519,"('friendly', 'unfriendly')",-0.8443091,-0.73054564,-1.8632912635803223,-1.6268486976623535,0.23644256591796875
94,2.812538,2.8210454,"('aggressive', 'submissive')",-0.4937843,-0.637865,1.159376859664917,1.091590166091919,-0.06778669357299805
2,2.8120852,2.7652164,"('friendly', 'unfriendly')",-1.967452,-2.1467884,0.4223165512084961,0.3092139959335327,-0.11310255527496338
42,-2.7524269,-2.432394,"('amicable', 'hostile')",2.034894,2.330525,-0.35876643657684326,-0.050934553146362305,0.30783188343048096
71,2.6521668,2.2795718,"('efficient', 'inefficient')",-2.176484,-2.4020324,0.23784136772155762,-0.06123030185699463,-0.29907166957855225
109,2.4474547,2.2659984,"('conservative', 'liberal')",-0.5183059,-0.70227265,0.96457439661026,0.7818628549575806,-0.18271154165267944
108,2.4474547,2.2659984,"('conservative', 'liberal')",-0.5183059,-0.70227265,0.96457439661026,0.7818628549575806,-0.18271154165267944
16,2.3646064,1.8013103,"('social', 'antisocial')",-0.9312005,-0.6903181,0.716702938079834,0.555496096611023,-0.16120684146881104
12,2.3208547,2.4723873,"('sympathetic', 'unsympathetic')",-2.2423363,-2.435833,0.03925919532775879,0.01827716827392578,-0.020982027053833008
15,2.2711914,2.3707254,"('polite', 'impolite')",-0.11679274,-0.06047392,1.0771993398666382,1.1551257371902466,0.0779263973236084
8,-2.085713,-1.9932345,"('open', 'distant')",1.2482275,1.1591839,-0.41874271631240845,-0.4170253276824951,0.00171738862991333
61,-2.0097566,-1.8182586,"('rational', 'irrational')",1.5563276,1.7502799,-0.22671449184417725,-0.03398936986923218,0.19272512197494507
104,-2.0073745,-1.8996615,"('conventional', 'unconventional')",-0.6435943,-0.62254924,-1.3254843950271606,-1.2611054182052612,0.06437897682189941
107,1.9710134,2.3130956,"('conventional', 'modern')",0.10567477,0.018637389,1.038344144821167,1.165866494178772,0.12752234935760498
10,-1.950019,-1.5503991,"('affectionate', 'unaffectionate')",-0.5137048,-0.071733,-1.2318618297576904,-0.8110660314559937,0.4207957983016968
98,-1.9066572,-1.8580596,"('prestigious', 'insignificant')",0.5292704,0.28390616,-0.6886934041976929,-0.7870767116546631,-0.09838330745697021
90,1.8365904,1.5067112,"('motivated', 'unmotivated')",0.28536385,-0.008630931,1.0609771013259888,0.7490401268005371,-0.31193697452545166
52,1.8285452,1.8901497,"('competitive', 'uncompetitive')",-2.1735342,-2.1972377,-0.17249447107315063,-0.15354400873184204,0.018950462341308594
76,1.7916921,1.5464786,"('secure', 'insecure')",-0.8251557,-0.9229028,0.48326823115348816,0.3117879033088684,-0.17148032784461975
66,1.7045277,1.8465989,"('imaginative', 'unimaginative')",2.2398949,2.5875924,1.9722113609313965,2.2170956134796143,0.24488425254821777
31,-1.6556472,-1.5841005,"('altruistic', 'egoistic')",-0.23184443,-0.1798492,-0.9437457919120789,-0.8819748163223267,0.0617709755897522
7,-1.6452785,-1.60824,"('outgoing', 'distant')",1.4993908,1.3998266,-0.0729438066482544,-0.10420668125152588,-0.031262874603271484
89,1.630877,1.5545619,"('daring', 'anxious')",-1.0429957,-1.3931843,0.2939406633377075,0.08068877458572388,-0.21325188875198364
25,1.623572,1.4519471,"('moral', 'immoral')",-1.6408509,-1.881067,-0.00863945484161377,-0.21455997228622437,-0.2059205174446106
40,-1.6004133,-1.7559804,"('honorable', 'mean')",-4.99464,-5.475706,-3.2975265979766846,-3.6158432960510254,-0.3183166980743408
11,-1.5241275,-0.95633894,"('caring', 'unaffectionate')",-1.9007652,-1.7334057,-1.7124463319778442,-1.3448723554611206,0.36757397651672363
41,-1.5076401,-1.2894073,"('incorrupt', 'corrupt')",2.3518035,2.3175573,0.42208170890808105,0.5140750408172607,0.09199333190917969
64,1.4624531,1.2055072,"('clever', 'incompetent')",-2.019369,-2.135729,-0.2784578800201416,-0.4651109576225281,-0.18665307760238647
4,-1.461993,-1.4240081,"('likable', 'unlikable')",-0.6982112,-0.484102,-1.0801020860671997,-0.9540550708770752,0.1260470151901245
5,1.4434539,1.2130203,"('pleasant', 'repellent')",-0.8428028,-1.1062654,0.30032554268836975,0.05337744951248169,-0.24694809317588806
93,1.3845544,1.2961149,"('dominating', 'dominated')",-0.84856683,-0.81774426,0.2679937779903412,0.23918533325195312,-0.02880844473838806
39,-1.3429503,-1.2258658,"('right', 'wrong')",0.5891806,0.95958763,-0.3768848776817322,-0.13313910365104675,0.24374577403068542
48,1.3346965,1.5334051,"('reliable', 'unreliable')",2.2076168,2.184045,1.771156668663025,1.8587250709533691,0.08756840229034424
65,1.324399,1.3251276,"('practical', 'impractical')",-1.6573434,-1.5400561,-0.1664721965789795,-0.1074642539024353,0.05900794267654419
105,-1.3214602,-0.9820367,"('conventional', 'modern')",-0.4158132,-0.3566156,-0.8686367273330688,-0.6693261861801147,0.1993105411529541
51,1.3170924,1.3556186,"('competent', 'incompetent')",-1.2937353,-1.301471,0.011678576469421387,0.027073800563812256,0.01539522409439087
32,-1.2706838,-1.3814608,"('benevolent', 'hardhearted')",-0.8464395,-0.33411533,-1.0585615634918213,-0.8577880859375,0.2007734775543213
60,1.2595698,1.5058776,"('educated', 'uneducated')",-0.8248145,-0.94968426,0.21737763285636902,0.27809667587280273,0.060719043016433716
100,1.2460618,1.4376445,"('influential', 'uninfluential')",-1.2892718,-1.0903666,-0.02160501480102539,0.1736389398574829,0.1952439546585083
92,-1.1945411,-0.83875716,"('unwavering', 'wavering')",0.9044592,0.6269298,-0.14504095911979675,-0.1059136688709259,0.03912729024887085
63,-1.1879088,-0.84691656,"('capable', 'incapable')",-0.72232276,-1.0001471,-0.955115795135498,-0.9235318303108215,0.031583964824676514
20,-1.1812809,-0.9699303,"('popular', 'unpopular')",0.4957329,0.14628363,-0.342773973941803,-0.4118233323097229,-0.06904935836791992
83,1.1737304,1.2935815,"('energetic', 'lethargic')",-1.1224997,-1.2530756,0.025615334510803223,0.02025294303894043,-0.005362391471862793
0,1.1685457,1.1597388,"('sociable', 'unsociable')",-0.70911974,-0.61730325,0.22971299290657043,0.2712177634239197,0.04150477051734924
69,-1.165141,-0.81960154,"('wise', 'foolish')",1.0331184,1.1519731,-0.06601130962371826,0.16618579626083374,0.232197105884552
