,mckesson_male,mckesson_female,tuple,h_male,h_female,b_male,b_female,o_male,o_female,c_male,c_female,average_male,average_female,female-male
16,2.756671,3.1149707,"('social', 'antisocial')",-0.40447694,-0.105376005,-0.083566815,0.10708791,0.5535013,0.7218417,-0.10334571,-0.2632357,0.5437565803527832,0.7150577545166016,0.1713011741638184
2,2.694434,3.1097105,"('friendly', 'unfriendly')",-1.4558141,-1.2038125,-0.9851281,-0.68479824,0.4117826,0.77230513,-0.7032888,-1.1985165,-0.007602906227111817,0.15897767543792723,0.16658058166503906
94,2.6468983,2.921445,"('aggressive', 'submissive')",-0.25542977,-0.2998665,-0.1956662,-0.11453688,0.54894674,0.8269983,1.2003536,0.8591554,0.7890205383300781,0.8386390686035157,0.049618530273437544
99,-2.580443,-2.9788244,"('prestigious', 'insignificant')",-0.72106117,-0.9476732,-0.050380886,-0.23653877,0.06792593,-0.4162662,-1.1878865,-0.638129,-0.8943691253662109,-1.0434864044189454,-0.14911727905273442
12,2.577509,2.884573,"('sympathetic', 'unsympathetic')",-1.9957306,-1.914644,-1.2713507,-1.0670301,-0.6232135,-0.18712288,-1.318316,-1.8164264,-0.5262204170227051,-0.4201300621032715,0.10609035491943358
75,2.3891459,2.398626,"('confident', 'shy')",5.053381,4.601119,6.0460877,5.7316656,6.04797,6.106987,7.0056243,6.856675,5.308441925048828,5.139014434814453,-0.16942749023437464
76,2.313846,2.6788352,"('secure', 'insecure')",-0.5128851,-0.33979237,-0.35083777,-0.18886438,0.80871,0.98729,0.33909023,-0.0422827,0.5195847511291504,0.6190371513366699,0.09945240020751955
82,-2.24365,-2.6536903,"('industrious', 'meek')",0.8836915,0.76090145,1.3268371,1.2311803,-0.12395218,-0.36550564,0.6996217,0.9584702,0.10850963592529297,-0.013728785514831542,-0.12223842144012452
41,-2.1791296,-2.392097,"('incorrupt', 'corrupt')",1.6149375,1.7544323,1.4726729,1.5054833,0.6905088,0.5973751,0.95896804,1.6874331,0.5115915298461914,0.6305253982543946,0.11893386840820319
71,2.1651957,2.3509881,"('efficient', 'inefficient')",-1.3221638,-1.4282824,-1.1501919,-1.2575928,-0.649714,-0.3280021,0.24135703,-0.8309188,-0.1431033968925476,-0.29876158237457273,-0.15565818548202512
8,-2.1429214,-2.522595,"('open', 'distant')",0.4287309,0.1739759,0.47173813,0.2775717,-0.4342742,-0.76228285,0.16235042,0.13326266,-0.3028752326965332,-0.5400135040283203,-0.23713827133178705
81,-2.128994,-2.5664804,"('industrious', 'lazy')",2.3270144,2.0996413,2.4595008,2.363647,0.96042186,0.66362435,1.4011408,1.8787508,1.003816795349121,0.8878366470336914,-0.11598014831542969
25,2.088216,2.1143067,"('moral', 'immoral')",-1.1566466,-1.0689654,-1.415171,-1.3988961,-0.4321211,-0.13129818,-1.1131876,-1.4846449,-0.40578203201293944,-0.39389958381652834,0.0118824481964111
0,2.0744205,2.2838063,"('sociable', 'unsociable')",-0.922349,-0.5440687,-0.95488715,-0.68590146,-0.079586625,0.33352745,-1.316535,-1.150953,-0.23978745937347412,0.04728209972381592,0.28706955909729004
