,adtalem_male,adtalem_female,tuple,global_male,global_female,education_male,education_female,average_male,average_female,female-male
27,-2.0481014,-1.6991807,"('sincere', 'insincere')",-6.1578646,-6.098837,-5.1537147,-4.7185965,-4.453226725260417,-4.172204653422038,0.2810220718383789
53,-1.887591,-1.8445829,"('smart', 'stupid')",-3.8649583,-3.863454,-4.764989,-4.654169,-3.5058460235595703,-3.4540685017903647,0.05177752176920558
37,1.6791883,1.8037014,"('good', 'evil')",1.7018265,1.4887938,2.0934312,1.8772271,1.8248154322306316,1.723240852355957,-0.10157457987467455
77,1.5244145,1.2057154,"('active', 'inactive')",0.12060036,0.079622805,0.20981562,0.25830063,0.618276834487915,0.514546275138855,-0.10373055934906006
95,-1.5173838,-1.4190977,"('rich', 'poor')",-4.525,-4.623887,-4.5290766,-4.253668,-3.523820241292318,-3.432217597961426,0.09160264333089208
75,1.4902745,0.96143615,"('confident', 'shy')",5.901215,5.993469,5.0616636,4.5365095,4.151051203409831,3.830471674601237,-0.3205795288085942
6,1.4358716,1.4639621,"('liked', 'disliked')",5.1891727,5.062105,3.4460974,2.894005,3.3570473988850913,3.140024185180664,-0.21702321370442723
7,1.4256911,1.1183996,"('outgoing', 'distant')",-0.015881479,-0.23138988,0.43006885,-0.28382075,0.6132928133010864,0.2010629971822103,-0.4122298161188761
40,-1.4234936,-1.7948519,"('honorable', 'mean')",-4.854265,-4.976851,-4.5654182,-4.6991005,-3.6143922805786133,-3.8236010869344077,-0.20920880635579442
58,-1.3800595,-1.0246006,"('able', 'clumsy')",-1.2972792,-1.1413573,-1.8276893,-1.6870918,-1.5016759236653645,-1.2843499183654785,0.217326005299886
8,1.311084,1.0644244,"('open', 'distant')",-0.11499147,-0.32670233,0.33479488,-0.11193855,0.5102958281834921,0.20859450101852417,-0.3017013271649679
78,1.2741008,0.8614161,"('active', 'inactive')",1.2361777,0.97867197,1.4098672,0.6018271,1.3067151705423992,0.813971757888794,-0.4927434126536052
65,-1.2517735,-1.4397337,"('practical', 'impractical')",-1.1880007,-1.2590193,-1.3571001,-1.6732584,-1.2656246821085613,-1.4573370615641277,-0.1917123794555664
23,1.2365572,1.1039462,"('hospitable', 'inhospitable')",-0.056301758,-0.12771893,-0.11105308,-0.2842081,0.3564008076985677,0.23067307472229004,-0.12572773297627765
