,dean_male,dean_female,tuple,foods_male,foods_female,co_male,co_female,new_male,new_female,average_male,average_female,female-male
75,7.400645,7.5169106,"('confident', 'shy')",3.745194,3.4024158,5.673871,5.3735704,4.247345,4.725128,5.266763687133789,5.2545061111450195,-0.012257575988769531
27,-6.0380783,-6.198094,"('sincere', 'insincere')",-3.7445357,-3.4681308,-4.9638863,-5.0146914,-4.0693674,-4.2187166,-4.703967094421387,-4.724907875061035,-0.020940780639648438
6,5.934166,6.18085,"('liked', 'disliked')",3.1037796,2.84728,5.5236793,5.627969,3.2574773,3.5818095,4.454775333404541,4.559476852416992,0.10470151901245117
95,-5.189172,-5.4611526,"('rich', 'poor')",-3.5241435,-3.3046207,-5.0380754,-4.956311,-2.7676091,-3.1545284,-4.129749774932861,-4.21915340423584,-0.08940362930297852
53,-4.833079,-4.700045,"('smart', 'stupid')",-3.416176,-3.4020784,-4.3112946,-4.362272,-3.3546703,-3.2368484,-3.9788050651550293,-3.9253110885620117,0.05349397659301758
40,-4.798564,-5.27021,"('honorable', 'mean')",-3.1813855,-3.2845817,-4.2676973,-4.659159,-2.9068136,-3.3330858,-3.7886149883270264,-4.136759281158447,-0.3481442928314209
48,2.9541917,3.1050982,"('reliable', 'unreliable')",0.93384176,0.7003718,2.188315,1.8972862,1.1541629,1.1235613,1.80762779712677,1.706579327583313,-0.10104846954345703
86,2.5773354,2.627763,"('self-reliant', 'helpless')",1.64149,1.3476534,2.2704453,2.383823,1.5905108,1.749958,2.0199453830718994,2.027299404144287,0.007354021072387695
66,2.41454,2.850148,"('imaginative', 'unimaginative')",1.2388039,1.0646868,1.86568,2.2137253,0.34587073,0.7209271,1.4662237167358398,1.712371826171875,0.24614810943603516
3,2.1855087,2.0190208,"('likable', 'unlikable')",0.54113626,0.42578927,1.063711,1.0466228,1.4871099,1.6269121,1.319366455078125,1.2795863151550293,-0.0397801399230957
50,2.0221677,2.1959925,"('unprejudiced', 'prejudiced')",1.2708983,1.0871174,1.7768979,1.6130642,1.2686491,1.0383911,1.5846532583236694,1.483641266822815,-0.10101199150085449
28,-1.9034561,-1.6979003,"('honest', 'dishonest')",-1.3443308,-1.3261604,-1.8666239,-1.6954603,-1.27389,-0.99179226,-1.5970752239227295,-1.427828311920166,0.16924691200256348
1,-1.881559,-1.823468,"('friendly', 'unfriendly')",-0.39044738,-0.4608666,-1.2031499,-0.6780352,0.03334117,0.025989413,-0.8604537844657898,-0.7340950965881348,0.12635868787765503
13,-1.8591394,-1.8334458,"('helpful', 'unhelpful')",-2.719457,-2.4338264,-2.5509446,-2.6753383,-2.575208,-2.4277782,-2.426187038421631,-2.342597007751465,0.08359003067016602
58,-1.799304,-1.7821351,"('able', 'clumsy')",-1.2137525,-1.0418144,-1.4955906,-1.614792,-1.5659094,-1.5201012,-1.518639087677002,-1.4897106885910034,0.028928399085998535
11,-1.7786725,-1.8193674,"('caring', 'unaffectionate')",-1.2864361,-1.2779669,-1.0189427,-0.8313039,-0.39734697,-0.45263273,-1.1203495264053345,-1.0953177213668823,0.02503180503845215
