,harman_male,harman_female,tuple,intl_male,intl_female,inds_male,inds_female,inc_male,inc_female,new_male,new_female,average_male,average_female,female-male
75,3.22333,3.3505566,"('confident', 'shy')",4.7334223,4.718852,4.4714937,4.3905754,7.114957,7.069081,4.247345,4.725128,4.758109283447266,4.850838470458984,0.0927291870117184
32,-1.9313521,-1.9011483,"('benevolent', 'hardhearted')",-1.1466358,-0.9004085,-0.36891797,-0.3049032,-1.3800055,-1.1813879,-0.5565795,-0.20947967,-1.0766982078552245,-0.8994655609130859,0.17723264694213858
95,-1.877882,-1.9543062,"('rich', 'poor')",-3.263465,-3.2528734,-3.2695189,-3.3125386,-5.305249,-5.3836365,-2.7676091,-3.1545284,-3.2967449188232423,-3.4115764617919924,-0.11483154296875009
94,1.8527434,2.1323597,"('aggressive', 'submissive')",0.779957,1.006715,0.2670535,0.5277531,0.718829,0.68567276,-0.6174553,-0.32319823,0.6002255439758301,0.8058605194091797,0.20563497543334963
53,-1.8106105,-1.5327731,"('smart', 'stupid')",-2.268868,-2.125273,-2.2911549,-2.5269065,-4.380875,-4.512508,-3.3546703,-3.2368484,-2.8212358474731447,-2.786861801147461,0.03437404632568386
107,1.76911,2.1940045,"('conventional', 'modern')",1.7414482,1.9169127,0.44551635,0.5352855,0.8527969,0.9750705,1.0958123,1.6039909,1.1809367179870605,1.4450528144836425,0.2641160964965821
27,-1.7011011,-1.4086263,"('sincere', 'insincere')",-2.0892222,-1.8426467,-3.6518192,-3.3649251,-5.9644923,-5.753437,-4.0693674,-4.2187166,-3.495200347900391,-3.317670440673828,0.1775299072265626
5,1.6228354,1.6109513,"('pleasant', 'repellent')",0.30122435,0.33934075,-0.32869992,-0.47665337,-0.71238893,-0.63735604,-0.097297505,-0.30082503,0.15713467597961425,0.10709154605865479,-0.05004312992095947
6,1.5534151,1.4060501,"('liked', 'disliked')",2.762006,2.6580708,3.793632,3.599844,5.677591,5.5762877,3.2574773,3.5818095,3.408824157714844,3.364412307739258,-0.044411849975586115
71,1.5424824,1.6701975,"('efficient', 'inefficient')",0.42234945,0.5208364,-1.1501857,-0.91798985,-0.70843303,-0.62070835,-1.2771156,-1.4559102,-0.23418049812316893,-0.16071491241455077,0.07346558570861816
99,-1.5381964,-1.8546307,"('prestigious', 'insignificant')",-0.757283,-0.8196894,0.7761292,0.43775028,-0.7684872,-0.946124,0.7842057,0.64763576,-0.300726318359375,-0.5070116519927979,-0.20628533363342283
40,-1.532397,-1.7383122,"('honorable', 'mean')",-3.0077095,-3.0984375,-2.8626857,-3.0611014,-6.058753,-6.130642,-2.9068136,-3.3330858,-3.2736717224121095,-3.4723159790039064,-0.19864425659179696
16,1.4431093,1.723562,"('social', 'antisocial')",0.4193289,0.72917986,-0.5960188,-0.24580947,0.5543021,0.54720175,-0.8021402,-0.50254613,0.20371627807617188,0.4503176212310791,0.24660134315490723
78,1.355822,0.83660567,"('active', 'inactive')",1.0169973,0.6015024,2.1099143,1.9451115,1.9014573,1.6172376,1.6742909,1.1332293,1.611696434020996,1.2267373085021973,-0.38495912551879874
46,1.3185109,1.1942718,"('generous', 'stingy')",1.141415,1.0539424,1.1813118,1.1692072,2.2414412,2.3022788,0.83456933,0.996935,1.3434496879577638,1.343326950073242,-0.000122737884521662
90,1.3071107,1.0158235,"('motivated', 'unmotivated')",0.66308516,0.6155364,0.2505302,0.32184827,0.5110009,0.47775382,-0.115985096,-0.5120882,0.5231483459472657,0.383774733543396,-0.1393736124038697
68,-1.2698512,-1.4360404,"('clever', 'inept')",-0.024482459,-0.066856384,0.09121126,-0.13587606,-0.6262408,-0.85941315,-0.6454199,-0.8717228,-0.49495658874511717,-0.673981761932373,-0.17902517318725586
66,1.2448566,1.5015532,"('imaginative', 'unimaginative')",1.5942949,1.8515929,1.4438636,1.5991547,2.4963121,2.4620016,0.34587073,0.7209271,1.4250396728515624,1.6270460128784179,0.20200634002685547
15,1.2095675,1.5872327,"('polite', 'impolite')",1.0721871,1.3834951,-0.12585866,0.23446585,1.210203,1.3912718,-0.60293305,-0.018667951,0.5526331901550293,0.9155594825744628,0.3629262924194335
20,1.172548,1.1485748,"('popular', 'unpopular')",-0.79925895,-0.6287327,0.3854226,0.3731607,-0.43265462,-0.544796,1.8974743,1.6604376,0.44470624923706054,0.4017289161682129,-0.042977333068847656
76,1.1313542,1.4989506,"('secure', 'insecure')",0.9734171,1.3532734,-0.2847248,-0.11316648,0.83827037,0.84754825,-0.46814716,-0.3669712,0.4380339622497559,0.6439268589019775,0.20589289665222166
98,-1.0731328,-1.4473348,"('prestigious', 'insignificant')",-0.8618865,-1.0224617,1.1046159,0.6889021,-0.79852724,-0.9195298,0.27524158,0.15429056,-0.2707377910614014,-0.5092267036437989,-0.23848891258239746
