,transocean_male,transocean_female,tuple,average_male,average_female,female-male
75,2.438852,2.3750691,"('confident', 'shy')",2.438852071762085,2.3750691413879395,-0.06378293037414551
12,2.020132,2.0446005,"('sympathetic', 'unsympathetic')",2.020132064819336,2.044600486755371,0.024468421936035156
66,1.7892804,1.7896299,"('imaginative', 'unimaginative')",1.7892804145812988,1.7896299362182617,0.0003495216369628906
64,1.5995413,1.5823593,"('clever', 'incompetent')",1.5995413064956665,1.5823593139648438,-0.017181992530822754
0,1.5936433,1.6619744,"('sociable', 'unsociable')",1.593643307685852,1.6619744300842285,0.06833112239837646
40,-1.5871791,-1.7650456,"('honorable', 'mean')",-1.5871790647506714,-1.7650456428527832,-0.17786657810211182
52,1.5672373,1.437942,"('competitive', 'uncompetitive')",1.5672372579574585,1.4379420280456543,-0.1292952299118042
100,1.5556833,1.5892805,"('influential', 'uninfluential')",1.5556832551956177,1.5892804861068726,0.03359723091125488
15,1.5444179,1.634017,"('polite', 'impolite')",1.5444178581237793,1.634016990661621,0.0895991325378418
81,-1.541064,-1.7505641,"('industrious', 'lazy')",-1.5410640239715576,-1.7505640983581543,-0.20950007438659668
51,1.5408473,1.3936763,"('competent', 'incompetent')",1.5408473014831543,1.3936762809753418,-0.1471710205078125
53,-1.4206378,-1.4922335,"('smart', 'stupid')",-1.420637845993042,-1.4922335147857666,-0.07159566879272461
107,1.3474836,1.5340565,"('conventional', 'modern')",1.3474836349487305,1.534056544303894,0.18657290935516357
6,1.3269707,1.3192445,"('liked', 'disliked')",1.3269706964492798,1.3192445039749146,-0.007726192474365234
2,1.2946638,1.3970186,"('friendly', 'unfriendly')",1.2946637868881226,1.397018551826477,0.10235476493835449
16,1.2901946,1.4179244,"('social', 'antisocial')",1.2901946306228638,1.417924404144287,0.12772977352142334
78,1.2672853,0.68600756,"('active', 'inactive')",1.2672853469848633,0.686007559299469,-0.5812777876853943
14,1.2587609,1.0683755,"('supportive', 'unsupportive')",1.258760929107666,1.0683754682540894,-0.19038546085357666
18,1.2566338,1.3546131,"('social', 'asocial')",1.2566337585449219,1.3546130657196045,0.09797930717468262
91,1.2563219,1.0688524,"('resilient', 'nonresilient')",1.256321907043457,1.068852424621582,-0.187469482421875
49,1.1247123,1.0938767,"('responsible', 'irresponsible')",1.124712347984314,1.0938767194747925,-0.030835628509521484
70,1.1180971,1.1301284,"('wise', 'unwise')",1.1180970668792725,1.1301283836364746,0.012031316757202148
94,1.1161802,1.4262162,"('aggressive', 'submissive')",1.116180181503296,1.4262162446975708,0.3100360631942749
82,-1.074902,-1.0910442,"('industrious', 'meek')",-1.074902057647705,-1.0910441875457764,-0.01614212989807129
95,-1.0571412,-1.026439,"('rich', 'poor')",-1.0571411848068237,-1.0264389514923096,0.03070223331451416
90,1.0550257,0.8705441,"('motivated', 'unmotivated')",1.0550256967544556,0.8705440759658813,-0.18448162078857422
71,1.046052,0.913789,"('efficient', 'inefficient')",1.0460519790649414,0.9137889742851257,-0.13226300477981567
76,1.0452439,1.2495078,"('secure', 'insecure')",1.0452438592910767,1.2495077848434448,0.20426392555236816
73,1.0431585,0.8355326,"('brilliant', 'incompetent')",1.0431585311889648,0.8355326056480408,-0.20762592554092407
23,1.0020949,0.8984483,"('hospitable', 'inhospitable')",1.0020948648452759,0.8984482884407043,-0.10364657640457153
68,0.95320094,0.76035017,"('clever', 'inept')",0.9532009363174438,0.7603501677513123,-0.1928507685661316
29,0.93324935,0.7744476,"('honest', 'immoral')",0.9332493543624878,0.7744476199150085,-0.15880173444747925
103,0.9191327,0.95639586,"('traditional', 'modern')",0.9191327095031738,0.9563958644866943,0.03726315498352051
54,0.9171022,0.5825516,"('smart', 'stupid')",0.9171022176742554,0.5825515985488892,-0.3345506191253662
17,0.8917269,0.96954215,"('social', 'antisocial')",0.8917269110679626,0.9695421457290649,0.0778152346611023
98,-0.8766781,-0.92105806,"('prestigious', 'insignificant')",-0.8766781091690063,-0.9210580587387085,-0.04437994956970215
30,0.84218514,0.79040366,"('honest', 'dishonest')",0.8421851396560669,0.7904036641120911,-0.05178147554397583
83,0.8295616,0.7683102,"('energetic', 'lethargic')",0.8295615911483765,0.7683101892471313,-0.06125140190124512
21,0.80877835,0.672471,"('nice', 'nasty')",0.8087783455848694,0.6724709868431091,-0.13630735874176025
41,-0.8078052,-0.77586246,"('incorrupt', 'corrupt')",-0.8078051805496216,-0.775862455368042,0.03194272518157959
45,-0.806909,-0.8922212,"('cooperative', 'exploitative')",-0.8069090247154236,-0.892221212387085,-0.08531218767166138
80,0.79490864,0.9240077,"('independent', 'dependent')",0.7949086427688599,0.9240077137947083,0.1290990710258484
104,-0.78334093,-0.79246986,"('conventional', 'unconventional')",-0.7833409309387207,-0.79246985912323,-0.009128928184509277
28,0.7647457,0.80051386,"('honest', 'dishonest')",0.7647457122802734,0.8005138635635376,0.03576815128326416
1,0.7605454,0.82878554,"('friendly', 'unfriendly')",0.7605453729629517,0.8287855386734009,0.06824016571044922
110,-0.7493041,-0.7707819,"('narrow-minded', 'open-minded')",-0.7493041157722473,-0.7707818746566772,-0.02147775888442993
22,0.7351674,0.6586727,"('welcoming', 'disagreeable')",0.735167384147644,0.6586726903915405,-0.07649469375610352
32,-0.7334573,-0.6321015,"('benevolent', 'hardhearted')",-0.7334573268890381,-0.6321014761924744,0.10135585069656372
9,0.72994214,0.5779388,"('sensitive', 'insensitive')",0.7299421429634094,0.5779387950897217,-0.15200334787368774
57,0.7206162,0.63849497,"('able', 'unable')",0.7206162214279175,0.6384949684143066,-0.08212125301361084
25,0.7136114,0.8625873,"('moral', 'immoral')",0.7136114239692688,0.8625872731208801,0.14897584915161133
31,-0.69529045,-0.70254254,"('altruistic', 'egoistic')",-0.6952904462814331,-0.7025425434112549,-0.007252097129821777
72,0.6724238,0.6951929,"('logical', 'illogical')",0.672423779964447,0.6951928734779358,0.02276909351348877
88,-0.63969254,-0.47701067,"('impulsive', 'meek')",-0.6396925449371338,-0.47701066732406616,0.16268187761306763
85,0.63505685,0.74512005,"('ambitious', 'unambitious')",0.6350568532943726,0.7451200485229492,0.11006319522857666
55,0.60613984,0.56383485,"('intelligent', 'unintelligent')",0.6061398386955261,0.5638348460197449,-0.04230499267578125
67,0.59610975,0.67723495,"('discriminating', 'undiscriminating')",0.5961097478866577,0.677234947681427,0.08112519979476929
26,0.5931616,0.67044806,"('trustworthy', 'untrustworthy')",0.5931615829467773,0.6704480648040771,0.0772864818572998
105,-0.5698476,-0.48850125,"('conventional', 'modern')",-0.569847583770752,-0.48850125074386597,0.08134633302688599
27,-0.5591687,-0.39384282,"('sincere', 'insincere')",-0.5591686964035034,-0.39384281635284424,0.16532588005065918
50,-0.55513847,-0.6535729,"('unprejudiced', 'prejudiced')",-0.5551384687423706,-0.6535729169845581,-0.0984344482421875
33,0.5222213,0.3191438,"('softhearted', 'hardhearted')",0.5222213268280029,0.31914380192756653,-0.2030775249004364
4,-0.5140431,-0.46463645,"('likable', 'unlikable')",-0.5140430927276611,-0.4646364450454712,0.04940664768218994
99,-0.5104388,-0.36124083,"('prestigious', 'insignificant')",-0.5104387998580933,-0.36124083399772644,0.14919796586036682
60,0.50217277,0.8319595,"('educated', 'uneducated')",0.5021727681159973,0.8319594860076904,0.3297867178916931
74,0.493728,0.45642573,"('insightful', 'unperceptive')",0.49372801184654236,0.4564257264137268,-0.03730228543281555
3,0.48933274,0.5602097,"('likable', 'unlikable')",0.48933273553848267,0.5602096915245056,0.07087695598602295
11,0.48362535,0.49661076,"('caring', 'unaffectionate')",0.4836253523826599,0.49661076068878174,0.012985408306121826
47,0.4686178,0.54909253,"('forgiving', 'unforgiving')",0.4686177968978882,0.5490925312042236,0.08047473430633545
