,starwood_male,starwood_female,tuple,hotels_male,hotels_female,&_male,&_female,rest_male,rest_female,wldwd_male,wldwd_female,average_male,average_female,female-male
75,1.6543064,1.5333253,"('confident', 'shy')",3.8250513,3.5123136,4.0087137,4.0352073,4.088832,3.6963367,2.7738934,2.8116577,3.270159149169922,3.1177682876586914,-0.15239086151123038
107,1.2901977,1.4530687,"('conventional', 'modern')",-0.7088547,-0.6830318,0.44311655,0.51828825,-1.6692177,-1.3735294,0.5340142,0.61929345,-0.022148776054382324,0.10681784152984619,0.1289666175842285
94,1.2684677,1.439235,"('aggressive', 'submissive')",-0.5500312,-0.45244205,0.45391607,0.68634987,-2.0149379,-1.821396,1.3817563,1.5348914,0.10783419609069825,0.2773276329040527,0.16949343681335446
103,1.249043,1.0797117,"('traditional', 'modern')",0.736186,0.917063,0.43213966,0.44099018,1.1190497,1.2525396,0.33087796,0.5565938,0.7734592914581299,0.8493796348571777,0.07592034339904785
90,1.1385024,0.87496156,"('motivated', 'unmotivated')",1.4928144,1.3303161,0.6029837,0.55173934,0.956244,0.61488485,1.023706,0.84815645,1.0428500175476074,0.8440116882324219,-0.19883832931518552
68,-1.1296053,-1.0388029,"('clever', 'inept')",-0.78705746,-0.9311397,-1.4675927,-1.5158814,-1.2547301,-1.5267184,-0.4142034,-0.43059123,-1.0106378555297852,-1.088626766204834,-0.07798891067504865
5,1.0565423,0.8847208,"('pleasant', 'repellent')",-0.40831655,-0.40371513,0.30515563,0.32166058,-0.38421488,-0.528531,0.42668778,0.49724612,0.1991708517074585,0.15427627563476562,-0.04489457607269287
11,-1.0490583,-1.0043795,"('caring', 'unaffectionate')",-1.2140669,-1.2588124,-0.93532413,-0.9677944,-0.71343577,-1.2813525,0.093642585,0.073648944,-0.7636485576629639,-0.8877379417419433,-0.1240893840789794
37,0.9472443,0.8157283,"('good', 'evil')",1.7109387,1.4753838,0.43938786,0.26428354,3.342064,3.2404838,0.84154713,0.4963662,1.4562363624572754,1.2584490776062012,-0.19778728485107422
78,0.94190395,0.68084127,"('active', 'inactive')",1.360819,0.9862274,1.0016036,0.7120829,2.7126584,2.1166506,0.38085485,-0.050414115,1.2795679092407226,0.8890775680541992,-0.39049034118652337
15,0.9147362,0.99403363,"('polite', 'impolite')",-0.8791871,-0.60698664,0.7157667,0.84402835,-1.8338634,-1.648771,1.2798764,1.6083935,0.03946576118469238,0.23813955783843993,0.19867379665374754
2,0.87896734,1.165305,"('friendly', 'unfriendly')",-0.36932936,-0.00324592,0.10653454,0.399545,-2.444124,-2.1818383,1.4118032,1.778098,-0.0832296371459961,0.23157274723052979,0.31480238437652586
73,-0.848967,-1.0356846,"('brilliant', 'incompetent')",-1.6606009,-1.738695,0.13757253,-0.0800339,-1.533534,-2.2033708,-0.027462669,0.068155855,-0.7865984439849854,-0.9979256629943848,-0.21132721900939944
54,0.8326007,0.6236523,"('smart', 'stupid')",0.5509918,0.42887935,1.0975463,1.0455928,0.3409402,-0.060971588,1.3227937,0.9069377,0.8289745330810547,0.5888181686401367,-0.24015636444091804
10,-0.82191724,-0.5946286,"('affectionate', 'unaffectionate')",-0.33247802,-0.35332853,0.22535588,0.18459022,0.48587435,0.06471658,0.37646264,0.31192344,-0.013340473175048828,-0.07734537124633789,-0.06400489807128906
46,0.81506306,0.87235135,"('generous', 'stingy')",1.423143,1.3008637,1.1583265,1.4427539,1.5025179,1.9494631,0.5503938,0.75586027,1.0898889541625976,1.264258575439453,0.1743696212768555
109,0.8106116,0.59983176,"('conservative', 'liberal')",0.51843125,0.6050546,1.8477361,2.2259586,-0.72711873,-0.8080635,0.92194295,1.2853878,0.674320650100708,0.7816338539123535,0.10731320381164555
108,0.8106116,0.59983176,"('conservative', 'liberal')",0.51843125,0.6050546,1.8477361,2.2259586,-0.72711873,-0.8080635,0.92194295,1.2853878,0.674320650100708,0.7816338539123535,0.10731320381164555
22,0.8050632,0.29324198,"('welcoming', 'disagreeable')",-0.07035032,-0.274447,-0.26900083,-0.2040399,1.0076282,0.99746245,1.3134979,1.1384678,0.5573676109313965,0.3901370525360107,-0.1672305583953858
16,0.79886556,0.9836887,"('social', 'antisocial')",-1.770366,-1.6931438,0.2795266,0.46477503,-1.8106935,-1.6887829,0.6802784,0.9498314,-0.364477801322937,-0.19672633409500123,0.16775146722793577
41,-0.7912236,-0.6826751,"('incorrupt', 'corrupt')",1.9942205,1.9622563,0.18403721,0.1262362,1.5087528,1.7356572,0.2541895,0.26204443,0.6299952983856201,0.6807038307189941,0.05070853233337402
40,-0.77640575,-0.8859566,"('honorable', 'mean')",-4.1169763,-3.994373,-3.1803021,-3.355461,-3.4051666,-3.8171754,-1.9654198,-2.2440767,-2.688854217529297,-2.859408378601074,-0.17055416107177734
28,-0.7665955,-0.56887394,"('honest', 'dishonest')",-1.3616508,-1.3815515,-2.4815605,-2.3089046,-1.9773793,-2.0652702,-0.4825476,-0.39782107,-1.4139468193054199,-1.344484233856201,0.0694625854492188
95,-0.7646957,-0.85127914,"('rich', 'poor')",-5.621999,-5.2527323,-4.6163955,-4.796937,-3.8911977,-3.9216194,-2.0967836,-2.209727,-3.3982139587402345,-3.4064590454101564,-0.008245086669921964
19,-0.7379212,-0.7450086,"('funny', 'boring')",-0.04504037,-0.06064892,0.20886248,0.038226932,0.13505194,0.13824221,-0.29982758,-0.33153138,-0.14777493476867676,-0.19214394092559814,-0.04436900615692138
27,-0.7372946,-0.7158823,"('sincere', 'insincere')",-5.093645,-4.6459208,-4.1355467,-3.9827933,-4.9224977,-4.8106627,-1.8657892,-1.7042509,-3.3509544372558593,-3.1719022750854493,0.17905216217040998
76,0.73099256,0.80925816,"('secure', 'insecure')",-0.34145147,-0.44138688,-0.3842275,0.030869126,-1.8367518,-1.3388507,0.54191613,0.9637293,-0.2579044342041016,0.004723799228668213,0.2626282334327698
106,0.72667783,0.7970393,"('conventional', 'unconventional')",0.17038095,0.28124964,1.2993984,1.4505728,-0.12756369,0.18201974,-0.023367465,0.11362773,0.4091052055358887,0.5649018287658691,0.15579662322998045
99,-0.7253122,-0.8104919,"('prestigious', 'insignificant')",-0.34807873,-0.3462928,-0.7048128,-1.1830682,2.4159966,2.1032012,-0.44468287,-0.71471125,0.038621991872787476,-0.19027258157730104,-0.2288945734500885
33,-0.69366425,-0.71348125,"('softhearted', 'hardhearted')",-0.22373521,-0.09065527,-0.60674417,-0.23359776,-1.0279527,-0.6981998,-0.73475003,-0.6895775,-0.6573692798614502,-0.48510231971740725,0.17226696014404297
32,-0.68153334,-0.47101718,"('benevolent', 'hardhearted')",-1.8936793,-1.8223121,-1.297818,-0.9707644,-0.54384553,-0.38423008,0.0039566755,0.09827821,-0.8825838088989257,-0.7100090980529785,0.17257471084594722
80,0.6489099,0.38338423,"('independent', 'dependent')",0.64395714,0.73774225,0.06652625,0.013384938,-0.19276801,-0.24970973,0.6825597,0.7614528,0.36983702182769773,0.3292508840560913,-0.04058613777160641
97,-0.63815683,-0.60864896,"('superior', 'inferior')",0.22346783,0.46293002,-0.8253244,-0.8584398,0.4598617,0.65634435,0.06239319,0.08227903,-0.14355169534683226,-0.053107070922851565,0.0904446244239807
104,-0.6153696,-0.436949,"('conventional', 'unconventional')",0.33949798,0.5219623,-0.45263612,-0.33058608,-0.111441836,0.11268194,-0.047667876,0.05053521,-0.17752349376678467,-0.01647113114595413,0.16105236262083053
44,-0.5753299,-0.49056327,"('truthful', 'untruthful')",-0.794055,-0.81361616,-0.52573866,-0.6208297,-0.8463738,-1.4635062,0.51633173,0.4611532,-0.4450331211090088,-0.5854724407196045,-0.1404393196105957
0,0.5469483,0.8608214,"('sociable', 'unsociable')",-1.8429093,-1.4912338,-0.19430423,0.21850747,-2.258393,-2.1360054,0.8834978,1.2628117,-0.5730320930480957,-0.2570197105407715,0.31601238250732416
67,-0.5239926,-0.34234616,"('discriminating', 'undiscriminating')",-1.0184388,-1.0146656,-0.9230713,-0.78169817,-0.8091543,-0.60248184,-0.35052943,-0.3661617,-0.7250372886657714,-0.6214707374572754,0.103566551208496
13,-0.51596093,-0.52842814,"('helpful', 'unhelpful')",-2.364194,-1.9564481,-1.4792297,-1.5617889,-3.301239,-3.4887614,0.064074755,0.23862347,-1.5193098068237305,-1.4593605995178223,0.05994920730590825
50,0.51429605,0.36178628,"('unprejudiced', 'prejudiced')",1.3502505,1.0451179,2.6318374,2.5001001,1.0269002,1.0844755,0.7257848,0.78659356,1.2498137474060058,1.1556146621704102,-0.09419908523559561
110,-0.50933266,-0.44641048,"('narrow-minded', 'open-minded')",0.666783,0.65744984,0.9423672,0.7834036,0.2833401,0.560905,0.057132423,0.078662686,0.2880579948425293,0.32680211067199705,0.03874411582946774
60,0.49744856,0.5641949,"('educated', 'uneducated')",-1.4623997,-1.0425923,-1.7056144,-1.5260056,-1.1169146,-0.8079546,0.7532275,1.085039,-0.6068505764007568,-0.3454637289047241,0.2613868474960327
45,-0.49559897,-0.6866509,"('cooperative', 'exploitative')",-0.18892728,-0.33824825,0.0488908,-0.1737825,-0.5692501,-0.76201886,0.4281146,0.5680042,-0.15535420179367065,-0.27853927612304685,-0.1231850743293762
85,0.48840326,0.51829517,"('ambitious', 'unambitious')",-1.2019563,-1.2453103,0.2667089,0.29304048,-0.025191113,-0.103978425,-0.29786217,-0.22586153,-0.15397948026657104,-0.15276292562484742,0.0012165546417236273
69,-0.4883104,-0.68030834,"('wise', 'foolish')",0.7500738,0.7409271,-0.6729833,-0.9875402,0.51795655,0.20690039,-0.2501698,-0.27656373,-0.028686630725860595,-0.19931695461273194,-0.17063032388687135
4,-0.48712426,-0.7722422,"('likable', 'unlikable')",-2.168847,-2.4074705,-0.74760413,-1.01613,-1.1750891,-1.4434828,0.2210544,0.20120314,-0.871522045135498,-1.087624454498291,-0.2161024093627929
65,-0.47484398,-0.5780847,"('practical', 'impractical')",-2.0152397,-2.025306,-0.5269672,-0.39912766,-2.9077926,-3.397924,-0.45017314,-0.29545796,-1.275003433227539,-1.3391799926757812,-0.06417655944824219
88,-0.46265277,-0.30614778,"('impulsive', 'meek')",1.6762376,1.605769,1.1357977,0.689323,2.1477566,1.9340922,0.036221117,-0.007177174,0.9066720008850098,0.7831718921661377,-0.12350010871887207
6,0.44761148,0.49360567,"('liked', 'disliked')",4.047118,3.7196069,4.5879793,4.393346,4.0350046,3.5286484,1.7834736,1.8125956,2.9802373886108398,2.789560317993164,-0.1906770706176757
25,0.44533584,0.13523646,"('moral', 'immoral')",-1.1534293,-1.0291438,-0.5495923,-0.42972127,-2.84994,-3.109743,0.80853295,0.9333229,-0.6598186016082763,-0.7000097274780274,-0.04019112586975104
102,0.43207964,0.10604468,"('eminent', 'low')",-1.8255452,-1.4187644,-0.29299122,-0.49591234,-0.57162607,-0.3209328,1.1108918,0.9876621,-0.2294382095336914,-0.22838053703308106,0.0010576725006103405
74,0.43196967,0.3129029,"('insightful', 'unperceptive')",-1.9533666,-1.6980755,-2.2165906,-2.3376427,-1.4618448,-1.6047217,-0.4111585,-0.47098744,-1.1221982002258302,-1.1597048759460449,-0.03750667572021471
