,seagate_male,seagate_female,tuple,technology_male,technology_female,holdings_male,holdings_female,average_male,average_female,female-male
75,2.8074136,2.4401617,"('confident', 'shy')",4.2843723,3.8183107,5.658599,6.241472,4.250128428141276,4.166648228963216,-0.08348019917806049
107,2.2655942,2.2739248,"('conventional', 'modern')",1.6817865,1.7180911,0.10567477,0.018637389,1.3510185877482097,1.336884339650472,-0.014134248097737778
53,-2.1621451,-2.0576057,"('smart', 'stupid')",-3.5648751,-3.3069253,-4.6145515,-4.657486,-3.447190602620443,-3.340672175089518,0.10651842753092478
109,2.1182926,1.8218288,"('conservative', 'liberal')",0.62105006,0.5297653,-0.5183059,-0.70227265,0.7403456370035807,0.5497738520304362,-0.19057178497314453
108,2.1182926,1.8218288,"('conservative', 'liberal')",0.62105006,0.5297653,-0.5183059,-0.70227265,0.7403456370035807,0.5497738520304362,-0.19057178497314453
94,2.035573,1.7222761,"('aggressive', 'submissive')",-0.4548814,-0.5782206,-0.4937843,-0.637865,0.36230242252349854,0.16873015960057577,-0.19357226292292276
103,1.7820649,1.7194647,"('traditional', 'modern')",2.5831323,2.6984918,0.35770303,0.016626373,1.5743001302083333,1.478194236755371,-0.09610589345296217
90,1.7379007,1.5010587,"('motivated', 'unmotivated')",-0.20765167,-0.25183707,0.28536385,-0.008630931,0.6052043437957764,0.4135301907857259,-0.19167415301005047
2,1.7297544,1.5543628,"('friendly', 'unfriendly')",-0.6264745,-0.51075757,-1.967452,-2.1467884,-0.2880573670069377,-0.36772771676381427,-0.07967034975687659
68,-1.7252507,-1.8093193,"('clever', 'inept')",-1.388596,-1.4264593,-1.1536158,-1.3113605,-1.4224875768025715,-1.515713055928548,-0.09322547912597656
71,1.6941035,1.285143,"('efficient', 'inefficient')",-0.31770676,-0.5442336,-2.176484,-2.4020324,-0.2666958173116048,-0.5537076791127523,-0.2870118618011475
40,-1.6622651,-1.6728292,"('honorable', 'mean')",-3.4076068,-3.229173,-4.99464,-5.475706,-3.354837417602539,-3.4592361450195312,-0.10439872741699219
42,-1.6085058,-1.2764195,"('amicable', 'hostile')",0.2423858,0.43354434,2.034894,2.330525,0.22292462984720865,0.4958832263946533,0.2729585965474447
60,1.5555543,1.5244522,"('educated', 'uneducated')",-0.8345183,-0.41875207,-0.8248145,-0.94968426,-0.03459284702936808,0.05200529098510742,0.0865981380144755
15,1.5117207,1.3776987,"('polite', 'impolite')",0.30762345,0.43488568,-0.11679274,-0.06047392,0.5675171216328939,0.5840368270874023,0.016519705454508427
99,-1.4996752,-1.2428492,"('prestigious', 'insignificant')",-1.706446,-1.4715466,1.2655886,1.2435471,-0.6468441883722941,-0.49028297265370685,0.15656121571858722
52,1.4797393,1.2232451,"('competitive', 'uncompetitive')",0.14668304,0.1468715,-2.1735342,-2.1972377,-0.18237058321634927,-0.2757070064544678,-0.0933364232381185
104,-1.4728969,-1.0663626,"('conventional', 'unconventional')",-0.083548814,0.27626783,-0.6435943,-0.62254924,-0.733346700668335,-0.4708813428878784,0.26246535778045654
19,-1.4582102,-1.3676869,"('funny', 'boring')",-0.57479155,-0.53433347,0.87662005,1.088836,-0.38546061515808105,-0.2710614601771037,0.11439915498097736
32,-1.367492,-1.0493366,"('benevolent', 'hardhearted')",-1.2607796,-1.1688459,-0.8464395,-0.33411533,-1.1582369804382324,-0.8507659435272217,0.30747103691101074
5,1.3599838,1.0596244,"('pleasant', 'repellent')",0.21540399,0.26363343,-0.8428028,-1.1062654,0.2441950043042501,0.07233083248138428,-0.1718641718228658
10,-1.3325177,-0.90069133,"('affectionate', 'unaffectionate')",-1.0886358,-0.9393084,-0.5137048,-0.071733,-0.9782861073811849,-0.6372442245483398,0.3410418828328451
25,1.2587669,0.9382078,"('moral', 'immoral')",-1.2544924,-1.0782573,-1.6408509,-1.881067,-0.5455254713694254,-0.6737054983774821,-0.12818002700805664
41,-1.2542855,-1.0382376,"('incorrupt', 'corrupt')",0.8519176,0.960517,2.3518035,2.3175573,0.6498119036356608,0.7466122309366862,0.09680032730102539
12,1.2381563,1.1440543,"('sympathetic', 'unsympathetic')",-0.1506499,-0.05805701,-2.2423363,-2.435833,-0.38494328657786053,-0.44994521141052246,-0.06500192483266193
1,-1.2168599,-0.83425885,"('friendly', 'unfriendly')",-1.4575164,-1.1979148,-0.8443091,-0.73054564,-1.1728951930999756,-0.9209063847859701,0.2519888083140055
98,-1.2051176,-1.0950055,"('prestigious', 'insignificant')",-1.1411144,-0.9472679,0.5292704,0.28390616,-0.6056538422902426,-0.5861224333445231,0.019531408945719475
0,1.2011737,1.2318449,"('sociable', 'unsociable')",-0.3882349,-0.048843503,-0.70911974,-0.61730325,0.034606337547302246,0.1885660489400228,0.15395971139272055
76,1.166875,1.0244635,"('secure', 'insecure')",1.2798936,1.3546941,-0.8251557,-0.9229028,0.5405376752217611,0.48541824022928876,-0.05511943499247235
16,1.1575351,0.85236514,"('social', 'antisocial')",-1.2037413,-1.1298462,-0.9312005,-0.6903181,-0.3258022467295329,-0.32259972890218097,0.003202517827351925
69,-1.1159499,-0.8318831,"('wise', 'foolish')",-0.65682846,-0.5200558,1.0331184,1.1519731,-0.24655330181121826,-0.06665523846944173,0.17989806334177655
67,-1.1016097,-1.0879127,"('discriminating', 'undiscriminating')",-0.24411757,-0.24877724,-0.95261633,-0.67132825,-0.7661145528157552,-0.6693394184112549,0.09677513440450036
8,-1.0988019,-0.9640024,"('open', 'distant')",0.63439524,0.41199297,1.2482275,1.1591839,0.2612736225128174,0.2023914853731791,-0.058882137139638274
61,-1.0424368,-0.6748471,"('rational', 'irrational')",-0.26894647,-0.057297982,1.5563276,1.7502799,0.08164811134338379,0.33937827746073407,0.2577301661173503
14,1.0059013,0.92943317,"('supportive', 'unsupportive')",-0.27980688,-0.39534724,0.6490345,0.9883406,0.45837632815043133,0.5074755350748698,0.04909920692443842
83,1.000266,0.9125631,"('energetic', 'lethargic')",0.7165779,0.73327947,-1.1224997,-1.2530756,0.19811471303304037,0.1309223175048828,-0.06719239552815756
31,-0.99249107,-0.8440642,"('altruistic', 'egoistic')",-0.6431649,-0.4272566,-0.23184443,-0.1798492,-0.6225001017252604,-0.48372332255045575,0.13877677917480463
95,-0.9920593,-1.0052971,"('rich', 'poor')",-3.959181,-3.432728,-6.1715283,-6.6570215,-3.7075894673665366,-3.6983489990234375,0.009240468343099106
49,0.97664154,0.82144254,"('responsible', 'irresponsible')",-0.5239083,-0.5306771,-1.8007641,-1.7896037,-0.44934360186258954,-0.4996127287546794,-0.050269126892089844
78,0.96303904,0.7151195,"('active', 'inactive')",1.6712054,1.2708251,1.5063173,1.2957523,1.380187193552653,1.0938989321390789,-0.2862882614135742
3,0.9342259,0.80974203,"('likable', 'unlikable')",0.6347776,0.45715207,1.212531,1.376033,0.9271782239278158,0.8809757232666016,-0.04620250066121423
38,0.93349826,0.98127323,"('kind', 'unkind')",-1.5604112,-1.1344793,-2.1110625,-2.1741424,-0.9126585324605306,-0.7757828235626221,0.13687570889790857
4,-0.8921287,-1.0386692,"('likable', 'unlikable')",-1.3062067,-1.2714843,-0.6982112,-0.484102,-0.9655155340830485,-0.9314184983571371,0.034097035725911384
17,0.87926024,0.87457836,"('social', 'antisocial')",-0.90899944,-0.7850878,-0.89735305,-0.5213167,-0.30903075138727826,-0.14394205808639526,0.165088693300883
11,-0.86970246,-0.5606147,"('caring', 'unaffectionate')",-1.5134301,-1.3172374,-1.9007652,-1.7334057,-1.427965799967448,-1.203752597173055,0.22421320279439305
50,0.8624047,0.66074395,"('unprejudiced', 'prejudiced')",1.153986,0.8449209,2.525052,2.5821576,1.5138142903645833,1.362607479095459,-0.15120681126912427
39,-0.85171974,-0.7400319,"('right', 'wrong')",-1.3728108,-1.1553148,0.5891806,0.95958763,-0.5451167027155558,-0.3119196693102519,0.2331970334053039
80,0.7902204,0.5991101,"('independent', 'dependent')",1.0961827,1.2505239,0.57112694,0.26032668,0.8191766738891602,0.7033202648162842,-0.11585640907287598
105,-0.77433467,-0.6499895,"('conventional', 'modern')",1.4196646,1.5055563,-0.4158132,-0.3566156,0.07650558153788249,0.166317085425059,0.0898115038871765
97,-0.7702137,-0.7661546,"('superior', 'inferior')",-0.3988501,-0.38409725,-0.78949255,-0.78319675,-0.6528521378835043,-0.6444828510284424,0.008369286855061886
27,-0.7593739,-0.6281676,"('sincere', 'insincere')",-3.9271848,-3.3336744,-6.638048,-7.0595007,-3.774868965148926,-3.673781077067057,0.10108788808186864
74,0.75877213,0.6989978,"('insightful', 'unperceptive')",-0.80157065,-0.69949734,-2.0934055,-2.1803398,-0.7120680014292399,-0.7269464333852133,-0.014878431955973381
88,-0.722225,-0.7503308,"('impulsive', 'meek')",0.08132534,-0.093016155,2.0203009,2.0743499,0.45980040232340497,0.410334308942159,-0.04946609338124597
62,-0.6791002,-0.49390382,"('creative', 'uncreative')",-1.3625846,-1.4616126,-0.76439476,-0.64673364,-0.9353598753611246,-0.8674166997273763,0.0679431756337483
