,sunedison_male,sunedison_female,tuple,average_male,average_female,female-male
1,1.8628905,2.0353794,"('friendly', 'unfriendly')",1.8628904819488525,2.035379409790039,0.17248892784118652
75,1.7769233,1.2768168,"('confident', 'shy')",1.7769232988357544,1.2768168449401855,-0.5001064538955688
10,1.5574709,1.907892,"('affectionate', 'unaffectionate')",1.5574709177017212,1.9078919887542725,0.35042107105255127
11,1.5083728,1.59215,"('caring', 'unaffectionate')",1.5083727836608887,1.5921499729156494,0.08377718925476074
91,1.4825963,1.4655124,"('resilient', 'nonresilient')",1.4825962781906128,1.4655123949050903,-0.01708388328552246
14,1.4241629,1.1217821,"('supportive', 'unsupportive')",1.4241628646850586,1.1217820644378662,-0.3023808002471924
42,1.3496433,1.6663918,"('amicable', 'hostile')",1.349643349647522,1.6663918495178223,0.3167484998703003
37,1.3020718,1.484137,"('good', 'evil')",1.3020718097686768,1.4841370582580566,0.18206524848937988
100,1.3003609,1.1334417,"('influential', 'uninfluential')",1.300360918045044,1.133441686630249,-0.16691923141479492
70,1.2845147,1.2510071,"('wise', 'unwise')",1.2845146656036377,1.251007080078125,-0.033507585525512695
8,1.2530204,1.0666734,"('open', 'distant')",1.2530204057693481,1.0666733980178833,-0.18634700775146484
77,1.2469875,1.3567501,"('active', 'inactive')",1.2469874620437622,1.3567501306533813,0.10976266860961914
66,1.2055511,1.3023435,"('imaginative', 'unimaginative')",1.2055511474609375,1.302343487739563,0.09679234027862549
72,1.1416872,1.1311294,"('logical', 'illogical')",1.1416871547698975,1.1311293840408325,-0.010557770729064941
6,1.0747375,0.9475012,"('liked', 'disliked')",1.074737548828125,0.9475011825561523,-0.12723636627197266
0,1.0682251,0.88744336,"('sociable', 'unsociable')",1.0682251453399658,0.8874433636665344,-0.1807817816734314
23,1.0573418,0.9489609,"('hospitable', 'inhospitable')",1.0573418140411377,0.9489609003067017,-0.10838091373443604
12,1.0452168,0.9464056,"('sympathetic', 'unsympathetic')",1.0452167987823486,0.9464055895805359,-0.09881120920181274
78,1.0320108,0.8288984,"('active', 'inactive')",1.032010793685913,0.8288983702659607,-0.2031124234199524
53,-1.0126903,-0.69656914,"('smart', 'stupid')",-1.0126903057098389,-0.6965691447257996,0.3161211609840393
30,1.0005414,0.77112496,"('honest', 'dishonest')",1.0005414485931396,0.7711249589920044,-0.22941648960113525
62,0.99083805,1.1945448,"('creative', 'uncreative')",0.9908380508422852,1.194544792175293,0.2037067413330078
21,0.98613155,0.8883325,"('nice', 'nasty')",0.9861315488815308,0.8883324861526489,-0.09779906272888184
2,0.92989147,0.83388644,"('friendly', 'unfriendly')",0.9298914670944214,0.833886444568634,-0.09600502252578735
58,-0.9222907,-0.8286397,"('able', 'clumsy')",-0.9222906827926636,-0.8286396861076355,0.09365099668502808
7,0.91997737,0.7371568,"('outgoing', 'distant')",0.9199773669242859,0.7371568083763123,-0.18282055854797363
52,0.88769126,0.75762695,"('competitive', 'uncompetitive')",0.8876912593841553,0.7576269507408142,-0.13006430864334106
