,raytheon_male,raytheon_female,tuple,average_male,average_female,female-male
107,3.0366602,3.102006,"('conventional', 'modern')",3.0366601943969727,3.102005958557129,0.06534576416015625
99,-2.9590893,-3.0772598,"('prestigious', 'insignificant')",-2.9590892791748047,-3.0772597789764404,-0.11817049980163574
94,2.615203,2.789572,"('aggressive', 'submissive')",2.6152029037475586,2.78957200050354,0.17436909675598145
12,2.5624702,2.8152587,"('sympathetic', 'unsympathetic')",2.5624701976776123,2.815258741378784,0.2527885437011719
75,2.4524693,2.4494896,"('confident', 'shy')",2.4524693489074707,2.4494895935058594,-0.002979755401611328
81,-2.4307077,-2.7472289,"('industrious', 'lazy')",-2.4307076930999756,-2.7472288608551025,-0.31652116775512695
16,2.3706465,2.4924417,"('social', 'antisocial')",2.3706464767456055,2.4924416542053223,0.1217951774597168
15,2.3382404,2.4145112,"('polite', 'impolite')",2.338240385055542,2.414511203765869,0.07627081871032715
82,-2.2951703,-2.5813365,"('industrious', 'meek')",-2.295170307159424,-2.581336498260498,-0.2861661911010742
98,-2.0675848,-2.089261,"('prestigious', 'insignificant')",-2.067584753036499,-2.089261054992676,-0.021676301956176758
2,2.0667038,2.2611783,"('friendly', 'unfriendly')",2.0667037963867188,2.2611782550811768,0.194474458694458
31,-2.0597444,-2.3667848,"('altruistic', 'egoistic')",-2.059744358062744,-2.3667848110198975,-0.3070404529571533
109,2.0553424,2.0001528,"('conservative', 'liberal')",2.055342435836792,2.000152826309204,-0.05518960952758789
108,2.0553424,2.0001528,"('conservative', 'liberal')",2.055342435836792,2.000152826309204,-0.05518960952758789
1,-2.0387163,-1.861364,"('friendly', 'unfriendly')",-2.0387163162231445,-1.8613640069961548,0.17735230922698975
41,-2.0286894,-2.1292653,"('incorrupt', 'corrupt')",-2.028689384460449,-2.129265308380127,-0.10057592391967773
89,1.9321163,1.8872799,"('daring', 'anxious')",1.9321162700653076,1.8872798681259155,-0.04483640193939209
42,-1.9053607,-1.9211073,"('amicable', 'hostile')",-1.9053606986999512,-1.921107292175293,-0.015746593475341797
51,1.888041,2.1940525,"('competent', 'incompetent')",1.8880410194396973,2.1940524578094482,0.306011438369751
83,1.8808064,2.0072339,"('energetic', 'lethargic')",1.8808064460754395,2.0072338581085205,0.12642741203308105
104,-1.8222557,-1.5777324,"('conventional', 'unconventional')",-1.8222557306289673,-1.5777324438095093,0.244523286819458
64,1.765468,1.8914678,"('clever', 'incompetent')",1.7654680013656616,1.891467809677124,0.1259998083114624
71,1.7559028,1.7616148,"('efficient', 'inefficient')",1.7559027671813965,1.7616147994995117,0.005712032318115234
8,-1.6365328,-1.8029627,"('open', 'distant')",-1.6365327835083008,-1.8029626607894897,-0.16642987728118896
36,1.6252663,1.7287087,"('tolerant', 'intolerant')",1.6252663135528564,1.7287087440490723,0.10344243049621582
76,1.6179214,1.7146355,"('secure', 'insecure')",1.6179213523864746,1.7146354913711548,0.09671413898468018
48,1.5968494,1.5202421,"('reliable', 'unreliable')",1.5968494415283203,1.5202420949935913,-0.076607346534729
32,-1.5956514,-1.4368621,"('benevolent', 'hardhearted')",-1.595651388168335,-1.4368621110916138,0.1587892770767212
5,1.5028304,1.4784029,"('pleasant', 'repellent')",1.5028303861618042,1.478402853012085,-0.02442753314971924
66,1.4498447,1.6915984,"('imaginative', 'unimaginative')",1.4498447179794312,1.6915984153747559,0.2417536973953247
25,1.4395559,1.4854474,"('moral', 'immoral')",1.4395558834075928,1.4854474067687988,0.045891523361206055
26,1.4344459,1.6549678,"('trustworthy', 'untrustworthy')",1.434445858001709,1.6549677848815918,0.2205219268798828
49,1.3933185,1.4700142,"('responsible', 'irresponsible')",1.3933185338974,1.470014214515686,0.07669568061828613
65,1.3909421,1.4807825,"('practical', 'impractical')",1.390942096710205,1.4807825088500977,0.08984041213989258
11,-1.3252072,-1.1955231,"('caring', 'unaffectionate')",-1.325207233428955,-1.1955231428146362,0.12968409061431885
10,-1.3037374,-1.2005358,"('affectionate', 'unaffectionate')",-1.3037374019622803,-1.200535774230957,0.10320162773132324
7,-1.29446,-1.4585673,"('outgoing', 'distant')",-1.2944600582122803,-1.4585672616958618,-0.16410720348358154
69,-1.271806,-1.3852246,"('wise', 'foolish')",-1.271806001663208,-1.3852245807647705,-0.1134185791015625
37,-1.2436442,-1.476035,"('good', 'evil')",-1.2436442375183105,-1.4760349988937378,-0.23239076137542725
60,1.2254745,1.362741,"('educated', 'uneducated')",1.22547447681427,1.3627409934997559,0.13726651668548584
20,-1.1880732,-1.2972054,"('popular', 'unpopular')",-1.1880731582641602,-1.2972054481506348,-0.10913228988647461
0,1.1844544,1.3616427,"('sociable', 'unsociable')",1.1844544410705566,1.3616427183151245,0.17718827724456787
39,-1.1799297,-1.275285,"('right', 'wrong')",-1.1799297332763672,-1.275285005569458,-0.09535527229309082
92,-1.1523609,-1.1723859,"('unwavering', 'wavering')",-1.1523609161376953,-1.1723859310150146,-0.020025014877319336
47,1.0712525,1.2365017,"('forgiving', 'unforgiving')",1.071252465248108,1.236501693725586,0.16524922847747803
84,-1.0445682,-1.2549573,"('self-confident', 'diffident')",-1.0445681810379028,-1.2549573183059692,-0.2103891372680664
95,-1.0348804,-1.0699137,"('rich', 'poor')",-1.0348803997039795,-1.0699137449264526,-0.035033345222473145
61,-1.0344334,-1.0593381,"('rational', 'irrational')",-1.034433364868164,-1.059338092803955,-0.024904727935791016
73,0.97698796,1.0379527,"('brilliant', 'incompetent')",0.9769879579544067,1.0379526615142822,0.06096470355987549
62,-0.97335523,-1.0025358,"('creative', 'uncreative')",-0.973355233669281,-1.0025358200073242,-0.029180586338043213
52,0.96491057,1.1510695,"('competitive', 'uncompetitive')",0.9649105668067932,1.1510695219039917,0.1861589550971985
93,0.946486,1.0915177,"('dominating', 'dominated')",0.9464859962463379,1.091517686843872,0.14503169059753418
18,0.93535066,0.98470277,"('social', 'asocial')",0.9353506565093994,0.9847027659416199,0.04935210943222046
17,0.93123895,1.1215326,"('social', 'antisocial')",0.9312389492988586,1.1215325593948364,0.19029361009597778
