,danaher_male,danaher_female,tuple,average_male,average_female,female-male
75,1.9627912,2.0654066,"('confident', 'shy')",1.9627912044525146,2.065406560897827,0.1026153564453125
53,-1.8091426,-2.0220146,"('smart', 'stupid')",-1.8091425895690918,-2.022014617919922,-0.21287202835083008
27,-1.7884548,-2.0313966,"('sincere', 'insincere')",-1.7884547710418701,-2.0313966274261475,-0.24294185638427734
6,1.6116729,1.9668684,"('liked', 'disliked')",1.6116728782653809,1.9668684005737305,0.3551955223083496
68,-1.498706,-1.8051307,"('clever', 'inept')",-1.4987059831619263,-1.8051307201385498,-0.30642473697662354
45,-1.4188097,-1.7106904,"('cooperative', 'exploitative')",-1.4188096523284912,-1.7106903791427612,-0.29188072681427
65,-1.4051623,-1.7374082,"('practical', 'impractical')",-1.4051623344421387,-1.73740816116333,-0.3322458267211914
28,-1.3485899,-1.1096061,"('honest', 'dishonest')",-1.3485898971557617,-1.109606146812439,0.23898375034332275
42,1.344598,1.6844308,"('amicable', 'hostile')",1.3445980548858643,1.6844308376312256,0.33983278274536133
37,1.1730279,1.2934393,"('good', 'evil')",1.1730278730392456,1.293439269065857,0.12041139602661133
95,-1.1009092,-1.2461187,"('rich', 'poor')",-1.1009092330932617,-1.2461186647415161,-0.1452094316482544
50,1.0963665,0.87182474,"('unprejudiced', 'prejudiced')",1.09636652469635,0.8718247413635254,-0.2245417833328247
78,1.090971,0.9231847,"('active', 'inactive')",1.0909709930419922,0.9231846928596497,-0.16778630018234253
74,-1.0661356,-1.1543865,"('insightful', 'unperceptive')",-1.0661356449127197,-1.1543865203857422,-0.08825087547302246
87,-1.0642684,-1.2934332,"('dedicated', 'undedicated')",-1.0642683506011963,-1.2934331893920898,-0.22916483879089355
19,-1.0303187,-0.74653,"('funny', 'boring')",-1.0303187370300293,-0.7465299963951111,0.2837887406349182
26,-1.0128806,-0.8132454,"('trustworthy', 'untrustworthy')",-1.012880563735962,-0.813245415687561,0.19963514804840088
22,1.0125612,0.84510076,"('welcoming', 'disagreeable')",1.0125612020492554,0.8451007604598999,-0.16746044158935547
30,-0.99229085,-1.0397477,"('honest', 'dishonest')",-0.9922908544540405,-1.039747714996338,-0.04745686054229736
13,-0.96090394,-1.1364877,"('helpful', 'unhelpful')",-0.9609039425849915,-1.1364877223968506,-0.17558377981185913
103,0.92318904,0.7732768,"('traditional', 'modern')",0.9231890439987183,0.7732768058776855,-0.14991223812103271
93,-0.88935655,-0.5607542,"('dominating', 'dominated')",-0.8893565535545349,-0.5607541799545288,0.3286023736000061
20,0.8832772,1.056479,"('popular', 'unpopular')",0.883277177810669,1.0564789772033691,0.1732017993927002
40,-0.8737527,-1.2849629,"('honorable', 'mean')",-0.8737527132034302,-1.2849628925323486,-0.41121017932891846
43,-0.85675585,-0.67343795,"('genuine', 'fake')",-0.8567558526992798,-0.6734379529953003,0.1833178997039795
107,0.8516879,1.1084268,"('conventional', 'modern')",0.8516879081726074,1.108426809310913,0.25673890113830566
32,-0.817883,-0.94546294,"('benevolent', 'hardhearted')",-0.8178830146789551,-0.9454629421234131,-0.127579927444458
