,travel_male,travel_female,tuple,&_male,&_female,leisure_male,leisure_female,average_male,average_female,female-male
27,-5.0107965,-4.5648394,"('sincere', 'insincere')",-4.1355467,-3.9827933,-5.7176714,-5.083124,-4.954671541849772,-4.543585459391276,0.4110860824584961
75,4.7984695,4.4428844,"('confident', 'shy')",4.0087137,4.0352073,5.827941,5.2536855,4.878374735514323,4.577259063720703,-0.3011156717936201
95,-4.592395,-4.511697,"('rich', 'poor')",-4.6163955,-4.796937,-5.6327353,-5.2490196,-4.947175025939941,-4.852551142374675,0.09462388356526663
53,-4.2959266,-4.06614,"('smart', 'stupid')",-2.785178,-2.6608834,-4.378105,-3.9885004,-3.8197364807128906,-3.571841239929199,0.2478952407836914
40,-3.6606379,-3.7438843,"('honorable', 'mean')",-3.1803021,-3.355461,-4.498247,-4.6023736,-3.779729207356771,-3.9005730946858725,-0.12084388732910156
6,3.1730103,2.888915,"('liked', 'disliked')",4.5879793,4.393346,4.342264,3.613259,4.034418106079102,3.6318400700887046,-0.402578035990397
13,-3.009812,-2.7934804,"('helpful', 'unhelpful')",-1.4792297,-1.5617889,-3.031595,-2.9906025,-2.5068788528442383,-2.4486239751180015,0.05825487772623683
11,-2.2902732,-2.2128384,"('caring', 'unaffectionate')",-0.93532413,-0.9677944,-1.9913825,-1.8703232,-1.7389933268229167,-1.6836519241333008,0.05534140268961596
49,-2.14675,-2.227406,"('responsible', 'irresponsible')",-0.61115694,-0.70318985,-2.076549,-2.367774,-1.6114853223164876,-1.7661232948303223,-0.1546379725138347
74,-2.0324612,-1.9986143,"('insightful', 'unperceptive')",-2.2165906,-2.3376427,-1.7153622,-1.8637979,-1.9881380399068196,-2.0666850407918296,-0.07854700088500999
65,-2.0041456,-2.0939205,"('practical', 'impractical')",-0.5269672,-0.39912766,-1.9218469,-2.209468,-1.4843200047810872,-1.5675053596496582,-0.08318535486857104
1,-1.966532,-1.917182,"('friendly', 'unfriendly')",-1.8073549,-1.9302442,-1.4254453,-1.0235643,-1.733110745747884,-1.6236635843912761,0.10944716135660792
101,-1.910125,-1.957379,"('successful', 'unsuccessful')",-0.89957243,-0.94783556,-1.6742616,-1.64445,-1.4946530659993489,-1.516554832458496,-0.02190176645914721
84,-1.7069266,-1.9308207,"('self-confident', 'diffident')",0.07232165,-0.23763105,-0.42936376,-0.49693543,-0.6879895528157552,-0.8884623845418295,-0.20047283172607422
32,-1.6389606,-1.3495474,"('benevolent', 'hardhearted')",-1.297818,-0.9707644,-1.5981675,-1.3268358,-1.5116486549377441,-1.2157158851623535,0.2959327697753906
37,1.6372924,1.5841359,"('good', 'evil')",0.43938786,0.26428354,1.8576316,1.8283494,1.3114372889200847,1.2255895932515461,-0.08584769566853856
22,1.6302304,1.6175396,"('welcoming', 'disagreeable')",-0.26900083,-0.2040399,1.2024887,1.2037472,0.8545727729797363,0.8724156220753988,0.017842849095662472
50,1.6202589,1.4194343,"('unprejudiced', 'prejudiced')",2.6318374,2.5001001,2.0978122,1.9114733,2.116636117299398,1.943669319152832,-0.1729667981465659
41,1.5552135,1.4778199,"('incorrupt', 'corrupt')",0.18403721,0.1262362,1.3807852,1.4299712,1.040011962254842,1.011342446009318,-0.02866951624552394
44,-1.5156527,-1.3641317,"('truthful', 'untruthful')",-0.52573866,-0.6208297,-1.0895523,-1.1885892,-1.0436479250590007,-1.0578502019246419,-0.014202276865641128
46,1.5145034,1.5451281,"('generous', 'stingy')",1.1583265,1.4427539,1.4582881,1.5664521,1.3770392735799153,1.5181113878885906,0.14107211430867528
38,-1.4375644,-1.0791684,"('kind', 'unkind')",-1.8781213,-1.696897,-1.4239829,-0.78280395,-1.5798896153767903,-1.1862897872924805,0.3935998280843098
28,-1.4115634,-1.2182567,"('honest', 'dishonest')",-2.4815605,-2.3089046,-1.4393331,-1.2774351,-1.777485688527425,-1.6015321413675945,0.17595354715983058
87,-1.370686,-1.1755863,"('dedicated', 'undedicated')",-1.3853477,-1.4120058,-1.2413479,-1.1532834,-1.3324605623881023,-1.2469584941864014,0.08550206820170092
34,-1.3685455,-1.1062891,"('loyal', 'disloyal')",-1.7068768,-1.3924224,-1.5459349,-0.9559575,-1.5404523213704426,-1.1515563329060872,0.38889598846435547
103,1.3654692,1.3982539,"('traditional', 'modern')",0.43213966,0.44099018,2.1460938,2.2302494,1.3145675659179688,1.3564977645874023,0.041930198669433594
86,1.3472455,1.1114261,"('self-reliant', 'helpless')",3.6254056,3.315715,2.7720647,2.2935,2.581571896870931,2.240213712056478,-0.3413581848144531
67,-1.3280656,-1.205831,"('discriminating', 'undiscriminating')",-0.9230713,-0.78169817,-1.2104595,-1.2361107,-1.1538654963175456,-1.0745466550191243,0.07931884129842137
30,-1.3043232,-1.3850696,"('honest', 'dishonest')",-1.5715175,-1.6089077,-1.125262,-1.2837794,-1.3337008158365886,-1.4259188969930012,-0.09221808115641261
62,-1.2622414,-1.3174758,"('creative', 'uncreative')",-2.2511616,-2.446728,-1.1651738,-0.99735653,-1.559525489807129,-1.5871868133544922,-0.02766132354736328
61,1.2390846,1.3099946,"('rational', 'irrational')",0.19487056,0.09538987,-0.14469089,0.25180408,0.4297547737757365,0.5523961782455444,0.12264140446980792
29,-1.2033225,-1.2911066,"('honest', 'immoral')",-2.492492,-2.3022342,-0.89444596,-0.757717,-1.530086835225423,-1.450352668762207,0.07973416646321607
10,-1.2015637,-1.1487727,"('affectionate', 'unaffectionate')",0.22535588,0.18459022,-1.1750269,-0.87219596,-0.7170782089233398,-0.6121261517206827,0.1049520572026571
78,1.1500875,0.6982843,"('active', 'inactive')",1.0016036,0.7120829,1.9756354,1.226277,1.3757754961649578,0.8788814544677734,-0.4968940416971843
