,henry_male,henry_female,tuple,jack_male,jack_female,&_male,&_female,assoc_male,assoc_female,average_male,average_female,female-male
75,7.1779284,7.3192677,"('confident', 'shy')",6.556775,6.6978607,4.0087137,4.0352073,3.8285637,3.541016,5.3929948806762695,5.3983378410339355,0.005342960357666016
6,6.968541,7.055137,"('liked', 'disliked')",6.575693,6.35303,4.5879793,4.393346,2.279183,1.6504868,5.102849006652832,4.86299991607666,-0.23984909057617188
27,-6.595935,-6.580533,"('sincere', 'insincere')",-6.5650535,-6.5101385,-4.1355467,-3.9827933,-2.4900703,-1.9628017,-4.946651458740234,-4.759066581726074,0.18758487701416016
95,-5.3445415,-5.7497067,"('rich', 'poor')",-4.841566,-5.0851583,-4.6163955,-4.796937,-2.55803,-2.3177748,-4.340133190155029,-4.487394332885742,-0.1472611427307129
53,-5.071739,-5.2465935,"('smart', 'stupid')",-4.2913046,-4.3604193,-2.785178,-2.6608834,-2.1402228,-1.8801645,-3.572111129760742,-3.537015199661255,0.035095930099487305
40,-5.0275793,-5.4219923,"('honorable', 'mean')",-4.3994417,-4.9429674,-3.1803021,-3.355461,-3.1107705,-3.1878629,-3.929523229598999,-4.2270708084106445,-0.2975475788116455
48,3.492574,3.4081497,"('reliable', 'unreliable')",2.6828935,2.6778502,1.5736834,1.3709737,1.0998266,1.3376776,2.2122442722320557,2.198662757873535,-0.013581514358520508
86,3.4564521,3.277997,"('self-reliant', 'helpless')",3.5258667,3.3363485,3.6254056,3.315715,0.24366492,-0.006268382,2.7128472328186035,2.480947971343994,-0.23189926147460938
66,2.8339682,3.0902452,"('imaginative', 'unimaginative')",2.7409725,2.7698312,1.7984312,1.9160259,1.4509778,1.6545618,2.206087589263916,2.357666015625,0.15157842636108398
3,2.744039,2.6976993,"('likable', 'unlikable')",1.8907549,1.5746596,0.5202945,0.25173515,0.46199816,0.42786273,1.4042717218399048,1.2379891872406006,-0.1662825345993042
13,-2.4767416,-2.323762,"('helpful', 'unhelpful')",-2.855197,-2.8854861,-1.4792297,-1.5617889,-1.5405266,-1.3014803,-2.087923765182495,-2.018129348754883,0.0697944164276123
81,2.0587873,1.9110267,"('industrious', 'lazy')",2.519438,2.2518737,1.1508373,0.8324736,-0.12184465,-0.75707215,1.4018044471740723,1.0595755577087402,-0.34222888946533203
28,-2.0530822,-1.9434816,"('honest', 'dishonest')",-2.303185,-2.1028593,-2.4815605,-2.3089046,-0.65543425,-0.47583997,-1.873315453529358,-1.7077714204788208,0.1655440330505371
58,-1.9879491,-1.793957,"('able', 'clumsy')",-1.751821,-1.6104274,-1.5622277,-1.5301608,-0.31308183,0.188512,-1.4037699699401855,-1.186508297920227,0.2172616720199585
37,1.9871535,1.8754485,"('good', 'evil')",2.5336366,2.282994,0.43938786,0.26428354,0.6941514,0.2360718,1.4135823249816895,1.1646994352340698,-0.24888288974761963
78,1.9610591,1.3680737,"('active', 'inactive')",1.2748184,1.0179733,1.0016036,0.7120829,1.348388,0.59979075,1.3964672088623047,0.924480140209198,-0.4719870686531067
11,-1.8175759,-1.953752,"('caring', 'unaffectionate')",-2.209241,-2.2450545,-0.93532413,-0.9677944,-0.5343368,-0.5927429,-1.374119520187378,-1.439836025238037,-0.06571650505065918
46,1.7788246,1.8925805,"('generous', 'stingy')",2.1127253,2.141045,1.1583265,1.4427539,0.759042,0.45323855,1.4522294998168945,1.4824044704437256,0.030174970626831055
50,1.7735116,1.6856748,"('unprejudiced', 'prejudiced')",2.155952,2.1326702,2.6318374,2.5001001,0.24670166,0.123758614,1.7020007371902466,1.6105509996414185,-0.09144973754882812
32,-1.7691814,-1.6377902,"('benevolent', 'hardhearted')",-0.4374807,-0.19459641,-1.297818,-0.9707644,-0.6063093,-0.26590976,-1.0276973247528076,-0.7672652006149292,0.2604321241378784
34,-1.7569747,-1.5924643,"('loyal', 'disloyal')",-1.8251526,-1.6852449,-1.7068768,-1.3924224,-0.84689957,-0.22197637,-1.5339759588241577,-1.223026990890503,0.3109489679336548
38,-1.7497895,-1.4287516,"('kind', 'unkind')",-1.9224129,-1.5352899,-1.8781213,-1.696897,-0.7513143,0.066763215,-1.5754094123840332,-1.1485437154769897,0.42686569690704346
29,-1.6612201,-1.610556,"('honest', 'immoral')",-2.0593195,-1.8221092,-2.492492,-2.3022342,-0.40733862,-0.31254038,-1.6550925970077515,-1.5118600130081177,0.1432325839996338
